Police Force,Tactic,ytd,variable,value
Lincolnshire,CED of which,2020-03-31,0-11,0.0
Merseyside,CED of which,2020-03-31,0-11,0.0
Metropolitan,CED of which,2020-03-31,0-11,0.0
Norfolk,CED of which,2020-03-31,0-11,0.0
North Wales,CED of which,2020-03-31,0-11,0.0
North Yorkshire,CED of which,2020-03-31,0-11,1.0
Northamptonshire,CED of which,2020-03-31,0-11,2.0
Northumbria,CED of which,2020-03-31,0-11,0.0
Nottinghamshire,CED of which,2020-03-31,0-11,0.0
South Wales,CED of which,2020-03-31,0-11,1.0
South Yorkshire,CED of which,2020-03-31,0-11,1.0
Staffordshire,CED of which,2020-03-31,0-11,0.0
Suffolk,CED of which,2020-03-31,0-11,0.0
Surrey,CED of which,2020-03-31,0-11,0.0
Sussex,CED of which,2020-03-31,0-11,0.0
Thames Valley,CED of which,2020-03-31,0-11,1.0
Warwickshire,CED of which,2020-03-31,0-11,
West Mercia,CED of which,2020-03-31,0-11,
West Midlands,CED of which,2020-03-31,0-11,3.0
West Yorkshire,CED of which,2020-03-31,0-11,0.0
Wiltshire,CED of which,2020-03-31,0-11,0.0
Avon & Somerset,CED,2019-03-31,11-17,62.0
Bedfordshire,CED,2019-03-31,11-17,20.0
Cambridgeshire,CED,2019-03-31,11-17,18.0
Cheshire,CED,2019-03-31,11-17,25.0
City of London,CED,2019-03-31,11-17,2.0
Cleveland,CED,2019-03-31,11-17,18.0
Cumbria,CED,2019-03-31,11-17,7.0
Derbyshire,CED,2019-03-31,11-17,7.0
Devon & Cornwall,CED,2019-03-31,11-17,28.0
Dorset,CED,2019-03-31,11-17,10.0
Durham,CED,2019-03-31,11-17,16.0
Dyfed-Powys,CED,2019-03-31,11-17,9.0
Essex,CED,2019-03-31,11-17,20.0
Gloucestershire,CED,2019-03-31,11-17,8.0
Greater Manchester,CED,2019-03-31,11-17,110.0
Gwent,CED,2019-03-31,11-17,5.0
Hampshire,CED,2019-03-31,11-17,6.0
Hertfordshire,CED,2019-03-31,11-17,30.0
Humberside,CED,2019-03-31,11-17,24.0
Kent,CED,2019-03-31,11-17,31.0
Lancashire,CED,2019-03-31,11-17,7.0
Leicestershire,CED,2019-03-31,11-17,59.0
Lincolnshire,CED,2019-03-31,11-17,16.0
Merseyside,CED,2019-03-31,11-17,17.0
Metropolitan,CED,2019-03-31,11-17,783.0
Norfolk,CED,2019-03-31,11-17,0.0
North Wales,CED,2019-03-31,11-17,6.0
North Yorkshire,CED,2019-03-31,11-17,13.0
Northamptonshire,CED,2019-03-31,11-17,45.0
Northumbria,CED,2019-03-31,11-17,6.0
Nottinghamshire,CED,2019-03-31,11-17,10.0
South Wales,CED,2019-03-31,11-17,35.0
South Yorkshire,CED,2019-03-31,11-17,16.0
Staffordshire,CED,2019-03-31,11-17,0.0
Suffolk,CED,2019-03-31,11-17,0.0
Surrey,CED,2019-03-31,11-17,22.0
Sussex,CED,2019-03-31,11-17,23.0
Thames Valley,CED,2019-03-31,11-17,47.0
Warwickshire,CED,2019-03-31,11-17,0.0
West Mercia,CED,2019-03-31,11-17,0.0
West Midlands,CED,2019-03-31,11-17,37.0
West Yorkshire,CED,2019-03-31,11-17,50.0
Wiltshire,CED,2019-03-31,11-17,23.0
Avon & Somerset,CED of which,2020-03-31,11-17,71.0
Bedfordshire,CED of which,2020-03-31,11-17,28.0
Cambridgeshire,CED of which,2020-03-31,11-17,12.0
Cheshire,CED of which,2020-03-31,11-17,42.0
City of London,CED of which,2020-03-31,11-17,10.0
Cleveland,CED of which,2020-03-31,11-17,24.0
Cumbria,CED of which,2020-03-31,11-17,19.0
Derbyshire,CED of which,2020-03-31,11-17,9.0
Devon & Cornwall,CED of which,2020-03-31,11-17,43.0
Dorset,CED of which,2020-03-31,11-17,15.0
Durham,CED of which,2020-03-31,11-17,20.0
Dyfed-Powys,CED of which,2020-03-31,11-17,12.0
Essex,CED of which,2020-03-31,11-17,36.0
Gloucestershire,CED of which,2020-03-31,11-17,0.0
Greater Manchester,CED of which,2020-03-31,11-17,121.0
Gwent,CED of which,2020-03-31,11-17,12.0
Hampshire,CED of which,2020-03-31,11-17,27.0
Hertfordshire,CED of which,2020-03-31,11-17,48.0
Humberside,CED of which,2020-03-31,11-17,56.0
Kent,CED of which,2020-03-31,11-17,52.0
Lancashire,CED of which,2020-03-31,11-17,28.0
Leicestershire,CED of which,2020-03-31,11-17,72.0
Lincolnshire,CED of which,2020-03-31,11-17,27.0
Merseyside,CED of which,2020-03-31,11-17,15.0
Metropolitan,CED of which,2020-03-31,11-17,1330.0
Norfolk,CED of which,2020-03-31,11-17,39.0
North Wales,CED of which,2020-03-31,11-17,15.0
North Yorkshire,CED of which,2020-03-31,11-17,9.0
Northamptonshire,CED of which,2020-03-31,11-17,42.0
Northumbria,CED of which,2020-03-31,11-17,21.0
Nottinghamshire,CED of which,2020-03-31,11-17,14.0
South Wales,CED of which,2020-03-31,11-17,57.0
South Yorkshire,CED of which,2020-03-31,11-17,24.0
Staffordshire,CED of which,2020-03-31,11-17,3.0
Suffolk,CED of which,2020-03-31,11-17,31.0
Surrey,CED of which,2020-03-31,11-17,34.0
Sussex,CED of which,2020-03-31,11-17,66.0
Thames Valley,CED of which,2020-03-31,11-17,84.0
Warwickshire,CED of which,2020-03-31,11-17,
West Mercia,CED of which,2020-03-31,11-17,
West Midlands,CED of which,2020-03-31,11-17,147.0
West Yorkshire,CED of which,2020-03-31,11-17,49.0
Wiltshire,CED of which,2020-03-31,11-17,31.0
Avon & Somerset,CED,2019-03-31,18-34,399.0
Bedfordshire,CED,2019-03-31,18-34,132.0
Cambridgeshire,CED,2019-03-31,18-34,112.0
Cheshire,CED,2019-03-31,18-34,269.0
City of London,CED,2019-03-31,18-34,14.0
Cleveland,CED,2019-03-31,18-34,166.0
Cumbria,CED,2019-03-31,18-34,141.0
Derbyshire,CED,2019-03-31,18-34,82.0
Devon & Cornwall,CED,2019-03-31,18-34,312.0
Dorset,CED,2019-03-31,18-34,134.0
Durham,CED,2019-03-31,18-34,201.0
Dyfed-Powys,CED,2019-03-31,18-34,117.0
Essex,CED,2019-03-31,18-34,144.0
Gloucestershire,CED,2019-03-31,18-34,68.0
Greater Manchester,CED,2019-03-31,18-34,899.0
Gwent,CED,2019-03-31,18-34,101.0
Hampshire,CED,2019-03-31,18-34,92.0
Hertfordshire,CED,2019-03-31,18-34,185.0
Humberside,CED,2019-03-31,18-34,347.0
Kent,CED,2019-03-31,18-34,327.0
Lancashire,CED,2019-03-31,18-34,108.0
Leicestershire,CED,2019-03-31,18-34,357.0
Lincolnshire,CED,2019-03-31,18-34,145.0
Merseyside,CED,2019-03-31,18-34,178.0
Metropolitan,CED,2019-03-31,18-34,4461.0
Norfolk,CED,2019-03-31,18-34,0.0
North Wales,CED,2019-03-31,18-34,79.0
North Yorkshire,CED,2019-03-31,18-34,136.0
Northamptonshire,CED,2019-03-31,18-34,308.0
Northumbria,CED,2019-03-31,18-34,157.0
Nottinghamshire,CED,2019-03-31,18-34,122.0
South Wales,CED,2019-03-31,18-34,242.0
South Yorkshire,CED,2019-03-31,18-34,311.0
Staffordshire,CED,2019-03-31,18-34,0.0
Suffolk,CED,2019-03-31,18-34,0.0
Surrey,CED,2019-03-31,18-34,161.0
Sussex,CED,2019-03-31,18-34,227.0
Thames Valley,CED,2019-03-31,18-34,475.0
Warwickshire,CED,2019-03-31,18-34,0.0
West Mercia,CED,2019-03-31,18-34,0.0
West Midlands,CED,2019-03-31,18-34,434.0
West Yorkshire,CED,2019-03-31,18-34,461.0
Wiltshire,CED,2019-03-31,18-34,196.0
Avon & Somerset,CED of which,2020-03-31,18-34,636.0
Bedfordshire,CED of which,2020-03-31,18-34,138.0
Cambridgeshire,CED of which,2020-03-31,18-34,124.0
Cheshire,CED of which,2020-03-31,18-34,281.0
City of London,CED of which,2020-03-31,18-34,78.0
Cleveland,CED of which,2020-03-31,18-34,214.0
Cumbria,CED of which,2020-03-31,18-34,171.0
Derbyshire,CED of which,2020-03-31,18-34,126.0
Devon & Cornwall,CED of which,2020-03-31,18-34,382.0
Dorset,CED of which,2020-03-31,18-34,117.0
Durham,CED of which,2020-03-31,18-34,209.0
Dyfed-Powys,CED of which,2020-03-31,18-34,174.0
Essex,CED of which,2020-03-31,18-34,214.0
Gloucestershire,CED of which,2020-03-31,18-34,50.0
Greater Manchester,CED of which,2020-03-31,18-34,946.0
Gwent,CED of which,2020-03-31,18-34,130.0
Hampshire,CED of which,2020-03-31,18-34,309.0
Hertfordshire,CED of which,2020-03-31,18-34,238.0
Humberside,CED of which,2020-03-31,18-34,427.0
Kent,CED of which,2020-03-31,18-34,468.0
Lancashire,CED of which,2020-03-31,18-34,250.0
Leicestershire,CED of which,2020-03-31,18-34,424.0
Lincolnshire,CED of which,2020-03-31,18-34,232.0
Merseyside,CED of which,2020-03-31,18-34,181.0
Metropolitan,CED of which,2020-03-31,18-34,6018.0
Norfolk,CED of which,2020-03-31,18-34,328.0
North Wales,CED of which,2020-03-31,18-34,93.0
North Yorkshire,CED of which,2020-03-31,18-34,135.0
Northamptonshire,CED of which,2020-03-31,18-34,324.0
Northumbria,CED of which,2020-03-31,18-34,196.0
Nottinghamshire,CED of which,2020-03-31,18-34,232.0
South Wales,CED of which,2020-03-31,18-34,439.0
South Yorkshire,CED of which,2020-03-31,18-34,348.0
Staffordshire,CED of which,2020-03-31,18-34,79.0
Suffolk,CED of which,2020-03-31,18-34,218.0
Surrey,CED of which,2020-03-31,18-34,272.0
Sussex,CED of which,2020-03-31,18-34,560.0
Thames Valley,CED of which,2020-03-31,18-34,614.0
Warwickshire,CED of which,2020-03-31,18-34,
West Mercia,CED of which,2020-03-31,18-34,
West Midlands,CED of which,2020-03-31,18-34,1476.0
West Yorkshire,CED of which,2020-03-31,18-34,485.0
Wiltshire,CED of which,2020-03-31,18-34,139.0
Avon & Somerset,CED,2019-03-31,35-49,209.0
Bedfordshire,CED,2019-03-31,35-49,73.0
Cambridgeshire,CED,2019-03-31,35-49,58.0
Cheshire,CED,2019-03-31,35-49,115.0
City of London,CED,2019-03-31,35-49,12.0
Cleveland,CED,2019-03-31,35-49,50.0
Cumbria,CED,2019-03-31,35-49,43.0
Derbyshire,CED,2019-03-31,35-49,48.0
Devon & Cornwall,CED,2019-03-31,35-49,152.0
Dorset,CED,2019-03-31,35-49,53.0
Durham,CED,2019-03-31,35-49,64.0
Dyfed-Powys,CED,2019-03-31,35-49,61.0
Essex,CED,2019-03-31,35-49,54.0
Gloucestershire,CED,2019-03-31,35-49,46.0
Greater Manchester,CED,2019-03-31,35-49,356.0
Gwent,CED,2019-03-31,35-49,32.0
Hampshire,CED,2019-03-31,35-49,33.0
Hertfordshire,CED,2019-03-31,35-49,60.0
Humberside,CED,2019-03-31,35-49,165.0
Kent,CED,2019-03-31,35-49,170.0
Lancashire,CED,2019-03-31,35-49,40.0
Leicestershire,CED,2019-03-31,35-49,154.0
Lincolnshire,CED,2019-03-31,35-49,81.0
Merseyside,CED,2019-03-31,35-49,97.0
Metropolitan,CED,2019-03-31,35-49,1625.0
Norfolk,CED,2019-03-31,35-49,0.0
North Wales,CED,2019-03-31,35-49,43.0
North Yorkshire,CED,2019-03-31,35-49,73.0
Northamptonshire,CED,2019-03-31,35-49,148.0
Northumbria,CED,2019-03-31,35-49,64.0
Nottinghamshire,CED,2019-03-31,35-49,56.0
South Wales,CED,2019-03-31,35-49,119.0
South Yorkshire,CED,2019-03-31,35-49,144.0
Staffordshire,CED,2019-03-31,35-49,0.0
Suffolk,CED,2019-03-31,35-49,0.0
Surrey,CED,2019-03-31,35-49,65.0
Sussex,CED,2019-03-31,35-49,89.0
Thames Valley,CED,2019-03-31,35-49,204.0
Warwickshire,CED,2019-03-31,35-49,0.0
West Mercia,CED,2019-03-31,35-49,0.0
West Midlands,CED,2019-03-31,35-49,192.0
West Yorkshire,CED,2019-03-31,35-49,195.0
Wiltshire,CED,2019-03-31,35-49,72.0
Avon & Somerset,CED of which,2020-03-31,35-49,278.0
Bedfordshire,CED of which,2020-03-31,35-49,61.0
Cambridgeshire,CED of which,2020-03-31,35-49,57.0
Cheshire,CED of which,2020-03-31,35-49,132.0
City of London,CED of which,2020-03-31,35-49,11.0
Cleveland,CED of which,2020-03-31,35-49,77.0
Cumbria,CED of which,2020-03-31,35-49,95.0
Derbyshire,CED of which,2020-03-31,35-49,55.0
Devon & Cornwall,CED of which,2020-03-31,35-49,179.0
Dorset,CED of which,2020-03-31,35-49,55.0
Durham,CED of which,2020-03-31,35-49,97.0
Dyfed-Powys,CED of which,2020-03-31,35-49,57.0
Essex,CED of which,2020-03-31,35-49,97.0
Gloucestershire,CED of which,2020-03-31,35-49,27.0
Greater Manchester,CED of which,2020-03-31,35-49,372.0
Gwent,CED of which,2020-03-31,35-49,54.0
Hampshire,CED of which,2020-03-31,35-49,122.0
Hertfordshire,CED of which,2020-03-31,35-49,97.0
Humberside,CED of which,2020-03-31,35-49,242.0
Kent,CED of which,2020-03-31,35-49,185.0
Lancashire,CED of which,2020-03-31,35-49,124.0
Leicestershire,CED of which,2020-03-31,35-49,220.0
Lincolnshire,CED of which,2020-03-31,35-49,98.0
Merseyside,CED of which,2020-03-31,35-49,99.0
Metropolitan,CED of which,2020-03-31,35-49,2104.0
Norfolk,CED of which,2020-03-31,35-49,157.0
North Wales,CED of which,2020-03-31,35-49,45.0
North Yorkshire,CED of which,2020-03-31,35-49,50.0
Northamptonshire,CED of which,2020-03-31,35-49,123.0
Northumbria,CED of which,2020-03-31,35-49,108.0
Nottinghamshire,CED of which,2020-03-31,35-49,102.0
South Wales,CED of which,2020-03-31,35-49,176.0
South Yorkshire,CED of which,2020-03-31,35-49,158.0
Staffordshire,CED of which,2020-03-31,35-49,29.0
Suffolk,CED of which,2020-03-31,35-49,84.0
Surrey,CED of which,2020-03-31,35-49,92.0
Sussex,CED of which,2020-03-31,35-49,209.0
Thames Valley,CED of which,2020-03-31,35-49,248.0
Warwickshire,CED of which,2020-03-31,35-49,
West Mercia,CED of which,2020-03-31,35-49,
West Midlands,CED of which,2020-03-31,35-49,668.0
West Yorkshire,CED of which,2020-03-31,35-49,242.0
Wiltshire,CED of which,2020-03-31,35-49,69.0
Avon & Somerset,CED,2019-03-31,50-64,55.0
Bedfordshire,CED,2019-03-31,50-64,17.0
Cambridgeshire,CED,2019-03-31,50-64,14.0
Cheshire,CED,2019-03-31,50-64,26.0
City of London,CED,2019-03-31,50-64,3.0
Cleveland,CED,2019-03-31,50-64,10.0
Cumbria,CED,2019-03-31,50-64,11.0
Derbyshire,CED,2019-03-31,50-64,11.0
Devon & Cornwall,CED,2019-03-31,50-64,30.0
Dorset,CED,2019-03-31,50-64,15.0
Durham,CED,2019-03-31,50-64,18.0
Dyfed-Powys,CED,2019-03-31,50-64,15.0
Essex,CED,2019-03-31,50-64,24.0
Gloucestershire,CED,2019-03-31,50-64,11.0
Greater Manchester,CED,2019-03-31,50-64,64.0
Gwent,CED,2019-03-31,50-64,13.0
Hampshire,CED,2019-03-31,50-64,11.0
Hertfordshire,CED,2019-03-31,50-64,17.0
Humberside,CED,2019-03-31,50-64,32.0
Kent,CED,2019-03-31,50-64,48.0
Lancashire,CED,2019-03-31,50-64,11.0
Leicestershire,CED,2019-03-31,50-64,42.0
Lincolnshire,CED,2019-03-31,50-64,22.0
Merseyside,CED,2019-03-31,50-64,17.0
Metropolitan,CED,2019-03-31,50-64,492.0
Norfolk,CED,2019-03-31,50-64,0.0
North Wales,CED,2019-03-31,50-64,2.0
North Yorkshire,CED,2019-03-31,50-64,22.0
Northamptonshire,CED,2019-03-31,50-64,58.0
Northumbria,CED,2019-03-31,50-64,15.0
Nottinghamshire,CED,2019-03-31,50-64,9.0
South Wales,CED,2019-03-31,50-64,33.0
South Yorkshire,CED,2019-03-31,50-64,35.0
Staffordshire,CED,2019-03-31,50-64,0.0
Suffolk,CED,2019-03-31,50-64,0.0
Surrey,CED,2019-03-31,50-64,22.0
Sussex,CED,2019-03-31,50-64,27.0
Thames Valley,CED,2019-03-31,50-64,35.0
Warwickshire,CED,2019-03-31,50-64,0.0
West Mercia,CED,2019-03-31,50-64,0.0
West Midlands,CED,2019-03-31,50-64,37.0
West Yorkshire,CED,2019-03-31,50-64,55.0
Wiltshire,CED,2019-03-31,50-64,12.0
Avon & Somerset,CED of which,2020-03-31,50-64,87.0
Bedfordshire,CED of which,2020-03-31,50-64,12.0
Cambridgeshire,CED of which,2020-03-31,50-64,12.0
Cheshire,CED of which,2020-03-31,50-64,30.0
City of London,CED of which,2020-03-31,50-64,4.0
Cleveland,CED of which,2020-03-31,50-64,11.0
Cumbria,CED of which,2020-03-31,50-64,15.0
Derbyshire,CED of which,2020-03-31,50-64,13.0
Devon & Cornwall,CED of which,2020-03-31,50-64,42.0
Dorset,CED of which,2020-03-31,50-64,17.0
Durham,CED of which,2020-03-31,50-64,21.0
Dyfed-Powys,CED of which,2020-03-31,50-64,16.0
Essex,CED of which,2020-03-31,50-64,27.0
Gloucestershire,CED of which,2020-03-31,50-64,7.0
Greater Manchester,CED of which,2020-03-31,50-64,81.0
Gwent,CED of which,2020-03-31,50-64,19.0
Hampshire,CED of which,2020-03-31,50-64,16.0
Hertfordshire,CED of which,2020-03-31,50-64,32.0
Humberside,CED of which,2020-03-31,50-64,57.0
Kent,CED of which,2020-03-31,50-64,41.0
Lancashire,CED of which,2020-03-31,50-64,35.0
Leicestershire,CED of which,2020-03-31,50-64,47.0
Lincolnshire,CED of which,2020-03-31,50-64,36.0
Merseyside,CED of which,2020-03-31,50-64,32.0
Metropolitan,CED of which,2020-03-31,50-64,576.0
Norfolk,CED of which,2020-03-31,50-64,39.0
North Wales,CED of which,2020-03-31,50-64,15.0
North Yorkshire,CED of which,2020-03-31,50-64,19.0
Northamptonshire,CED of which,2020-03-31,50-64,57.0
Northumbria,CED of which,2020-03-31,50-64,18.0
Nottinghamshire,CED of which,2020-03-31,50-64,39.0
South Wales,CED of which,2020-03-31,50-64,43.0
South Yorkshire,CED of which,2020-03-31,50-64,31.0
Staffordshire,CED of which,2020-03-31,50-64,19.0
Suffolk,CED of which,2020-03-31,50-64,15.0
Surrey,CED of which,2020-03-31,50-64,23.0
Sussex,CED of which,2020-03-31,50-64,51.0
Thames Valley,CED of which,2020-03-31,50-64,74.0
Warwickshire,CED of which,2020-03-31,50-64,
West Mercia,CED of which,2020-03-31,50-64,
West Midlands,CED of which,2020-03-31,50-64,129.0
West Yorkshire,CED of which,2020-03-31,50-64,66.0
Wiltshire,CED of which,2020-03-31,50-64,15.0
Avon & Somerset,CED,2019-03-31,65+,3.0
Bedfordshire,CED,2019-03-31,65+,1.0
Cambridgeshire,CED,2019-03-31,65+,2.0
Cheshire,CED,2019-03-31,65+,3.0
City of London,CED,2019-03-31,65+,0.0
Cleveland,CED,2019-03-31,65+,1.0
Cumbria,CED,2019-03-31,65+,1.0
Derbyshire,CED,2019-03-31,65+,1.0
Devon & Cornwall,CED,2019-03-31,65+,8.0
Dorset,CED,2019-03-31,65+,2.0
Durham,CED,2019-03-31,65+,0.0
Dyfed-Powys,CED,2019-03-31,65+,2.0
Essex,CED,2019-03-31,65+,2.0
Gloucestershire,CED,2019-03-31,65+,1.0
Greater Manchester,CED,2019-03-31,65+,5.0
Gwent,CED,2019-03-31,65+,1.0
Hampshire,CED,2019-03-31,65+,0.0
Hertfordshire,CED,2019-03-31,65+,2.0
Humberside,CED,2019-03-31,65+,3.0
Kent,CED,2019-03-31,65+,8.0
Lancashire,CED,2019-03-31,65+,0.0
Leicestershire,CED,2019-03-31,65+,1.0
Lincolnshire,CED,2019-03-31,65+,2.0
Merseyside,CED,2019-03-31,65+,1.0
Metropolitan,CED,2019-03-31,65+,35.0
Norfolk,CED,2019-03-31,65+,0.0
North Wales,CED,2019-03-31,65+,0.0
North Yorkshire,CED,2019-03-31,65+,2.0
Northamptonshire,CED,2019-03-31,65+,1.0
Northumbria,CED,2019-03-31,65+,0.0
Nottinghamshire,CED,2019-03-31,65+,0.0
South Wales,CED,2019-03-31,65+,5.0
South Yorkshire,CED,2019-03-31,65+,0.0
Staffordshire,CED,2019-03-31,65+,0.0
Suffolk,CED,2019-03-31,65+,0.0
Surrey,CED,2019-03-31,65+,5.0
Sussex,CED,2019-03-31,65+,2.0
Thames Valley,CED,2019-03-31,65+,5.0
Warwickshire,CED,2019-03-31,65+,0.0
West Mercia,CED,2019-03-31,65+,0.0
West Midlands,CED,2019-03-31,65+,5.0
West Yorkshire,CED,2019-03-31,65+,3.0
Wiltshire,CED,2019-03-31,65+,5.0
Avon & Somerset,CED of which,2020-03-31,65+,1.0
Bedfordshire,CED of which,2020-03-31,65+,2.0
Cambridgeshire,CED of which,2020-03-31,65+,1.0
Cheshire,CED of which,2020-03-31,65+,2.0
City of London,CED of which,2020-03-31,65+,0.0
Cleveland,CED of which,2020-03-31,65+,4.0
Cumbria,CED of which,2020-03-31,65+,2.0
Derbyshire,CED of which,2020-03-31,65+,1.0
Devon & Cornwall,CED of which,2020-03-31,65+,3.0
Dorset,CED of which,2020-03-31,65+,1.0
Durham,CED of which,2020-03-31,65+,0.0
Dyfed-Powys,CED of which,2020-03-31,65+,1.0
Essex,CED of which,2020-03-31,65+,1.0
Gloucestershire,CED of which,2020-03-31,65+,0.0
Greater Manchester,CED of which,2020-03-31,65+,8.0
Gwent,CED of which,2020-03-31,65+,0.0
Hampshire,CED of which,2020-03-31,65+,0.0
Hertfordshire,CED of which,2020-03-31,65+,1.0
Humberside,CED of which,2020-03-31,65+,1.0
Kent,CED of which,2020-03-31,65+,3.0
Lancashire,CED of which,2020-03-31,65+,2.0
Leicestershire,CED of which,2020-03-31,65+,0.0
Lincolnshire,CED of which,2020-03-31,65+,2.0
Merseyside,CED of which,2020-03-31,65+,2.0
Metropolitan,CED of which,2020-03-31,65+,40.0
Norfolk,CED of which,2020-03-31,65+,2.0
North Wales,CED of which,2020-03-31,65+,0.0
North Yorkshire,CED of which,2020-03-31,65+,0.0
Northamptonshire,CED of which,2020-03-31,65+,7.0
Northumbria,CED of which,2020-03-31,65+,0.0
Nottinghamshire,CED of which,2020-03-31,65+,1.0
South Wales,CED of which,2020-03-31,65+,48.0
South Yorkshire,CED of which,2020-03-31,65+,0.0
Staffordshire,CED of which,2020-03-31,65+,1.0
Suffolk,CED of which,2020-03-31,65+,1.0
Surrey,CED of which,2020-03-31,65+,7.0
Sussex,CED of which,2020-03-31,65+,10.0
Thames Valley,CED of which,2020-03-31,65+,5.0
Warwickshire,CED of which,2020-03-31,65+,
West Mercia,CED of which,2020-03-31,65+,
West Midlands,CED of which,2020-03-31,65+,4.0
West Yorkshire,CED of which,2020-03-31,65+,1.0
Wiltshire,CED of which,2020-03-31,65+,1.0
Avon & Somerset,CED,2019-03-31,Not reported,4.0
Bedfordshire,CED,2019-03-31,Not reported,5.0
Cambridgeshire,CED,2019-03-31,Not reported,1.0
Cheshire,CED,2019-03-31,Not reported,0.0
City of London,CED,2019-03-31,Not reported,18.0
Cleveland,CED,2019-03-31,Not reported,4.0
Cumbria,CED,2019-03-31,Not reported,10.0
Derbyshire,CED,2019-03-31,Not reported,4.0
Devon & Cornwall,CED,2019-03-31,Not reported,166.0
Dorset,CED,2019-03-31,Not reported,38.0
Durham,CED,2019-03-31,Not reported,5.0
Dyfed-Powys,CED,2019-03-31,Not reported,15.0
Essex,CED,2019-03-31,Not reported,2.0
Gloucestershire,CED,2019-03-31,Not reported,1.0
Greater Manchester,CED,2019-03-31,Not reported,0.0
Gwent,CED,2019-03-31,Not reported,19.0
Hampshire,CED,2019-03-31,Not reported,66.0
Hertfordshire,CED,2019-03-31,Not reported,3.0
Humberside,CED,2019-03-31,Not reported,0.0
Kent,CED,2019-03-31,Not reported,1.0
Lancashire,CED,2019-03-31,Not reported,261.0
Leicestershire,CED,2019-03-31,Not reported,2.0
Lincolnshire,CED,2019-03-31,Not reported,1.0
Merseyside,CED,2019-03-31,Not reported,11.0
Metropolitan,CED,2019-03-31,Not reported,0.0
Norfolk,CED,2019-03-31,Not reported,0.0
North Wales,CED,2019-03-31,Not reported,0.0
North Yorkshire,CED,2019-03-31,Not reported,0.0
Northamptonshire,CED,2019-03-31,Not reported,0.0
Northumbria,CED,2019-03-31,Not reported,0.0
Nottinghamshire,CED,2019-03-31,Not reported,0.0
South Wales,CED,2019-03-31,Not reported,31.0
South Yorkshire,CED,2019-03-31,Not reported,0.0
