Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other,Don't know,Not reported,Number of times tactic reported
Total England and Wales,Other equipment,Irritant spray - used,7672.0,974.0,352.0,7.0,188.0,71.0,183.0,54.0,9501.0
Total England and Wales,Other equipment,Not stated irritant spray,121.0,18.0,1.0,0.0,2.0,1.0,304.0,10.0,457.0
Total England and Wales,Other equipment,Spit and bite guard,3883.0,529.0,203.0,2.0,107.0,85.0,68.0,10.0,4887.0
Total England and Wales,Other equipment,Shield,714.0,123.0,28.0,1.0,22.0,14.0,26.0,5.0,933.0
Total England and Wales,Less lethal weapons,*Total Less lethal weapons,15140.0,4456.0,1487.0,40.0,630.0,359.0,625.0,67.0,22804.0
Total England and Wales,Less lethal weapons,CED,14562.0,4381.0,1440.0,39.0,610.0,357.0,614.0,56.0,22059.0
Total England and Wales,Less lethal weapons,"AEP, of which",578.0,75.0,47.0,1.0,20.0,2.0,11.0,11.0,745.0
Total England and Wales,Less lethal weapons,AEP aimed,498.0,65.0,43.0,1.0,15.0,1.0,8.0,11.0,642.0
Total England and Wales,Less lethal weapons,AEP fired,34.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,43.0
Total England and Wales,Less lethal weapons,Not stated AEP,46.0,5.0,3.0,0.0,4.0,1.0,1.0,0.0,60.0
Total England and Wales,Firearms,*Total Firearms,2351.0,1130.0,593.0,9.0,138.0,108.0,157.0,39.0,4525.0
Total England and Wales,Other,*Total Other,20877.0,3357.0,1155.0,46.0,506.0,420.0,1045.0,299.0,27705.0
Total England and Wales,Other,"Dog use, of which",1583.0,297.0,160.0,4.0,63.0,41.0,84.0,72.0,2304.0
Total England and Wales,Other,Dog deployed,1127.0,214.0,94.0,4.0,36.0,26.0,46.0,63.0,1610.0
Total England and Wales,Other,Dog bite,416.0,80.0,65.0,0.0,26.0,15.0,10.0,9.0,621.0
Total England and Wales,Other,Not stated dog,40.0,3.0,1.0,0.0,1.0,0.0,28.0,0.0,73.0
Total England and Wales,Other,Other / improvised,19294.0,3060.0,995.0,42.0,443.0,379.0,961.0,227.0,25401.0
Total England and Wales,Not reported,*Total Not reported,1046.0,93.0,42.0,1.0,14.0,11.0,410.0,112.0,1729.0
Total England and Wales,Tactical communication,Tactical communication,157530.0,24693.0,10049.0,290.0,4336.0,3054.0,2508.0,681.0,203141.0
Avon & Somerset,Total (excluding not reported and tactical communication),*Total Tactics,12642.0,1521.0,265.0,14.0,493.0,89.0,73.0,277.0,15374.0
Avon & Somerset,Restraint,*Total Restraint,7890.0,904.0,158.0,9.0,304.0,59.0,39.0,64.0,9427.0
Avon & Somerset,Restraint,"Handcuffing, of which",5686.0,654.0,127.0,5.0,220.0,52.0,27.0,45.0,6816.0
Avon & Somerset,Restraint,Compliant handcuffing,3125.0,376.0,84.0,3.0,127.0,31.0,6.0,19.0,3771.0
Avon & Somerset,Restraint,Non-compliant handcuffing,2561.0,278.0,43.0,2.0,93.0,21.0,21.0,26.0,3045.0
Avon & Somerset,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Restraint,Limb / Body restraints,395.0,37.0,2.0,0.0,9.0,0.0,1.0,3.0,447.0
Avon & Somerset,Restraint,Ground restraint,1809.0,213.0,29.0,4.0,75.0,7.0,11.0,16.0,2164.0
Avon & Somerset,Unarmed skills,*Total Unarmed skills,2733.0,327.0,54.0,4.0,100.0,16.0,14.0,73.0,3321.0
Avon & Somerset,Other equipment,*Total Other equipment,1080.0,154.0,25.0,1.0,43.0,2.0,4.0,103.0,1412.0
Avon & Somerset,Other equipment,"Baton, of which",65.0,10.0,4.0,0.0,3.0,0.0,0.0,88.0,170.0
Avon & Somerset,Other equipment,Baton drawn,44.0,4.0,2.0,0.0,2.0,0.0,0.0,59.0,111.0
Avon & Somerset,Other equipment,Baton used,21.0,6.0,2.0,0.0,1.0,0.0,0.0,29.0,59.0
Avon & Somerset,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Other equipment,"Irritant spray, of which",749.0,118.0,13.0,1.0,30.0,2.0,2.0,14.0,929.0
Avon & Somerset,Other equipment,Irritant spray - drawn,417.0,60.0,10.0,1.0,15.0,0.0,0.0,10.0,513.0
Avon & Somerset,Other equipment,Irritant spray - used,332.0,58.0,3.0,0.0,15.0,2.0,2.0,4.0,416.0
Avon & Somerset,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Other equipment,Spit and bite guard,235.0,25.0,6.0,0.0,7.0,0.0,1.0,0.0,274.0
Avon & Somerset,Other equipment,Shield,31.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,39.0
Avon & Somerset,Less lethal weapons,*Total Less lethal weapons,617.0,96.0,17.0,0.0,32.0,8.0,10.0,14.0,794.0
Avon & Somerset,Less lethal weapons,CED,570.0,91.0,15.0,0.0,29.0,8.0,7.0,13.0,733.0
Avon & Somerset,Less lethal weapons,"AEP, of which",47.0,5.0,2.0,0.0,3.0,0.0,3.0,1.0,61.0
Avon & Somerset,Less lethal weapons,AEP aimed,43.0,5.0,2.0,0.0,2.0,0.0,2.0,1.0,55.0
Avon & Somerset,Less lethal weapons,AEP fired,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
Avon & Somerset,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Firearms,*Total Firearms,59.0,10.0,7.0,0.0,2.0,0.0,1.0,1.0,80.0
Avon & Somerset,Other,*Total Other,263.0,30.0,4.0,0.0,12.0,4.0,5.0,22.0,340.0
Avon & Somerset,Other,"Dog use, of which",16.0,5.0,1.0,0.0,2.0,1.0,0.0,14.0,39.0
Avon & Somerset,Other,Dog deployed,15.0,3.0,1.0,0.0,1.0,1.0,0.0,8.0,29.0
Avon & Somerset,Other,Dog bite,1.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,10.0
Avon & Somerset,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Other,Other / improvised,247.0,25.0,3.0,0.0,10.0,3.0,5.0,8.0,301.0
Avon & Somerset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Tactical communication,Tactical communication,6558.0,764.0,151.0,9.0,243.0,53.0,37.0,126.0,7941.0
Bedfordshire,Total (excluding not reported and tactical communication),*Total Tactics,3245.0,960.0,607.0,9.0,201.0,240.0,62.0,28.0,5352.0
Bedfordshire,Restraint,*Total Restraint,1881.0,538.0,385.0,5.0,118.0,150.0,31.0,9.0,3117.0
Bedfordshire,Restraint,"Handcuffing, of which",1275.0,384.0,284.0,3.0,80.0,111.0,12.0,6.0,2155.0
Bedfordshire,Restraint,Compliant handcuffing,714.0,191.0,165.0,1.0,47.0,68.0,5.0,2.0,1193.0
Bedfordshire,Restraint,Non-compliant handcuffing,561.0,193.0,119.0,2.0,33.0,43.0,7.0,4.0,962.0
Bedfordshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Restraint,Limb / Body restraints,221.0,63.0,43.0,2.0,19.0,19.0,7.0,1.0,375.0
Bedfordshire,Restraint,Ground restraint,385.0,91.0,58.0,0.0,19.0,20.0,12.0,2.0,587.0
Bedfordshire,Unarmed skills,*Total Unarmed skills,915.0,253.0,150.0,3.0,55.0,60.0,22.0,7.0,1465.0
Bedfordshire,Other equipment,*Total Other equipment,193.0,82.0,22.0,0.0,10.0,12.0,2.0,3.0,324.0
Bedfordshire,Other equipment,"Baton, of which",33.0,18.0,5.0,0.0,0.0,0.0,1.0,2.0,59.0
Bedfordshire,Other equipment,Baton drawn,23.0,12.0,3.0,0.0,0.0,0.0,1.0,2.0,41.0
Bedfordshire,Other equipment,Baton used,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0
Bedfordshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other equipment,"Irritant spray, of which",104.0,53.0,12.0,0.0,6.0,8.0,0.0,1.0,184.0
Bedfordshire,Other equipment,Irritant spray - drawn,61.0,30.0,8.0,0.0,4.0,5.0,0.0,1.0,109.0
Bedfordshire,Other equipment,Irritant spray - used,43.0,23.0,4.0,0.0,2.0,3.0,0.0,0.0,75.0
Bedfordshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other equipment,Spit and bite guard,49.0,9.0,5.0,0.0,4.0,2.0,1.0,0.0,70.0
Bedfordshire,Other equipment,Shield,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0
Bedfordshire,Less lethal weapons,*Total Less lethal weapons,138.0,59.0,28.0,1.0,12.0,9.0,3.0,5.0,255.0
Bedfordshire,Less lethal weapons,CED,134.0,58.0,27.0,1.0,12.0,9.0,3.0,4.0,248.0
Bedfordshire,Less lethal weapons,"AEP, of which",4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0
Bedfordshire,Less lethal weapons,AEP aimed,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
Bedfordshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Less lethal weapons,Not stated AEP,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Bedfordshire,Firearms,*Total Firearms,17.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,26.0
Bedfordshire,Other,*Total Other,101.0,25.0,17.0,0.0,6.0,9.0,4.0,3.0,165.0
Bedfordshire,Other,"Dog use, of which",11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0
Bedfordshire,Other,Dog deployed,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
Bedfordshire,Other,Dog bite,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
Bedfordshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other,Other / improvised,90.0,23.0,15.0,0.0,6.0,9.0,4.0,3.0,150.0
Bedfordshire,Not reported,*Total Not reported,10.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,18.0
Bedfordshire,Tactical communication,Tactical communication,1726.0,517.0,347.0,6.0,109.0,133.0,31.0,17.0,2886.0
Cambridgeshire,Total (excluding not reported and tactical communication),*Total Tactics,6126.0,438.0,410.0,12.0,167.0,453.0,94.0,27.0,7727.0
Cambridgeshire,Restraint,*Total Restraint,3158.0,230.0,210.0,8.0,82.0,269.0,47.0,12.0,4016.0
Cambridgeshire,Restraint,"Handcuffing, of which",2166.0,173.0,145.0,6.0,61.0,201.0,33.0,8.0,2793.0
Cambridgeshire,Restraint,Compliant handcuffing,985.0,93.0,73.0,4.0,32.0,114.0,19.0,5.0,1325.0
Cambridgeshire,Restraint,Non-compliant handcuffing,1181.0,80.0,72.0,2.0,29.0,87.0,14.0,3.0,1468.0
Cambridgeshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Restraint,Limb / Body restraints,368.0,12.0,25.0,1.0,6.0,19.0,2.0,1.0,434.0
Cambridgeshire,Restraint,Ground restraint,624.0,45.0,40.0,1.0,15.0,49.0,12.0,3.0,789.0
Cambridgeshire,Unarmed skills,*Total Unarmed skills,1880.0,116.0,123.0,4.0,57.0,117.0,27.0,9.0,2333.0
Cambridgeshire,Other equipment,*Total Other equipment,539.0,51.0,44.0,0.0,16.0,38.0,8.0,1.0,697.0
Cambridgeshire,Other equipment,"Baton, of which",40.0,7.0,4.0,0.0,0.0,4.0,3.0,0.0,58.0
Cambridgeshire,Other equipment,Baton drawn,28.0,6.0,3.0,0.0,0.0,3.0,2.0,0.0,42.0
Cambridgeshire,Other equipment,Baton used,12.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,16.0
Cambridgeshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other equipment,"Irritant spray, of which",367.0,32.0,29.0,0.0,14.0,21.0,3.0,1.0,467.0
Cambridgeshire,Other equipment,Irritant spray - drawn,233.0,19.0,17.0,0.0,7.0,12.0,3.0,1.0,292.0
Cambridgeshire,Other equipment,Irritant spray - used,134.0,13.0,12.0,0.0,6.0,8.0,0.0,0.0,173.0
Cambridgeshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Cambridgeshire,Other equipment,Spit and bite guard,97.0,8.0,11.0,0.0,2.0,12.0,1.0,0.0,131.0
Cambridgeshire,Other equipment,Shield,35.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,41.0
Cambridgeshire,Less lethal weapons,*Total Less lethal weapons,162.0,20.0,14.0,0.0,5.0,8.0,4.0,1.0,214.0
Cambridgeshire,Less lethal weapons,CED,157.0,19.0,12.0,0.0,5.0,8.0,3.0,1.0,205.0
Cambridgeshire,Less lethal weapons,"AEP, of which",5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0
Cambridgeshire,Less lethal weapons,AEP aimed,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Cambridgeshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Less lethal weapons,Not stated AEP,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
Cambridgeshire,Firearms,*Total Firearms,15.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,24.0
Cambridgeshire,Other,*Total Other,372.0,19.0,15.0,0.0,7.0,20.0,6.0,4.0,443.0
Cambridgeshire,Other,"Dog use, of which",4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
Cambridgeshire,Other,Dog deployed,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
Cambridgeshire,Other,Dog bite,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cambridgeshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other,Other / improvised,368.0,18.0,14.0,0.0,7.0,20.0,6.0,4.0,437.0
Cambridgeshire,Not reported,*Total Not reported,18.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,26.0
Cambridgeshire,Tactical communication,Tactical communication,3116.0,236.0,218.0,7.0,91.0,237.0,44.0,16.0,3965.0
Cheshire,Total (excluding not reported and tactical communication),*Total Tactics,10133.0,305.0,104.0,1.0,64.0,65.0,1635.0,0.0,12307.0
Cheshire,Restraint,*Total Restraint,7720.0,250.0,80.0,1.0,50.0,53.0,1170.0,0.0,9324.0
Cheshire,Restraint,"Handcuffing, of which",5194.0,171.0,68.0,1.0,34.0,45.0,725.0,0.0,6238.0
Cheshire,Restraint,Compliant handcuffing,3271.0,111.0,60.0,1.0,26.0,33.0,409.0,0.0,3911.0
Cheshire,Restraint,Non-compliant handcuffing,1923.0,60.0,8.0,0.0,8.0,12.0,316.0,0.0,2327.0
Cheshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Restraint,Limb / Body restraints,292.0,9.0,4.0,0.0,4.0,0.0,75.0,0.0,384.0
Cheshire,Restraint,Ground restraint,2234.0,70.0,8.0,0.0,12.0,8.0,370.0,0.0,2702.0
Cheshire,Unarmed skills,*Total Unarmed skills,1254.0,27.0,7.0,0.0,7.0,6.0,246.0,0.0,1547.0
Cheshire,Other equipment,*Total Other equipment,825.0,19.0,10.0,0.0,2.0,5.0,127.0,0.0,988.0
Cheshire,Other equipment,"Baton, of which",37.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,46.0
Cheshire,Other equipment,Baton drawn,22.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,28.0
Cheshire,Other equipment,Baton used,15.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,18.0
Cheshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,"Irritant spray, of which",707.0,18.0,9.0,0.0,2.0,3.0,113.0,0.0,852.0
Cheshire,Other equipment,Irritant spray - drawn,244.0,3.0,3.0,0.0,1.0,1.0,51.0,0.0,303.0
Cheshire,Other equipment,Irritant spray - used,463.0,15.0,6.0,0.0,1.0,2.0,62.0,0.0,549.0
Cheshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,Spit and bite guard,80.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,88.0
Cheshire,Other equipment,Shield,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Cheshire,Less lethal weapons,*Total Less lethal weapons,327.0,9.0,5.0,0.0,5.0,1.0,91.0,0.0,438.0
Cheshire,Less lethal weapons,CED,327.0,9.0,5.0,0.0,5.0,1.0,91.0,0.0,438.0
Cheshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Firearms,*Total Firearms,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0
Cheshire,Other,*Total Other,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Cheshire,Other,"Dog use, of which",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Cheshire,Other,Dog deployed,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Cheshire,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Cheshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other,Other / improvised,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Not reported,*Total Not reported,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0
Cheshire,Tactical communication,Tactical communication,3711.0,101.0,32.0,0.0,21.0,20.0,659.0,0.0,4544.0
City of London,Total (excluding not reported and tactical communication),*Total Tactics,1546.0,716.0,297.0,32.0,0.0,53.0,60.0,0.0,2704.0
City of London,Restraint,*Total Restraint,1005.0,429.0,215.0,26.0,0.0,40.0,28.0,0.0,1743.0
City of London,Restraint,"Handcuffing, of which",927.0,381.0,209.0,23.0,0.0,37.0,26.0,0.0,1603.0
City of London,Restraint,Compliant handcuffing,408.0,158.0,128.0,16.0,0.0,22.0,12.0,0.0,744.0
City of London,Restraint,Non-compliant handcuffing,519.0,223.0,81.0,7.0,0.0,15.0,14.0,0.0,859.0
City of London,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Restraint,Limb / Body restraints,10.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0
City of London,Restraint,Ground restraint,68.0,41.0,6.0,1.0,0.0,3.0,2.0,0.0,121.0
City of London,Unarmed skills,*Total Unarmed skills,405.0,189.0,50.0,4.0,0.0,9.0,13.0,0.0,670.0
City of London,Other equipment,*Total Other equipment,45.0,33.0,8.0,1.0,0.0,0.0,9.0,0.0,96.0
City of London,Other equipment,"Baton, of which",9.0,11.0,3.0,0.0,0.0,0.0,5.0,0.0,28.0
City of London,Other equipment,Baton drawn,6.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,16.0
City of London,Other equipment,Baton used,3.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,12.0
City of London,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,"Irritant spray, of which",36.0,22.0,4.0,1.0,0.0,0.0,3.0,0.0,66.0
City of London,Other equipment,Irritant spray - drawn,22.0,14.0,4.0,1.0,0.0,0.0,1.0,0.0,42.0
City of London,Other equipment,Irritant spray - used,14.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0
City of London,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,Shield,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
City of London,Less lethal weapons,*Total Less lethal weapons,20.0,19.0,8.0,0.0,0.0,1.0,1.0,0.0,49.0
City of London,Less lethal weapons,CED,20.0,19.0,8.0,0.0,0.0,1.0,1.0,0.0,49.0
City of London,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Firearms,*Total Firearms,6.0,5.0,3.0,0.0,0.0,0.0,4.0,0.0,18.0
City of London,Other,*Total Other,65.0,41.0,13.0,1.0,0.0,3.0,5.0,0.0,128.0
City of London,Other,"Dog use, of which",9.0,16.0,8.0,0.0,0.0,2.0,3.0,0.0,38.0
City of London,Other,Dog deployed,8.0,15.0,8.0,0.0,0.0,2.0,3.0,0.0,36.0
City of London,Other,Dog bite,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
City of London,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other,Other / improvised,56.0,25.0,5.0,1.0,0.0,1.0,2.0,0.0,90.0
City of London,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,68.0
City of London,Tactical communication,Tactical communication,706.0,340.0,138.0,13.0,0.0,27.0,18.0,0.0,1242.0
Cleveland,Total (excluding not reported and tactical communication),*Total Tactics,12566.0,269.0,348.0,4.0,107.0,73.0,54.0,0.0,13421.0
Cleveland,Restraint,*Total Restraint,9372.0,203.0,273.0,3.0,80.0,62.0,36.0,0.0,10029.0
Cleveland,Restraint,"Handcuffing, of which",7143.0,159.0,227.0,2.0,64.0,58.0,29.0,0.0,7682.0
Cleveland,Restraint,Compliant handcuffing,4886.0,120.0,179.0,2.0,46.0,47.0,23.0,0.0,5303.0
Cleveland,Restraint,Non-compliant handcuffing,2257.0,39.0,48.0,0.0,18.0,11.0,6.0,0.0,2379.0
Cleveland,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Restraint,Limb / Body restraints,236.0,3.0,10.0,0.0,2.0,0.0,0.0,0.0,251.0
Cleveland,Restraint,Ground restraint,1993.0,41.0,36.0,1.0,14.0,4.0,7.0,0.0,2096.0
Cleveland,Unarmed skills,*Total Unarmed skills,2320.0,51.0,49.0,1.0,22.0,9.0,14.0,0.0,2466.0
Cleveland,Other equipment,*Total Other equipment,410.0,9.0,16.0,0.0,2.0,1.0,0.0,0.0,438.0
Cleveland,Other equipment,"Baton, of which",122.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,134.0
Cleveland,Other equipment,Baton drawn,82.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,91.0
Cleveland,Other equipment,Baton used,40.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0
Cleveland,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Other equipment,"Irritant spray, of which",276.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,292.0
Cleveland,Other equipment,Irritant spray - drawn,130.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,138.0
Cleveland,Other equipment,Irritant spray - used,146.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,154.0
Cleveland,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Other equipment,Spit and bite guard,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Cleveland,Other equipment,Shield,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Cleveland,Less lethal weapons,*Total Less lethal weapons,254.0,4.0,2.0,0.0,1.0,1.0,3.0,0.0,265.0
Cleveland,Less lethal weapons,CED,238.0,4.0,2.0,0.0,1.0,1.0,3.0,0.0,249.0
Cleveland,Less lethal weapons,"AEP, of which",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Cleveland,Less lethal weapons,AEP aimed,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Cleveland,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Firearms,*Total Firearms,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0
