Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Mixed,Other,Not reported,Number of times tactic reported
Avon & Somerset,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,*Total Less lethal weapons,703.0,77.0,5.0,3.0,2.0,288.0,1078.0
Avon & Somerset,Less lethal weapons,CED of which,703.0,77.0,5.0,3.0,2.0,288.0,1078.0
Avon & Somerset,Less lethal weapons,CED non-discharge,553.0,67.0,5.0,2.0,1.0,243.0,871.0
Avon & Somerset,Less lethal weapons,CED discharge,138.0,6.0,0.0,1.0,1.0,42.0,188.0
Avon & Somerset,Less lethal weapons,CED not stated,12.0,4.0,0.0,0.0,0.0,3.0,19.0
Avon & Somerset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Firearms,*Total Firearms,9.0,1.0,1.0,0.0,0.0,11.0,22.0
Avon & Somerset,Other,*Total Other,636.0,50.0,10.0,11.0,6.0,357.0,1070.0
Avon & Somerset,Other,"Dog use, of which",9.0,0.0,0.0,0.0,0.0,5.0,14.0
Avon & Somerset,Other,Dog deployed,:,:,:,:,:,:,:
Avon & Somerset,Other,Dog bite,:,:,:,:,:,:,:
Avon & Somerset,Other,Dog not stated,9.0,0.0,0.0,0.0,0.0,5.0,14.0
Avon & Somerset,Other,Other / improvised,627.0,50.0,10.0,11.0,6.0,352.0,1056.0
Avon & Somerset,Not reported,*Total Not reported,90.0,4.0,3.0,3.0,1.0,60.0,161.0
Avon & Somerset,Tactical communication,Tactical communication,1626.0,127.0,19.0,28.0,9.0,848.0,2657.0
Bedfordshire,Total (excluding not reported and tactical communication),*Total Tactics,4132.0,1114.0,711.0,218.0,251.0,104.0,6530.0
Bedfordshire,Restraint,*Total Restraint,2394.0,631.0,424.0,115.0,169.0,49.0,3782.0
Bedfordshire,Restraint,"Handcuffing, of which",1630.0,453.0,343.0,84.0,126.0,30.0,2666.0
Bedfordshire,Restraint,Compliant handcuffing,864.0,240.0,214.0,46.0,78.0,14.0,1456.0
Bedfordshire,Restraint,Non-compliant handcuffing,766.0,213.0,129.0,38.0,48.0,16.0,1210.0
Bedfordshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Restraint,Limb / Body restraints,300.0,69.0,26.0,12.0,15.0,6.0,428.0
Bedfordshire,Restraint,Ground restraint,464.0,109.0,55.0,19.0,28.0,13.0,688.0
Bedfordshire,Unarmed skills,*Total Unarmed skills,1198.0,332.0,200.0,68.0,62.0,34.0,1894.0
Bedfordshire,Other equipment,*Total Other equipment,254.0,64.0,30.0,18.0,6.0,10.0,382.0
Bedfordshire,Other equipment,"Baton, of which",55.0,7.0,6.0,0.0,0.0,4.0,72.0
Bedfordshire,Other equipment,Baton drawn,37.0,4.0,3.0,0.0,0.0,2.0,46.0
Bedfordshire,Other equipment,Baton used,18.0,3.0,3.0,0.0,0.0,2.0,26.0
Bedfordshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other equipment,"Irritant spray, of which",131.0,44.0,19.0,18.0,3.0,4.0,219.0
Bedfordshire,Other equipment,Irritant spray - drawn,69.0,25.0,10.0,9.0,2.0,2.0,117.0
Bedfordshire,Other equipment,Irritant spray - used,59.0,19.0,9.0,9.0,1.0,2.0,99.0
Bedfordshire,Other equipment,Irritant spray not stated,3.0,0.0,0.0,0.0,0.0,0.0,3.0
Bedfordshire,Other equipment,Spit and bite guard,62.0,8.0,5.0,0.0,3.0,2.0,80.0
Bedfordshire,Other equipment,Shield,6.0,5.0,0.0,0.0,0.0,0.0,11.0
Bedfordshire,Less lethal weapons,*Total Less lethal weapons,158.0,41.0,31.0,9.0,6.0,5.0,250.0
Bedfordshire,Less lethal weapons,CED of which,157.0,40.0,31.0,8.0,6.0,5.0,247.0
Bedfordshire,Less lethal weapons,CED non-discharge,141.0,37.0,28.0,5.0,5.0,1.0,217.0
Bedfordshire,Less lethal weapons,CED discharge,13.0,3.0,1.0,3.0,0.0,4.0,24.0
Bedfordshire,Less lethal weapons,CED not stated,3.0,0.0,2.0,0.0,1.0,0.0,6.0
Bedfordshire,Less lethal weapons,"AEP, of which",1.0,1.0,0.0,1.0,0.0,0.0,3.0
Bedfordshire,Less lethal weapons,AEP drawn,0.0,1.0,0.0,1.0,0.0,0.0,2.0
Bedfordshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Less lethal weapons,AEP not stated,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Bedfordshire,Firearms,*Total Firearms,9.0,2.0,4.0,1.0,0.0,0.0,16.0
Bedfordshire,Other,*Total Other,119.0,44.0,22.0,7.0,8.0,6.0,206.0
Bedfordshire,Other,"Dog use, of which",4.0,8.0,0.0,0.0,0.0,0.0,12.0
Bedfordshire,Other,Dog deployed,2.0,4.0,0.0,0.0,0.0,0.0,6.0
Bedfordshire,Other,Dog bite,2.0,4.0,0.0,0.0,0.0,0.0,6.0
Bedfordshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other,Other / improvised,115.0,36.0,22.0,7.0,8.0,6.0,194.0
Bedfordshire,Not reported,*Total Not reported,5.0,2.0,1.0,0.0,1.0,0.0,9.0
Bedfordshire,Tactical communication,Tactical communication,2152.0,599.0,408.0,129.0,133.0,53.0,3474.0
Cambridgeshire,Total (excluding not reported and tactical communication),*Total Tactics,6176.0,518.0,482.0,244.0,390.0,182.0,7992.0
Cambridgeshire,Restraint,*Total Restraint,3109.0,260.0,257.0,113.0,214.0,82.0,4035.0
Cambridgeshire,Restraint,"Handcuffing, of which",2047.0,170.0,196.0,79.0,165.0,58.0,2715.0
Cambridgeshire,Restraint,Compliant handcuffing,912.0,72.0,108.0,32.0,105.0,34.0,1263.0
Cambridgeshire,Restraint,Non-compliant handcuffing,1135.0,98.0,88.0,47.0,60.0,24.0,1452.0
Cambridgeshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Restraint,Limb / Body restraints,354.0,29.0,14.0,14.0,12.0,9.0,432.0
Cambridgeshire,Restraint,Ground restraint,708.0,61.0,47.0,20.0,37.0,15.0,888.0
Cambridgeshire,Unarmed skills,*Total Unarmed skills,1838.0,136.0,152.0,76.0,105.0,63.0,2370.0
Cambridgeshire,Other equipment,*Total Other equipment,692.0,78.0,40.0,32.0,36.0,18.0,896.0
Cambridgeshire,Other equipment,"Baton, of which",80.0,13.0,1.0,2.0,5.0,9.0,110.0
Cambridgeshire,Other equipment,Baton drawn,52.0,8.0,1.0,1.0,4.0,7.0,73.0
Cambridgeshire,Other equipment,Baton used,28.0,5.0,0.0,1.0,1.0,2.0,37.0
Cambridgeshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other equipment,"Irritant spray, of which",493.0,61.0,32.0,23.0,25.0,5.0,639.0
Cambridgeshire,Other equipment,Irritant spray - drawn,305.0,38.0,19.0,15.0,14.0,4.0,395.0
Cambridgeshire,Other equipment,Irritant spray - used,188.0,23.0,12.0,8.0,11.0,1.0,243.0
Cambridgeshire,Other equipment,Irritant spray not stated,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Cambridgeshire,Other equipment,Spit and bite guard,97.0,3.0,7.0,7.0,4.0,4.0,122.0
Cambridgeshire,Other equipment,Shield,22.0,1.0,0.0,0.0,2.0,0.0,25.0
Cambridgeshire,Less lethal weapons,*Total Less lethal weapons,153.0,21.0,15.0,4.0,16.0,5.0,214.0
Cambridgeshire,Less lethal weapons,CED of which,150.0,21.0,13.0,4.0,15.0,5.0,208.0
Cambridgeshire,Less lethal weapons,CED non-discharge,137.0,18.0,13.0,4.0,12.0,3.0,187.0
Cambridgeshire,Less lethal weapons,CED discharge,13.0,3.0,0.0,0.0,3.0,2.0,21.0
Cambridgeshire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Less lethal weapons,"AEP, of which",3.0,0.0,2.0,0.0,1.0,0.0,6.0
Cambridgeshire,Less lethal weapons,AEP drawn,3.0,0.0,2.0,0.0,0.0,0.0,5.0
Cambridgeshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Cambridgeshire,Firearms,*Total Firearms,13.0,1.0,3.0,0.0,1.0,0.0,18.0
Cambridgeshire,Other,*Total Other,371.0,22.0,15.0,19.0,18.0,14.0,459.0
Cambridgeshire,Other,"Dog use, of which",2.0,0.0,0.0,0.0,0.0,0.0,2.0
Cambridgeshire,Other,Dog deployed,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Cambridgeshire,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other,Other / improvised,369.0,22.0,15.0,19.0,18.0,14.0,457.0
Cambridgeshire,Not reported,*Total Not reported,18.0,0.0,5.0,0.0,3.0,2.0,28.0
Cambridgeshire,Tactical communication,Tactical communication,3061.0,241.0,253.0,113.0,211.0,94.0,3973.0
Cheshire,Total (excluding not reported and tactical communication),*Total Tactics,9634.0,251.0,84.0,64.0,1887.0,0.0,11920.0
Cheshire,Restraint,*Total Restraint,7233.0,189.0,71.0,47.0,1365.0,0.0,8905.0
Cheshire,Restraint,"Handcuffing, of which",4810.0,128.0,54.0,34.0,849.0,0.0,5875.0
Cheshire,Restraint,Compliant handcuffing,3081.0,79.0,44.0,24.0,499.0,0.0,3727.0
Cheshire,Restraint,Non-compliant handcuffing,1729.0,49.0,10.0,10.0,350.0,0.0,2148.0
Cheshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Restraint,Limb / Body restraints,250.0,5.0,2.0,1.0,58.0,0.0,316.0
Cheshire,Restraint,Ground restraint,2173.0,56.0,15.0,12.0,458.0,0.0,2714.0
Cheshire,Unarmed skills,*Total Unarmed skills,1287.0,32.0,8.0,12.0,258.0,0.0,1597.0
Cheshire,Other equipment,*Total Other equipment,740.0,14.0,3.0,1.0,137.0,0.0,895.0
Cheshire,Other equipment,"Baton, of which",34.0,1.0,0.0,0.0,9.0,0.0,44.0
Cheshire,Other equipment,Baton drawn,24.0,1.0,0.0,0.0,6.0,0.0,31.0
Cheshire,Other equipment,Baton used,10.0,0.0,0.0,0.0,3.0,0.0,13.0
Cheshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,"Irritant spray, of which",632.0,13.0,3.0,1.0,119.0,0.0,768.0
Cheshire,Other equipment,Irritant spray - drawn,223.0,5.0,1.0,0.0,52.0,0.0,281.0
Cheshire,Other equipment,Irritant spray - used,409.0,8.0,2.0,1.0,67.0,0.0,487.0
Cheshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,Spit and bite guard,73.0,0.0,0.0,0.0,9.0,0.0,82.0
Cheshire,Other equipment,Shield,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Cheshire,Less lethal weapons,*Total Less lethal weapons,342.0,16.0,2.0,4.0,123.0,0.0,487.0
Cheshire,Less lethal weapons,CED of which,342.0,16.0,2.0,4.0,123.0,0.0,487.0
Cheshire,Less lethal weapons,CED non-discharge,301.0,16.0,2.0,4.0,118.0,0.0,441.0
Cheshire,Less lethal weapons,CED discharge,41.0,0.0,0.0,0.0,5.0,0.0,46.0
Cheshire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Firearms,*Total Firearms,4.0,0.0,0.0,0.0,2.0,0.0,6.0
Cheshire,Other,*Total Other,28.0,0.0,0.0,0.0,2.0,0.0,30.0
Cheshire,Other,"Dog use, of which",28.0,0.0,0.0,0.0,2.0,0.0,30.0
Cheshire,Other,Dog deployed,22.0,0.0,0.0,0.0,2.0,0.0,24.0
Cheshire,Other,Dog bite,6.0,0.0,0.0,0.0,0.0,0.0,6.0
Cheshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other,Other / improvised,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Not reported,*Total Not reported,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Cheshire,Tactical communication,Tactical communication,3759.0,104.0,35.0,23.0,802.0,0.0,4723.0
City of London,Total (excluding not reported and tactical communication),*Total Tactics,2058.0,1006.0,438.0,0.0,115.0,81.0,3698.0
City of London,Restraint,*Total Restraint,1367.0,604.0,302.0,0.0,78.0,47.0,2398.0
City of London,Restraint,"Handcuffing, of which",1232.0,533.0,281.0,0.0,66.0,42.0,2154.0
City of London,Restraint,Compliant handcuffing,580.0,234.0,156.0,0.0,34.0,24.0,1028.0
City of London,Restraint,Non-compliant handcuffing,652.0,299.0,125.0,0.0,32.0,18.0,1126.0
City of London,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Restraint,Limb / Body restraints,45.0,29.0,9.0,0.0,5.0,2.0,90.0
City of London,Restraint,Ground restraint,90.0,42.0,12.0,0.0,7.0,3.0,154.0
City of London,Unarmed skills,*Total Unarmed skills,483.0,252.0,88.0,0.0,26.0,21.0,870.0
City of London,Other equipment,*Total Other equipment,64.0,54.0,6.0,0.0,5.0,7.0,136.0
City of London,Other equipment,"Baton, of which",13.0,15.0,4.0,0.0,1.0,5.0,38.0
City of London,Other equipment,Baton drawn,11.0,9.0,3.0,0.0,0.0,4.0,27.0
City of London,Other equipment,Baton used,2.0,6.0,1.0,0.0,1.0,1.0,11.0
City of London,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,"Irritant spray, of which",36.0,33.0,2.0,0.0,3.0,1.0,75.0
City of London,Other equipment,Irritant spray - drawn,27.0,23.0,2.0,0.0,3.0,1.0,56.0
City of London,Other equipment,Irritant spray - used,9.0,10.0,0.0,0.0,0.0,0.0,19.0
City of London,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,Spit and bite guard,14.0,5.0,0.0,0.0,0.0,0.0,19.0
City of London,Other equipment,Shield,1.0,1.0,0.0,0.0,1.0,1.0,4.0
City of London,Less lethal weapons,*Total Less lethal weapons,57.0,52.0,21.0,0.0,3.0,1.0,134.0
City of London,Less lethal weapons,CED of which,57.0,52.0,21.0,0.0,3.0,1.0,134.0
City of London,Less lethal weapons,CED non-discharge,55.0,48.0,21.0,0.0,3.0,1.0,128.0
City of London,Less lethal weapons,CED discharge,2.0,4.0,0.0,0.0,0.0,0.0,6.0
City of London,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Firearms,*Total Firearms,14.0,14.0,16.0,0.0,0.0,3.0,47.0
City of London,Other,*Total Other,73.0,30.0,5.0,0.0,3.0,2.0,113.0
City of London,Other,"Dog use, of which",7.0,7.0,0.0,0.0,0.0,1.0,15.0
City of London,Other,Dog deployed,6.0,6.0,0.0,0.0,0.0,1.0,13.0
City of London,Other,Dog bite,1.0,1.0,0.0,0.0,0.0,0.0,2.0
City of London,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other,Other / improvised,66.0,23.0,5.0,0.0,3.0,1.0,98.0
City of London,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Tactical communication,Tactical communication,981.0,506.0,201.0,0.0,53.0,40.0,1781.0
Cleveland,Total (excluding not reported and tactical communication),*Total Tactics,9463.0,236.0,28.0,13.0,458.0,1740.0,11938.0
Cleveland,Restraint,*Total Restraint,8122.0,207.0,24.0,10.0,401.0,1485.0,10249.0
Cleveland,Restraint,"Handcuffing, of which",7953.0,207.0,24.0,7.0,397.0,1485.0,10073.0
Cleveland,Restraint,Compliant handcuffing,260.0,5.0,0.0,3.0,15.0,0.0,283.0
Cleveland,Restraint,Non-compliant handcuffing,129.0,3.0,0.0,4.0,6.0,0.0,142.0
Cleveland,Restraint,Handcuffing not stated,7564.0,199.0,24.0,0.0,376.0,1485.0,9648.0
Cleveland,Restraint,Limb / Body restraints,17.0,0.0,0.0,0.0,1.0,0.0,18.0
Cleveland,Restraint,Ground restraint,152.0,0.0,0.0,3.0,3.0,0.0,158.0
Cleveland,Unarmed skills,*Total Unarmed skills,488.0,4.0,1.0,1.0,13.0,61.0,568.0
Cleveland,Other equipment,*Total Other equipment,224.0,1.0,1.0,2.0,11.0,27.0,266.0
Cleveland,Other equipment,"Baton, of which",63.0,1.0,1.0,0.0,6.0,10.0,81.0
Cleveland,Other equipment,Baton drawn,2.0,0.0,0.0,0.0,1.0,0.0,3.0
Cleveland,Other equipment,Baton used,3.0,0.0,0.0,0.0,0.0,0.0,3.0
Cleveland,Other equipment,Baton not stated,58.0,1.0,1.0,0.0,5.0,10.0,75.0
Cleveland,Other equipment,"Irritant spray, of which",156.0,0.0,0.0,2.0,5.0,17.0,180.0
Cleveland,Other equipment,Irritant spray - drawn,31.0,0.0,0.0,1.0,1.0,0.0,33.0
Cleveland,Other equipment,Irritant spray - used,117.0,0.0,0.0,1.0,4.0,17.0,139.0
Cleveland,Other equipment,Irritant spray not stated,8.0,0.0,0.0,0.0,0.0,0.0,8.0
Cleveland,Other equipment,Spit and bite guard,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Cleveland,Other equipment,Shield,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Cleveland,Less lethal weapons,*Total Less lethal weapons,245.0,6.0,2.0,0.0,12.0,66.0,331.0
Cleveland,Less lethal weapons,CED of which,244.0,6.0,2.0,0.0,12.0,66.0,330.0
Cleveland,Less lethal weapons,CED non-discharge,222.0,6.0,2.0,0.0,11.0,61.0,302.0
Cleveland,Less lethal weapons,CED discharge,15.0,0.0,0.0,0.0,1.0,5.0,21.0
Cleveland,Less lethal weapons,CED not stated,7.0,0.0,0.0,0.0,0.0,0.0,7.0
Cleveland,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,0.0,0.0,0.0,1.0
Cleveland,Less lethal weapons,AEP drawn,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Cleveland,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Firearms,*Total Firearms,56.0,5.0,0.0,0.0,2.0,11.0,74.0
Cleveland,Other,*Total Other,328.0,13.0,0.0,0.0,19.0,90.0,450.0
Cleveland,Other,"Dog use, of which",25.0,1.0,0.0,0.0,2.0,7.0,35.0
Cleveland,Other,Dog deployed,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Cleveland,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Cleveland,Other,Dog not stated,19.0,1.0,0.0,0.0,2.0,7.0,29.0
Cleveland,Other,Other / improvised,303.0,12.0,0.0,0.0,17.0,83.0,415.0
Cleveland,Not reported,*Total Not reported,152.0,3.0,0.0,0.0,11.0,50.0,216.0
Cleveland,Tactical communication,Tactical communication,1704.0,37.0,4.0,5.0,82.0,317.0,2149.0
Cumbria,Total (excluding not reported and tactical communication),*Total Tactics,6600.0,55.0,40.0,29.0,14.0,27.0,6765.0
Cumbria,Restraint,*Total Restraint,3649.0,29.0,25.0,16.0,12.0,15.0,3746.0
Cumbria,Restraint,"Handcuffing, of which",2686.0,21.0,20.0,11.0,9.0,11.0,2758.0
Cumbria,Restraint,Compliant handcuffing,1030.0,11.0,9.0,3.0,7.0,7.0,1067.0
Cumbria,Restraint,Non-compliant handcuffing,1656.0,10.0,11.0,8.0,2.0,4.0,1691.0
Cumbria,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Restraint,Limb / Body restraints,157.0,0.0,1.0,2.0,1.0,1.0,162.0
Cumbria,Restraint,Ground restraint,806.0,8.0,4.0,3.0,2.0,3.0,826.0
Cumbria,Unarmed skills,*Total Unarmed skills,1845.0,12.0,5.0,8.0,1.0,6.0,1877.0
Cumbria,Other equipment,*Total Other equipment,545.0,6.0,5.0,2.0,1.0,1.0,560.0
Cumbria,Other equipment,"Baton, of which",22.0,0.0,2.0,0.0,0.0,0.0,24.0
