Tactic,Police Force,Force type - Output,Tactic - Output,health-condition,count
AEP used,Cambridgeshire,,,Mental,0.0
AEP not stated,Cambridgeshire,,,Mental,0.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,Mental,1.0
*Total Other,Cambridgeshire,Other,Total: Other,Mental,103.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,Mental,0.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,Mental,0.0
Dog bite,Cambridgeshire,Other,Dog: bite,Mental,0.0
Dog not stated,Cambridgeshire,,,Mental,0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,Mental,103.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,Mental,3.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,Mental,808.0
*Total Tactics,Cheshire,Total,Total: all,Mental,761.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,Mental,549.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,Mental,305.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,Mental,133.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,Mental,172.0
Handcuffing not stated,Cheshire,,,Mental,0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,Mental,41.0
Ground restraint,Cheshire,Restraint,Ground restraint,Mental,203.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,Mental,108.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,Mental,42.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,Mental,2.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,Mental,2.0
Baton used,Cheshire,Other equipment,Baton: used,Mental,0.0
Baton not stated,Cheshire,,,Mental,0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,Mental,35.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,Mental,13.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,Mental,22.0
Irritant spray not stated,Cheshire,,,Mental,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,Mental,5.0
Shield,Cheshire,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,Mental,60.0
CED of which,Cheshire,,,Mental,60.0
CED non-discharge,Cheshire,,,Mental,48.0
CED discharge,Cheshire,,,Mental,12.0
CED not stated,Cheshire,,,Mental,0.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Cheshire,,,Mental,0.0
AEP used,Cheshire,,,Mental,0.0
AEP not stated,Cheshire,,,Mental,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,Mental,2.0
*Total Other,Cheshire,Other,Total: Other,Mental,0.0
"Dog use, of which",Cheshire,Other,Total: Dog,Mental,0.0
Dog deployed,Cheshire,Other,Dog: deployed,Mental,0.0
Dog bite,Cheshire,Other,Dog: bite,Mental,0.0
Dog not stated,Cheshire,,,Mental,0.0
Other / improvised,Cheshire,Other,Other / improvised,Mental,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,Mental,333.0
*Total Tactics,City of London,Total,Total: all,Mental,528.0
*Total Restraint,City of London,Restraint,Total: Restraint,Mental,300.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,Mental,234.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,Mental,57.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,Mental,177.0
Handcuffing not stated,City of London,,,Mental,0.0
Limb / Body restraints,City of London,Restraint,Limb / body restraints,Mental,22.0
Ground restraint,City of London,Restraint,Ground restraint,Mental,44.0
*Total Unarmed skills,City of London,Unarmed skills,Total: unarmed skills,Mental,174.0
*Total Other equipment,City of London,Other equipment,Total: Other equipment,Mental,14.0
"Baton, of which",City of London,Other equipment,Total: Baton,Mental,0.0
Baton drawn,City of London,Other equipment,Baton: drawn,Mental,0.0
Baton used,City of London,Other equipment,Baton: used,Mental,0.0
Baton not stated,City of London,,,Mental,0.0
"Irritant spray, of which",City of London,Other equipment,Total: Irritant spray,Mental,5.0
Irritant spray - drawn,City of London,Other equipment,Irritant spray: drawn,Mental,3.0
Irritant spray - used,City of London,Other equipment,Irritant spray: used,Mental,2.0
Irritant spray not stated,City of London,,,Mental,0.0
Spit and bite guard,City of London,Other equipment,Spit and bite guard,Mental,8.0
Shield,City of London,Other equipment,Shield,Mental,1.0
*Total Less lethal weapons,City of London,Less lethal weapons,Total: Less lethal weapons,Mental,15.0
CED of which,City of London,,,Mental,15.0
CED non-discharge,City of London,,,Mental,14.0
CED discharge,City of London,,,Mental,1.0
CED not stated,City of London,,,Mental,0.0
"AEP, of which",City of London,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,City of London,,,Mental,0.0
AEP used,City of London,,,Mental,0.0
AEP not stated,City of London,,,Mental,0.0
*Total Firearms,City of London,Firearms,Total: Firearms,Mental,5.0
*Total Other,City of London,Other,Total: Other,Mental,20.0
"Dog use, of which",City of London,Other,Total: Dog,Mental,0.0
Dog deployed,City of London,Other,Dog: deployed,Mental,0.0
Dog bite,City of London,Other,Dog: bite,Mental,0.0
Dog not stated,City of London,,,Mental,0.0
Other / improvised,City of London,Other,Other / improvised,Mental,20.0
*Total Not reported,City of London,Not reported,Total: Not reported,Mental,0.0
Tactical communication,City of London,Excluded: Tactical Communication,Tactical Communication,Mental,278.0
*Total Tactics,Cleveland,Total,Total: all,Mental,492.0
*Total Restraint,Cleveland,Restraint,Total: Restraint,Mental,410.0
"Handcuffing, of which",Cleveland,Restraint,Total: Handcuffing,Mental,397.0
Compliant handcuffing,Cleveland,Restraint,Handcuffing: compliant,Mental,10.0
Non-compliant handcuffing,Cleveland,Restraint,Handcuffing: non-compliant,Mental,12.0
Handcuffing not stated,Cleveland,,,Mental,375.0
Limb / Body restraints,Cleveland,Restraint,Limb / body restraints,Mental,0.0
Ground restraint,Cleveland,Restraint,Ground restraint,Mental,13.0
*Total Unarmed skills,Cleveland,Unarmed skills,Total: unarmed skills,Mental,30.0
*Total Other equipment,Cleveland,Other equipment,Total: Other equipment,Mental,16.0
"Baton, of which",Cleveland,Other equipment,Total: Baton,Mental,5.0
Baton drawn,Cleveland,Other equipment,Baton: drawn,Mental,0.0
Baton used,Cleveland,Other equipment,Baton: used,Mental,0.0
Baton not stated,Cleveland,,,Mental,5.0
"Irritant spray, of which",Cleveland,Other equipment,Total: Irritant spray,Mental,10.0
Irritant spray - drawn,Cleveland,Other equipment,Irritant spray: drawn,Mental,2.0
Irritant spray - used,Cleveland,Other equipment,Irritant spray: used,Mental,8.0
Irritant spray not stated,Cleveland,,,Mental,0.0
Spit and bite guard,Cleveland,Other equipment,Spit and bite guard,Mental,1.0
Shield,Cleveland,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Cleveland,Less lethal weapons,Total: Less lethal weapons,Mental,11.0
CED of which,Cleveland,,,Mental,11.0
CED non-discharge,Cleveland,,,Mental,9.0
CED discharge,Cleveland,,,Mental,2.0
CED not stated,Cleveland,,,Mental,0.0
"AEP, of which",Cleveland,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Cleveland,,,Mental,0.0
AEP used,Cleveland,,,Mental,0.0
AEP not stated,Cleveland,,,Mental,0.0
*Total Firearms,Cleveland,Firearms,Total: Firearms,Mental,5.0
*Total Other,Cleveland,Other,Total: Other,Mental,20.0
"Dog use, of which",Cleveland,Other,Total: Dog,Mental,1.0
Dog deployed,Cleveland,Other,Dog: deployed,Mental,0.0
Dog bite,Cleveland,Other,Dog: bite,Mental,0.0
Dog not stated,Cleveland,,,Mental,1.0
Other / improvised,Cleveland,Other,Other / improvised,Mental,19.0
*Total Not reported,Cleveland,Not reported,Total: Not reported,Mental,2.0
Tactical communication,Cleveland,Excluded: Tactical Communication,Tactical Communication,Mental,103.0
*Total Tactics,Cumbria,Total,Total: all,Mental,2541.0
*Total Restraint,Cumbria,Restraint,Total: Restraint,Mental,1380.0
"Handcuffing, of which",Cumbria,Restraint,Total: Handcuffing,Mental,961.0
Compliant handcuffing,Cumbria,Restraint,Handcuffing: compliant,Mental,283.0
Non-compliant handcuffing,Cumbria,Restraint,Handcuffing: non-compliant,Mental,678.0
Handcuffing not stated,Cumbria,,,Mental,0.0
Limb / Body restraints,Cumbria,Restraint,Limb / body restraints,Mental,92.0
Ground restraint,Cumbria,Restraint,Ground restraint,Mental,327.0
*Total Unarmed skills,Cumbria,Unarmed skills,Total: unarmed skills,Mental,732.0
*Total Other equipment,Cumbria,Other equipment,Total: Other equipment,Mental,201.0
"Baton, of which",Cumbria,Other equipment,Total: Baton,Mental,10.0
Baton drawn,Cumbria,Other equipment,Baton: drawn,Mental,7.0
Baton used,Cumbria,Other equipment,Baton: used,Mental,3.0
Baton not stated,Cumbria,,,Mental,0.0
"Irritant spray, of which",Cumbria,Other equipment,Total: Irritant spray,Mental,160.0
Irritant spray - drawn,Cumbria,Other equipment,Irritant spray: drawn,Mental,65.0
Irritant spray - used,Cumbria,Other equipment,Irritant spray: used,Mental,95.0
Irritant spray not stated,Cumbria,,,Mental,0.0
Spit and bite guard,Cumbria,Other equipment,Spit and bite guard,Mental,28.0
Shield,Cumbria,Other equipment,Shield,Mental,3.0
*Total Less lethal weapons,Cumbria,Less lethal weapons,Total: Less lethal weapons,Mental,125.0
CED of which,Cumbria,,,Mental,125.0
CED non-discharge,Cumbria,,,Mental,113.0
CED discharge,Cumbria,,,Mental,12.0
CED not stated,Cumbria,,,Mental,0.0
"AEP, of which",Cumbria,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Cumbria,,,Mental,0.0
AEP used,Cumbria,,,Mental,0.0
AEP not stated,Cumbria,,,Mental,0.0
*Total Firearms,Cumbria,Firearms,Total: Firearms,Mental,4.0
*Total Other,Cumbria,Other,Total: Other,Mental,99.0
"Dog use, of which",Cumbria,Other,Total: Dog,Mental,5.0
Dog deployed,Cumbria,Other,Dog: deployed,Mental,5.0
Dog bite,Cumbria,Other,Dog: bite,Mental,0.0
Dog not stated,Cumbria,,,Mental,0.0
Other / improvised,Cumbria,Other,Other / improvised,Mental,94.0
*Total Not reported,Cumbria,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Cumbria,Excluded: Tactical Communication,Tactical Communication,Mental,1079.0
*Total Tactics,Derbyshire,Total,Total: all,Mental,5085.0
*Total Restraint,Derbyshire,Restraint,Total: Restraint,Mental,2694.0
"Handcuffing, of which",Derbyshire,Restraint,Total: Handcuffing,Mental,2223.0
Compliant handcuffing,Derbyshire,Restraint,Handcuffing: compliant,Mental,
Non-compliant handcuffing,Derbyshire,Restraint,Handcuffing: non-compliant,Mental,
Handcuffing not stated,Derbyshire,,,Mental,2223.0
Limb / Body restraints,Derbyshire,Restraint,Limb / body restraints,Mental,222.0
Ground restraint,Derbyshire,Restraint,Ground restraint,Mental,249.0
*Total Unarmed skills,Derbyshire,Unarmed skills,Total: unarmed skills,Mental,1507.0
*Total Other equipment,Derbyshire,Other equipment,Total: Other equipment,Mental,488.0
"Baton, of which",Derbyshire,Other equipment,Total: Baton,Mental,47.0
Baton drawn,Derbyshire,Other equipment,Baton: drawn,Mental,29.0
Baton used,Derbyshire,Other equipment,Baton: used,Mental,18.0
Baton not stated,Derbyshire,,,Mental,0.0
"Irritant spray, of which",Derbyshire,Other equipment,Total: Irritant spray,Mental,380.0
Irritant spray - drawn,Derbyshire,Other equipment,Irritant spray: drawn,Mental,152.0
Irritant spray - used,Derbyshire,Other equipment,Irritant spray: used,Mental,228.0
Irritant spray not stated,Derbyshire,,,Mental,0.0
Spit and bite guard,Derbyshire,Other equipment,Spit and bite guard,Mental,57.0
Shield,Derbyshire,Other equipment,Shield,Mental,4.0
*Total Less lethal weapons,Derbyshire,Less lethal weapons,Total: Less lethal weapons,Mental,130.0
CED of which,Derbyshire,,,Mental,125.0
CED non-discharge,Derbyshire,,,Mental,110.0
CED discharge,Derbyshire,,,Mental,14.0
CED not stated,Derbyshire,,,Mental,1.0
"AEP, of which",Derbyshire,Less lethal weapons,Total: AEP,Mental,5.0
AEP drawn,Derbyshire,,,Mental,5.0
AEP used,Derbyshire,,,Mental,0.0
AEP not stated,Derbyshire,,,Mental,0.0
*Total Firearms,Derbyshire,Firearms,Total: Firearms,Mental,41.0
*Total Other,Derbyshire,Other,Total: Other,Mental,225.0
"Dog use, of which",Derbyshire,Other,Total: Dog,Mental,34.0
Dog deployed,Derbyshire,Other,Dog: deployed,Mental,31.0
Dog bite,Derbyshire,Other,Dog: bite,Mental,3.0
Dog not stated,Derbyshire,,,Mental,0.0
Other / improvised,Derbyshire,Other,Other / improvised,Mental,191.0
*Total Not reported,Derbyshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Derbyshire,Excluded: Tactical Communication,Tactical Communication,Mental,2227.0
*Total Tactics,Devon & Cornwall,Total,Total: all,Mental,3921.0
*Total Restraint,Devon & Cornwall,Restraint,Total: Restraint,Mental,2290.0
"Handcuffing, of which",Devon & Cornwall,Restraint,Total: Handcuffing,Mental,1387.0
Compliant handcuffing,Devon & Cornwall,Restraint,Handcuffing: compliant,Mental,315.0
Non-compliant handcuffing,Devon & Cornwall,Restraint,Handcuffing: non-compliant,Mental,1072.0
Handcuffing not stated,Devon & Cornwall,,,Mental,0.0
Limb / Body restraints,Devon & Cornwall,Restraint,Limb / body restraints,Mental,228.0
Ground restraint,Devon & Cornwall,Restraint,Ground restraint,Mental,675.0
*Total Unarmed skills,Devon & Cornwall,Unarmed skills,Total: unarmed skills,Mental,1211.0
*Total Other equipment,Devon & Cornwall,Other equipment,Total: Other equipment,Mental,174.0
"Baton, of which",Devon & Cornwall,Other equipment,Total: Baton,Mental,13.0
Baton drawn,Devon & Cornwall,Other equipment,Baton: drawn,Mental,8.0
Baton used,Devon & Cornwall,Other equipment,Baton: used,Mental,5.0
Baton not stated,Devon & Cornwall,,,Mental,0.0
"Irritant spray, of which",Devon & Cornwall,Other equipment,Total: Irritant spray,Mental,59.0
Irritant spray - drawn,Devon & Cornwall,Other equipment,Irritant spray: drawn,Mental,30.0
Irritant spray - used,Devon & Cornwall,Other equipment,Irritant spray: used,Mental,29.0
Irritant spray not stated,Devon & Cornwall,,,Mental,0.0
Spit and bite guard,Devon & Cornwall,Other equipment,Spit and bite guard,Mental,92.0
Shield,Devon & Cornwall,Other equipment,Shield,Mental,10.0
*Total Less lethal weapons,Devon & Cornwall,Less lethal weapons,Total: Less lethal weapons,Mental,168.0
CED of which,Devon & Cornwall,,,Mental,160.0
CED non-discharge,Devon & Cornwall,,,Mental,139.0
CED discharge,Devon & Cornwall,,,Mental,16.0
CED not stated,Devon & Cornwall,,,Mental,5.0
"AEP, of which",Devon & Cornwall,Less lethal weapons,Total: AEP,Mental,8.0
AEP drawn,Devon & Cornwall,,,Mental,7.0
AEP used,Devon & Cornwall,,,Mental,1.0
AEP not stated,Devon & Cornwall,,,Mental,0.0
*Total Firearms,Devon & Cornwall,Firearms,Total: Firearms,Mental,8.0
*Total Other,Devon & Cornwall,Other,Total: Other,Mental,70.0
"Dog use, of which",Devon & Cornwall,Other,Total: Dog,Mental,2.0
Dog deployed,Devon & Cornwall,Other,Dog: deployed,Mental,0.0
Dog bite,Devon & Cornwall,Other,Dog: bite,Mental,2.0
Dog not stated,Devon & Cornwall,,,Mental,0.0
Other / improvised,Devon & Cornwall,Other,Other / improvised,Mental,68.0
*Total Not reported,Devon & Cornwall,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Devon & Cornwall,Excluded: Tactical Communication,Tactical Communication,Mental,1837.0
*Total Tactics,Dorset,Total,Total: all,Mental,2048.0
*Total Restraint,Dorset,Restraint,Total: Restraint,Mental,1605.0
"Handcuffing, of which",Dorset,Restraint,Total: Handcuffing,Mental,1034.0
Compliant handcuffing,Dorset,Restraint,Handcuffing: compliant,Mental,263.0
Non-compliant handcuffing,Dorset,Restraint,Handcuffing: non-compliant,Mental,771.0
Handcuffing not stated,Dorset,,,Mental,0.0
Limb / Body restraints,Dorset,Restraint,Limb / body restraints,Mental,131.0
Ground restraint,Dorset,Restraint,Ground restraint,Mental,440.0
*Total Unarmed skills,Dorset,Unarmed skills,Total: unarmed skills,Mental,312.0
*Total Other equipment,Dorset,Other equipment,Total: Other equipment,Mental,53.0
"Baton, of which",Dorset,Other equipment,Total: Baton,Mental,2.0
Baton drawn,Dorset,Other equipment,Baton: drawn,Mental,2.0
Baton used,Dorset,Other equipment,Baton: used,Mental,0.0
Baton not stated,Dorset,,,Mental,0.0
"Irritant spray, of which",Dorset,Other equipment,Total: Irritant spray,Mental,27.0
Irritant spray - drawn,Dorset,Other equipment,Irritant spray: drawn,Mental,12.0
Irritant spray - used,Dorset,Other equipment,Irritant spray: used,Mental,15.0
Irritant spray not stated,Dorset,,,Mental,0.0
Spit and bite guard,Dorset,Other equipment,Spit and bite guard,Mental,24.0
Shield,Dorset,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Dorset,Less lethal weapons,Total: Less lethal weapons,Mental,44.0
CED of which,Dorset,,,Mental,44.0
CED non-discharge,Dorset,,,Mental,37.0
CED discharge,Dorset,,,Mental,7.0
CED not stated,Dorset,,,Mental,0.0
"AEP, of which",Dorset,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Dorset,,,Mental,0.0
AEP used,Dorset,,,Mental,0.0
AEP not stated,Dorset,,,Mental,0.0
*Total Firearms,Dorset,Firearms,Total: Firearms,Mental,7.0
*Total Other,Dorset,Other,Total: Other,Mental,27.0
"Dog use, of which",Dorset,Other,Total: Dog,Mental,6.0
Dog deployed,Dorset,Other,Dog: deployed,Mental,5.0
Dog bite,Dorset,Other,Dog: bite,Mental,1.0
Dog not stated,Dorset,,,Mental,0.0
Other / improvised,Dorset,Other,Other / improvised,Mental,21.0
*Total Not reported,Dorset,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Dorset,Excluded: Tactical Communication,Tactical Communication,Mental,77.0
*Total Tactics,Durham,Total,Total: all,Mental,447.0
*Total Restraint,Durham,Restraint,Total: Restraint,Mental,255.0
"Handcuffing, of which",Durham,Restraint,Total: Handcuffing,Mental,173.0
Compliant handcuffing,Durham,Restraint,Handcuffing: compliant,Mental,107.0
Non-compliant handcuffing,Durham,Restraint,Handcuffing: non-compliant,Mental,66.0
Handcuffing not stated,Durham,,,Mental,0.0
Limb / Body restraints,Durham,Restraint,Limb / body restraints,Mental,22.0
Ground restraint,Durham,Restraint,Ground restraint,Mental,60.0
*Total Unarmed skills,Durham,Unarmed skills,Total: unarmed skills,Mental,136.0
*Total Other equipment,Durham,Other equipment,Total: Other equipment,Mental,13.0
"Baton, of which",Durham,Other equipment,Total: Baton,Mental,3.0
Baton drawn,Durham,Other equipment,Baton: drawn,Mental,0.0
Baton used,Durham,Other equipment,Baton: used,Mental,3.0
Baton not stated,Durham,,,Mental,0.0
"Irritant spray, of which",Durham,Other equipment,Total: Irritant spray,Mental,8.0
Irritant spray - drawn,Durham,Other equipment,Irritant spray: drawn,Mental,5.0
Irritant spray - used,Durham,Other equipment,Irritant spray: used,Mental,3.0
Irritant spray not stated,Durham,,,Mental,0.0
Spit and bite guard,Durham,Other equipment,Spit and bite guard,Mental,2.0
Shield,Durham,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Durham,Less lethal weapons,Total: Less lethal weapons,Mental,26.0
CED of which,Durham,,,Mental,25.0
CED non-discharge,Durham,,,Mental,20.0
CED discharge,Durham,,,Mental,3.0
CED not stated,Durham,,,Mental,2.0
"AEP, of which",Durham,Less lethal weapons,Total: AEP,Mental,1.0
AEP drawn,Durham,,,Mental,1.0
AEP used,Durham,,,Mental,0.0
AEP not stated,Durham,,,Mental,0.0
*Total Firearms,Durham,Firearms,Total: Firearms,Mental,0.0
*Total Other,Durham,Other,Total: Other,Mental,17.0
"Dog use, of which",Durham,Other,Total: Dog,Mental,2.0
Dog deployed,Durham,Other,Dog: deployed,Mental,2.0
Dog bite,Durham,Other,Dog: bite,Mental,0.0
Dog not stated,Durham,,,Mental,0.0
Other / improvised,Durham,Other,Other / improvised,Mental,15.0
*Total Not reported,Durham,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Durham,Excluded: Tactical Communication,Tactical Communication,Mental,93.0
*Total Tactics,Dyfed-Powys,Total,Total: all,Mental,1919.0
