Tactic,Police Force,Force type - Output,Tactic - Output,Age,count
Other / improvised,Bedfordshire,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,Under 11 years,1.0
*Total Tactics,Cambridgeshire,Total,Total: all,Under 11 years,7.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,Under 11 years,0.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,Under 11 years,0.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Not stated handcuffing,Cambridgeshire,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,Under 11 years,5.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Cambridgeshire,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Cambridgeshire,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,Cambridgeshire,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Cambridgeshire,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED,Cambridgeshire,Less lethal weapons,CED,Under 11 years,0.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Cambridgeshire,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Cambridgeshire,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Cambridgeshire,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Cambridgeshire,Other,Total: Other,Under 11 years,2.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Cambridgeshire,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Cambridgeshire,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,Under 11 years,2.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,Under 11 years,1.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,Under 11 years,6.0
*Total Tactics,Cheshire,Total,Total: all,Under 11 years,21.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,Under 11 years,14.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,Under 11 years,3.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,Under 11 years,2.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,Under 11 years,1.0
Not stated handcuffing,Cheshire,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,Under 11 years,1.0
Ground restraint,Cheshire,Restraint,Ground restraint,Under 11 years,10.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,Under 11 years,6.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,Under 11 years,1.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Cheshire,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Cheshire,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,Cheshire,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,Under 11 years,1.0
Shield,Cheshire,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED,Cheshire,Less lethal weapons,CED,Under 11 years,0.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Cheshire,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Cheshire,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Cheshire,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Cheshire,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Cheshire,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Cheshire,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Cheshire,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Cheshire,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Cheshire,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,Under 11 years,11.0
*Total Tactics,City of London,Total,Total: all,Under 11 years,0.0
*Total Restraint,City of London,Restraint,Total: Restraint,Under 11 years,0.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,Under 11 years,0.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Not stated handcuffing,City of London,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,City of London,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,City of London,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,City of London,Unarmed skills,Total: unarmed skills,Under 11 years,0.0
*Total Other equipment,City of London,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",City of London,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,City of London,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,City of London,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,City of London,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",City of London,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,City of London,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,City of London,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,City of London,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,City of London,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,City of London,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,City of London,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED,City of London,Less lethal weapons,CED,Under 11 years,0.0
"AEP, of which",City of London,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,City of London,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,City of London,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,City of London,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,City of London,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,City of London,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",City of London,Other,Total: Dog,Under 11 years,0.0
Dog deployed,City of London,Other,Dog: deployed,Under 11 years,0.0
Dog bite,City of London,Other,Dog: bite,Under 11 years,0.0
Not stated dog,City of London,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,City of London,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,City of London,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,City of London,Excluded: Tactical Communication,Tactical Communication,Under 11 years,0.0
*Total Tactics,Cleveland,Total,Total: all,Under 11 years,16.0
*Total Restraint,Cleveland,Restraint,Total: Restraint,Under 11 years,6.0
"Handcuffing, of which",Cleveland,Restraint,Total: Handcuffing,Under 11 years,5.0
Compliant handcuffing,Cleveland,Restraint,Handcuffing: compliant,Under 11 years,2.0
Non-compliant handcuffing,Cleveland,Restraint,Handcuffing: non-compliant,Under 11 years,3.0
Not stated handcuffing,Cleveland,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Cleveland,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Cleveland,Restraint,Ground restraint,Under 11 years,1.0
*Total Unarmed skills,Cleveland,Unarmed skills,Total: unarmed skills,Under 11 years,8.0
*Total Other equipment,Cleveland,Other equipment,Total: Other equipment,Under 11 years,2.0
"Baton, of which",Cleveland,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Cleveland,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Cleveland,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Cleveland,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Cleveland,Other equipment,Total: Irritant spray,Under 11 years,2.0
Irritant spray - drawn,Cleveland,Other equipment,Irritant spray: drawn,Under 11 years,1.0
Irritant spray - used,Cleveland,Other equipment,Irritant spray: used,Under 11 years,1.0
Not stated irritant spray,Cleveland,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Cleveland,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Cleveland,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Cleveland,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED,Cleveland,Less lethal weapons,CED,Under 11 years,0.0
"AEP, of which",Cleveland,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Cleveland,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Cleveland,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Cleveland,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Cleveland,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Cleveland,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Cleveland,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Cleveland,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Cleveland,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Cleveland,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Cleveland,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Cleveland,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Cleveland,Excluded: Tactical Communication,Tactical Communication,Under 11 years,9.0
*Total Tactics,Cumbria,Total,Total: all,Under 11 years,14.0
*Total Restraint,Cumbria,Restraint,Total: Restraint,Under 11 years,3.0
"Handcuffing, of which",Cumbria,Restraint,Total: Handcuffing,Under 11 years,1.0
Compliant handcuffing,Cumbria,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Cumbria,Restraint,Handcuffing: non-compliant,Under 11 years,1.0
Not stated handcuffing,Cumbria,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Cumbria,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Cumbria,Restraint,Ground restraint,Under 11 years,2.0
*Total Unarmed skills,Cumbria,Unarmed skills,Total: unarmed skills,Under 11 years,6.0
*Total Other equipment,Cumbria,Other equipment,Total: Other equipment,Under 11 years,1.0
"Baton, of which",Cumbria,Other equipment,Total: Baton,Under 11 years,1.0
Baton drawn,Cumbria,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Cumbria,Other equipment,Baton: used,Under 11 years,1.0
Not stated baton,Cumbria,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Cumbria,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Cumbria,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Cumbria,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,Cumbria,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Cumbria,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Cumbria,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Cumbria,Less lethal weapons,Total: Less lethal weapons,Under 11 years,1.0
CED,Cumbria,Less lethal weapons,CED,Under 11 years,1.0
"AEP, of which",Cumbria,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Cumbria,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Cumbria,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Cumbria,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Cumbria,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Cumbria,Other,Total: Other,Under 11 years,3.0
"Dog use, of which",Cumbria,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Cumbria,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Cumbria,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Cumbria,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Cumbria,Other,Other / improvised,Under 11 years,3.0
*Total Not reported,Cumbria,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Cumbria,Excluded: Tactical Communication,Tactical Communication,Under 11 years,8.0
*Total Tactics,Derbyshire,Total,Total: all,Under 11 years,4.0
*Total Restraint,Derbyshire,Restraint,Total: Restraint,Under 11 years,2.0
"Handcuffing, of which",Derbyshire,Restraint,Total: Handcuffing,Under 11 years,1.0
Compliant handcuffing,Derbyshire,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Derbyshire,Restraint,Handcuffing: non-compliant,Under 11 years,1.0
Not stated handcuffing,Derbyshire,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Derbyshire,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Derbyshire,Restraint,Ground restraint,Under 11 years,1.0
*Total Unarmed skills,Derbyshire,Unarmed skills,Total: unarmed skills,Under 11 years,1.0
*Total Other equipment,Derbyshire,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Derbyshire,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Derbyshire,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Derbyshire,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Derbyshire,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Derbyshire,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Derbyshire,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Derbyshire,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,Derbyshire,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Derbyshire,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Derbyshire,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Derbyshire,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED,Derbyshire,Less lethal weapons,CED,Under 11 years,0.0
"AEP, of which",Derbyshire,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Derbyshire,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Derbyshire,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Derbyshire,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Derbyshire,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Derbyshire,Other,Total: Other,Under 11 years,1.0
"Dog use, of which",Derbyshire,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Derbyshire,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Derbyshire,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Derbyshire,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Derbyshire,Other,Other / improvised,Under 11 years,1.0
*Total Not reported,Derbyshire,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Derbyshire,Excluded: Tactical Communication,Tactical Communication,Under 11 years,3.0
*Total Tactics,Devon & Cornwall ,Total,Total: all,Under 11 years,13.0
*Total Restraint,Devon & Cornwall ,Restraint,Total: Restraint,Under 11 years,3.0
"Handcuffing, of which",Devon & Cornwall ,Restraint,Total: Handcuffing,Under 11 years,3.0
Compliant handcuffing,Devon & Cornwall ,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Devon & Cornwall ,Restraint,Handcuffing: non-compliant,Under 11 years,3.0
Not stated handcuffing,Devon & Cornwall ,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Devon & Cornwall ,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Devon & Cornwall ,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Devon & Cornwall ,Unarmed skills,Total: unarmed skills,Under 11 years,8.0
*Total Other equipment,Devon & Cornwall ,Other equipment,Total: Other equipment,Under 11 years,1.0
"Baton, of which",Devon & Cornwall ,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Devon & Cornwall ,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Devon & Cornwall ,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Devon & Cornwall ,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Devon & Cornwall ,Other equipment,Total: Irritant spray,Under 11 years,1.0
Irritant spray - drawn,Devon & Cornwall ,Other equipment,Irritant spray: drawn,Under 11 years,1.0
Irritant spray - used,Devon & Cornwall ,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,Devon & Cornwall ,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Devon & Cornwall ,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Devon & Cornwall ,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Devon & Cornwall ,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED,Devon & Cornwall ,Less lethal weapons,CED,Under 11 years,0.0
"AEP, of which",Devon & Cornwall ,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Devon & Cornwall ,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Devon & Cornwall ,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Devon & Cornwall ,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
