Police Force,Type of force,Tactic,Mental,Physical,Physical and mental,None,Not reported,Number of times tactic reported
Bedfordshire,Other equipment,Baton drawn,5.0,0.0,0.0,36.0,0.0,41.0
Bedfordshire,Other equipment,Baton used,3.0,0.0,0.0,15.0,0.0,18.0
Bedfordshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other equipment,"Irritant spray, of which",31.0,0.0,2.0,151.0,0.0,184.0
Bedfordshire,Other equipment,Irritant spray - drawn,17.0,0.0,1.0,91.0,0.0,109.0
Bedfordshire,Other equipment,Irritant spray - used,14.0,0.0,1.0,60.0,0.0,75.0
Bedfordshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other equipment,Spit and bite guard,19.0,0.0,1.0,50.0,0.0,70.0
Bedfordshire,Other equipment,Shield,5.0,0.0,0.0,6.0,0.0,11.0
Bedfordshire,Less lethal weapons,*Total Less lethal weapons,39.0,5.0,1.0,210.0,0.0,255.0
Bedfordshire,Less lethal weapons,CED,39.0,5.0,1.0,203.0,0.0,248.0
Bedfordshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,7.0,0.0,7.0
Bedfordshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,5.0,0.0,5.0
Bedfordshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,2.0,0.0,2.0
Bedfordshire,Firearms,*Total Firearms,1.0,1.0,0.0,24.0,0.0,26.0
Bedfordshire,Other,*Total Other,37.0,2.0,0.0,126.0,0.0,165.0
Bedfordshire,Other,"Dog use, of which",0.0,0.0,0.0,15.0,0.0,15.0
Bedfordshire,Other,Dog deployed,0.0,0.0,0.0,8.0,0.0,8.0
Bedfordshire,Other,Dog bite,0.0,0.0,0.0,7.0,0.0,7.0
Bedfordshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other,Other / improvised,37.0,2.0,0.0,111.0,0.0,150.0
Bedfordshire,Not reported,*Total Not reported,0.0,0.0,0.0,18.0,0.0,18.0
Bedfordshire,Tactical communication,Tactical communication,492.0,30.0,32.0,2332.0,0.0,2886.0
Cambridgeshire,Total (excluding not reported and tactical communication),*Total Tactics,1785.0,70.0,122.0,5750.0,0.0,7727.0
Cambridgeshire,Restraint,*Total Restraint,927.0,36.0,57.0,2996.0,0.0,4016.0
Cambridgeshire,Restraint,"Handcuffing, of which",560.0,26.0,33.0,2174.0,0.0,2793.0
Cambridgeshire,Restraint,Compliant handcuffing,199.0,15.0,10.0,1101.0,0.0,1325.0
Cambridgeshire,Restraint,Non-compliant handcuffing,361.0,11.0,23.0,1073.0,0.0,1468.0
Cambridgeshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Restraint,Limb / Body restraints,156.0,4.0,11.0,263.0,0.0,434.0
Cambridgeshire,Restraint,Ground restraint,211.0,6.0,13.0,559.0,0.0,789.0
Cambridgeshire,Unarmed skills,*Total Unarmed skills,557.0,27.0,46.0,1703.0,0.0,2333.0
Cambridgeshire,Other equipment,*Total Other equipment,131.0,2.0,8.0,556.0,0.0,697.0
Cambridgeshire,Other equipment,"Baton, of which",10.0,0.0,0.0,48.0,0.0,58.0
Cambridgeshire,Other equipment,Baton drawn,7.0,0.0,0.0,35.0,0.0,42.0
Cambridgeshire,Other equipment,Baton used,3.0,0.0,0.0,13.0,0.0,16.0
Cambridgeshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other equipment,"Irritant spray, of which",60.0,0.0,4.0,403.0,0.0,467.0
Cambridgeshire,Other equipment,Irritant spray - drawn,37.0,0.0,3.0,252.0,0.0,292.0
Cambridgeshire,Other equipment,Irritant spray - used,23.0,0.0,1.0,149.0,0.0,173.0
Cambridgeshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,2.0,0.0,2.0
Cambridgeshire,Other equipment,Spit and bite guard,38.0,2.0,3.0,88.0,0.0,131.0
Cambridgeshire,Other equipment,Shield,23.0,0.0,1.0,17.0,0.0,41.0
Cambridgeshire,Less lethal weapons,*Total Less lethal weapons,49.0,0.0,2.0,163.0,0.0,214.0
Cambridgeshire,Less lethal weapons,CED,49.0,0.0,2.0,154.0,0.0,205.0
Cambridgeshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,9.0,0.0,9.0
Cambridgeshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,4.0,0.0,4.0
Cambridgeshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,5.0,0.0,5.0
Cambridgeshire,Firearms,*Total Firearms,0.0,0.0,0.0,24.0,0.0,24.0
Cambridgeshire,Other,*Total Other,121.0,5.0,9.0,308.0,0.0,443.0
Cambridgeshire,Other,"Dog use, of which",0.0,0.0,0.0,6.0,0.0,6.0
Cambridgeshire,Other,Dog deployed,0.0,0.0,0.0,5.0,0.0,5.0
Cambridgeshire,Other,Dog bite,0.0,0.0,0.0,1.0,0.0,1.0
Cambridgeshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other,Other / improvised,121.0,5.0,9.0,302.0,0.0,437.0
Cambridgeshire,Not reported,*Total Not reported,6.0,0.0,0.0,20.0,0.0,26.0
Cambridgeshire,Tactical communication,Tactical communication,905.0,38.0,60.0,2962.0,0.0,3965.0
Cheshire,Total (excluding not reported and tactical communication),*Total Tactics,1778.0,112.0,79.0,10333.0,5.0,12307.0
Cheshire,Restraint,*Total Restraint,1285.0,84.0,61.0,7892.0,2.0,9324.0
Cheshire,Restraint,"Handcuffing, of which",734.0,52.0,36.0,5414.0,2.0,6238.0
Cheshire,Restraint,Compliant handcuffing,352.0,26.0,22.0,3511.0,0.0,3911.0
Cheshire,Restraint,Non-compliant handcuffing,382.0,26.0,14.0,1903.0,2.0,2327.0
Cheshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Restraint,Limb / Body restraints,93.0,2.0,4.0,285.0,0.0,384.0
Cheshire,Restraint,Ground restraint,458.0,30.0,21.0,2193.0,0.0,2702.0
Cheshire,Unarmed skills,*Total Unarmed skills,256.0,17.0,9.0,1265.0,0.0,1547.0
Cheshire,Other equipment,*Total Other equipment,145.0,7.0,6.0,829.0,1.0,988.0
Cheshire,Other equipment,"Baton, of which",6.0,0.0,0.0,40.0,0.0,46.0
Cheshire,Other equipment,Baton drawn,3.0,0.0,0.0,25.0,0.0,28.0
Cheshire,Other equipment,Baton used,3.0,0.0,0.0,15.0,0.0,18.0
Cheshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,"Irritant spray, of which",118.0,6.0,6.0,721.0,1.0,852.0
Cheshire,Other equipment,Irritant spray - drawn,43.0,1.0,2.0,257.0,0.0,303.0
Cheshire,Other equipment,Irritant spray - used,75.0,5.0,4.0,464.0,1.0,549.0
Cheshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,Spit and bite guard,20.0,1.0,0.0,67.0,0.0,88.0
Cheshire,Other equipment,Shield,1.0,0.0,0.0,1.0,0.0,2.0
Cheshire,Less lethal weapons,*Total Less lethal weapons,92.0,4.0,3.0,337.0,2.0,438.0
Cheshire,Less lethal weapons,CED,92.0,4.0,3.0,337.0,2.0,438.0
Cheshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Firearms,*Total Firearms,0.0,0.0,0.0,4.0,0.0,4.0
Cheshire,Other,*Total Other,0.0,0.0,0.0,6.0,0.0,6.0
Cheshire,Other,"Dog use, of which",0.0,0.0,0.0,6.0,0.0,6.0
Cheshire,Other,Dog deployed,0.0,0.0,0.0,4.0,0.0,4.0
Cheshire,Other,Dog bite,0.0,0.0,0.0,2.0,0.0,2.0
Cheshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other,Other / improvised,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Not reported,*Total Not reported,1.0,0.0,0.0,10.0,0.0,11.0
Cheshire,Tactical communication,Tactical communication,726.0,45.0,27.0,3744.0,2.0,4544.0
City of London,Total (excluding not reported and tactical communication),*Total Tactics,442.0,4.0,6.0,2252.0,0.0,2704.0
City of London,Restraint,*Total Restraint,255.0,3.0,3.0,1482.0,0.0,1743.0
City of London,Restraint,"Handcuffing, of which",220.0,3.0,3.0,1377.0,0.0,1603.0
City of London,Restraint,Compliant handcuffing,56.0,1.0,0.0,687.0,0.0,744.0
City of London,Restraint,Non-compliant handcuffing,164.0,2.0,3.0,690.0,0.0,859.0
City of London,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Restraint,Limb / Body restraints,4.0,0.0,0.0,15.0,0.0,19.0
City of London,Restraint,Ground restraint,31.0,0.0,0.0,90.0,0.0,121.0
City of London,Unarmed skills,*Total Unarmed skills,144.0,0.0,3.0,523.0,0.0,670.0
City of London,Other equipment,*Total Other equipment,7.0,0.0,0.0,89.0,0.0,96.0
City of London,Other equipment,"Baton, of which",1.0,0.0,0.0,27.0,0.0,28.0
City of London,Other equipment,Baton drawn,1.0,0.0,0.0,15.0,0.0,16.0
City of London,Other equipment,Baton used,0.0,0.0,0.0,12.0,0.0,12.0
City of London,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,"Irritant spray, of which",5.0,0.0,0.0,61.0,0.0,66.0
City of London,Other equipment,Irritant spray - drawn,3.0,0.0,0.0,39.0,0.0,42.0
City of London,Other equipment,Irritant spray - used,2.0,0.0,0.0,22.0,0.0,24.0
City of London,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,Shield,1.0,0.0,0.0,1.0,0.0,2.0
City of London,Less lethal weapons,*Total Less lethal weapons,10.0,0.0,0.0,39.0,0.0,49.0
City of London,Less lethal weapons,CED,10.0,0.0,0.0,39.0,0.0,49.0
City of London,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Firearms,*Total Firearms,4.0,0.0,0.0,14.0,0.0,18.0
City of London,Other,*Total Other,22.0,1.0,0.0,105.0,0.0,128.0
City of London,Other,"Dog use, of which",2.0,0.0,0.0,36.0,0.0,38.0
City of London,Other,Dog deployed,2.0,0.0,0.0,34.0,0.0,36.0
City of London,Other,Dog bite,0.0,0.0,0.0,2.0,0.0,2.0
City of London,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other,Other / improvised,20.0,1.0,0.0,69.0,0.0,90.0
City of London,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,68.0,68.0
City of London,Tactical communication,Tactical communication,236.0,1.0,3.0,1002.0,0.0,1242.0
Cleveland,Total (excluding not reported and tactical communication),*Total Tactics,699.0,68.0,30.0,12624.0,0.0,13421.0
Cleveland,Restraint,*Total Restraint,468.0,50.0,19.0,9492.0,0.0,10029.0
Cleveland,Restraint,"Handcuffing, of which",323.0,40.0,13.0,7306.0,0.0,7682.0
Cleveland,Restraint,Compliant handcuffing,162.0,31.0,7.0,5103.0,0.0,5303.0
Cleveland,Restraint,Non-compliant handcuffing,161.0,9.0,6.0,2203.0,0.0,2379.0
Cleveland,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Restraint,Limb / Body restraints,33.0,0.0,2.0,216.0,0.0,251.0
Cleveland,Restraint,Ground restraint,112.0,10.0,4.0,1970.0,0.0,2096.0
Cleveland,Unarmed skills,*Total Unarmed skills,141.0,14.0,9.0,2302.0,0.0,2466.0
Cleveland,Other equipment,*Total Other equipment,31.0,0.0,1.0,406.0,0.0,438.0
Cleveland,Other equipment,"Baton, of which",10.0,0.0,0.0,124.0,0.0,134.0
Cleveland,Other equipment,Baton drawn,7.0,0.0,0.0,84.0,0.0,91.0
Cleveland,Other equipment,Baton used,3.0,0.0,0.0,40.0,0.0,43.0
Cleveland,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Other equipment,"Irritant spray, of which",19.0,0.0,0.0,273.0,0.0,292.0
Cleveland,Other equipment,Irritant spray - drawn,12.0,0.0,0.0,126.0,0.0,138.0
Cleveland,Other equipment,Irritant spray - used,7.0,0.0,0.0,147.0,0.0,154.0
Cleveland,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Other equipment,Spit and bite guard,0.0,0.0,1.0,4.0,0.0,5.0
Cleveland,Other equipment,Shield,2.0,0.0,0.0,5.0,0.0,7.0
Cleveland,Less lethal weapons,*Total Less lethal weapons,38.0,1.0,1.0,225.0,0.0,265.0
Cleveland,Less lethal weapons,CED,36.0,1.0,1.0,211.0,0.0,249.0
Cleveland,Less lethal weapons,"AEP, of which",2.0,0.0,0.0,14.0,0.0,16.0
Cleveland,Less lethal weapons,AEP aimed,2.0,0.0,0.0,14.0,0.0,16.0
Cleveland,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Firearms,*Total Firearms,0.0,0.0,0.0,33.0,0.0,33.0
Cleveland,Other,*Total Other,21.0,3.0,0.0,166.0,0.0,190.0
Cleveland,Other,"Dog use, of which",0.0,1.0,0.0,36.0,0.0,37.0
Cleveland,Other,Dog deployed,0.0,1.0,0.0,26.0,0.0,27.0
Cleveland,Other,Dog bite,0.0,0.0,0.0,10.0,0.0,10.0
Cleveland,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Other,Other / improvised,21.0,2.0,0.0,130.0,0.0,153.0
Cleveland,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Tactical communication,Tactical communication,318.0,32.0,17.0,6540.0,0.0,6907.0
Cumbria,Total (excluding not reported and tactical communication),*Total Tactics,2175.0,21.0,45.0,4011.0,0.0,6252.0
Cumbria,Restraint,*Total Restraint,1208.0,10.0,19.0,2362.0,0.0,3599.0
Cumbria,Restraint,"Handcuffing, of which",869.0,7.0,17.0,1812.0,0.0,2705.0
Cumbria,Restraint,Compliant handcuffing,327.0,2.0,6.0,912.0,0.0,1247.0
Cumbria,Restraint,Non-compliant handcuffing,542.0,5.0,11.0,900.0,0.0,1458.0
Cumbria,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Restraint,Limb / Body restraints,78.0,1.0,0.0,77.0,0.0,156.0
Cumbria,Restraint,Ground restraint,261.0,2.0,2.0,473.0,0.0,738.0
Cumbria,Unarmed skills,*Total Unarmed skills,605.0,9.0,18.0,1081.0,0.0,1713.0
Cumbria,Other equipment,*Total Other equipment,152.0,0.0,1.0,276.0,0.0,429.0
Cumbria,Other equipment,"Baton, of which",7.0,0.0,0.0,16.0,0.0,23.0
Cumbria,Other equipment,Baton drawn,3.0,0.0,0.0,6.0,0.0,9.0
Cumbria,Other equipment,Baton used,4.0,0.0,0.0,10.0,0.0,14.0
Cumbria,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,"Irritant spray, of which",134.0,0.0,1.0,248.0,0.0,383.0
Cumbria,Other equipment,Irritant spray - drawn,56.0,0.0,0.0,98.0,0.0,154.0
Cumbria,Other equipment,Irritant spray - used,78.0,0.0,1.0,150.0,0.0,229.0
Cumbria,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,Spit and bite guard,8.0,0.0,0.0,10.0,0.0,18.0
Cumbria,Other equipment,Shield,3.0,0.0,0.0,2.0,0.0,5.0
Cumbria,Less lethal weapons,*Total Less lethal weapons,89.0,0.0,3.0,122.0,0.0,214.0
Cumbria,Less lethal weapons,CED,89.0,0.0,3.0,122.0,0.0,214.0
Cumbria,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Firearms,*Total Firearms,0.0,0.0,1.0,5.0,0.0,6.0
Cumbria,Other,*Total Other,121.0,2.0,3.0,165.0,0.0,291.0
Cumbria,Other,"Dog use, of which",6.0,0.0,2.0,15.0,0.0,23.0
Cumbria,Other,Dog deployed,6.0,0.0,2.0,13.0,0.0,21.0
Cumbria,Other,Dog bite,0.0,0.0,0.0,2.0,0.0,2.0
Cumbria,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other,Other / improvised,115.0,2.0,1.0,150.0,0.0,268.0
Cumbria,Not reported,*Total Not reported,3.0,0.0,0.0,9.0,0.0,12.0
Cumbria,Tactical communication,Tactical communication,978.0,13.0,25.0,1635.0,0.0,2651.0
Derbyshire,Total (excluding not reported and tactical communication),*Total Tactics,1745.0,14.0,27.0,4000.0,0.0,5786.0
Derbyshire,Restraint,*Total Restraint,886.0,7.0,16.0,2136.0,0.0,3045.0
Derbyshire,Restraint,"Handcuffing, of which",618.0,7.0,15.0,1709.0,0.0,2349.0
Derbyshire,Restraint,Compliant handcuffing,223.0,4.0,9.0,874.0,0.0,1110.0
Derbyshire,Restraint,Non-compliant handcuffing,395.0,3.0,6.0,835.0,0.0,1239.0
Derbyshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Restraint,Limb / Body restraints,126.0,0.0,1.0,156.0,0.0,283.0
Derbyshire,Restraint,Ground restraint,142.0,0.0,0.0,271.0,0.0,413.0
Derbyshire,Unarmed skills,*Total Unarmed skills,527.0,3.0,9.0,1130.0,0.0,1669.0
Derbyshire,Other equipment,*Total Other equipment,174.0,4.0,0.0,480.0,0.0,658.0
Derbyshire,Other equipment,"Baton, of which",14.0,0.0,0.0,59.0,0.0,73.0
Derbyshire,Other equipment,Baton drawn,11.0,0.0,0.0,38.0,0.0,49.0
Derbyshire,Other equipment,Baton used,3.0,0.0,0.0,21.0,0.0,24.0
Derbyshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,"Irritant spray, of which",131.0,3.0,0.0,380.0,0.0,514.0
Derbyshire,Other equipment,Irritant spray - drawn,65.0,2.0,0.0,177.0,0.0,244.0
Derbyshire,Other equipment,Irritant spray - used,66.0,1.0,0.0,203.0,0.0,270.0
Derbyshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,Spit and bite guard,24.0,1.0,0.0,37.0,0.0,62.0
Derbyshire,Other equipment,Shield,5.0,0.0,0.0,4.0,0.0,9.0
Derbyshire,Less lethal weapons,*Total Less lethal weapons,73.0,0.0,1.0,91.0,0.0,165.0
Derbyshire,Less lethal weapons,CED,68.0,0.0,1.0,84.0,0.0,153.0
