Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported
Avon & Somerset,Unarmed skills,*Total Unarmed skills,16.0,289.0,1896.0,816.0,233.0,14.0,57.0,3321.0
Avon & Somerset,Other equipment,*Total Other equipment,7.0,109.0,771.0,375.0,97.0,4.0,49.0,1412.0
Avon & Somerset,Other equipment,"Baton, of which",2.0,7.0,76.0,39.0,7.0,0.0,39.0,170.0
Avon & Somerset,Other equipment,Baton drawn,1.0,6.0,49.0,26.0,5.0,0.0,24.0,111.0
Avon & Somerset,Other equipment,Baton used,1.0,1.0,27.0,13.0,2.0,0.0,15.0,59.0
Avon & Somerset,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Other equipment,"Irritant spray, of which",5.0,74.0,536.0,236.0,67.0,3.0,8.0,929.0
Avon & Somerset,Other equipment,Irritant spray - drawn,3.0,41.0,295.0,129.0,38.0,2.0,5.0,513.0
Avon & Somerset,Other equipment,Irritant spray - used,2.0,33.0,241.0,107.0,29.0,1.0,3.0,416.0
Avon & Somerset,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Other equipment,Spit and bite guard,0.0,24.0,148.0,82.0,19.0,0.0,1.0,274.0
Avon & Somerset,Other equipment,Shield,0.0,4.0,11.0,18.0,4.0,1.0,1.0,39.0
Avon & Somerset,Less lethal weapons,*Total Less lethal weapons,1.0,70.0,432.0,222.0,61.0,3.0,5.0,794.0
Avon & Somerset,Less lethal weapons,CED,1.0,62.0,399.0,209.0,55.0,3.0,4.0,733.0
Avon & Somerset,Less lethal weapons,"AEP, of which",0.0,8.0,33.0,13.0,6.0,0.0,1.0,61.0
Avon & Somerset,Less lethal weapons,AEP aimed,0.0,7.0,30.0,12.0,5.0,0.0,1.0,55.0
Avon & Somerset,Less lethal weapons,AEP fired,0.0,1.0,3.0,1.0,1.0,0.0,0.0,6.0
Avon & Somerset,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Firearms,*Total Firearms,0.0,5.0,45.0,25.0,3.0,1.0,1.0,80.0
Avon & Somerset,Other,*Total Other,1.0,17.0,202.0,84.0,22.0,2.0,12.0,340.0
Avon & Somerset,Other,"Dog use, of which",0.0,1.0,24.0,7.0,0.0,0.0,7.0,39.0
Avon & Somerset,Other,Dog deployed,0.0,1.0,18.0,6.0,0.0,0.0,4.0,29.0
Avon & Somerset,Other,Dog bite,0.0,0.0,6.0,1.0,0.0,0.0,3.0,10.0
Avon & Somerset,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Other,Other / improvised,1.0,16.0,178.0,77.0,22.0,2.0,5.0,301.0
Avon & Somerset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Tactical communication,Tactical communication,41.0,668.0,4423.0,2087.0,572.0,36.0,114.0,7941.0
Bedfordshire,Total (excluding not reported and tactical communication),*Total Tactics,1.0,481.0,3078.0,1383.0,324.0,42.0,43.0,5352.0
Bedfordshire,Restraint,*Total Restraint,0.0,296.0,1769.0,810.0,194.0,26.0,22.0,3117.0
Bedfordshire,Restraint,"Handcuffing, of which",0.0,219.0,1188.0,575.0,146.0,19.0,8.0,2155.0
Bedfordshire,Restraint,Compliant handcuffing,0.0,140.0,632.0,329.0,79.0,7.0,6.0,1193.0
Bedfordshire,Restraint,Non-compliant handcuffing,0.0,79.0,556.0,246.0,67.0,12.0,2.0,962.0
Bedfordshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Restraint,Limb / Body restraints,0.0,28.0,221.0,95.0,22.0,2.0,7.0,375.0
Bedfordshire,Restraint,Ground restraint,0.0,49.0,360.0,140.0,26.0,5.0,7.0,587.0
Bedfordshire,Unarmed skills,*Total Unarmed skills,1.0,134.0,853.0,366.0,88.0,13.0,10.0,1465.0
Bedfordshire,Other equipment,*Total Other equipment,0.0,14.0,207.0,86.0,12.0,2.0,3.0,324.0
Bedfordshire,Other equipment,"Baton, of which",0.0,3.0,36.0,18.0,0.0,0.0,2.0,59.0
Bedfordshire,Other equipment,Baton drawn,0.0,2.0,24.0,13.0,0.0,0.0,2.0,41.0
Bedfordshire,Other equipment,Baton used,0.0,1.0,12.0,5.0,0.0,0.0,0.0,18.0
Bedfordshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other equipment,"Irritant spray, of which",0.0,6.0,114.0,52.0,9.0,2.0,1.0,184.0
Bedfordshire,Other equipment,Irritant spray - drawn,0.0,4.0,68.0,29.0,6.0,1.0,1.0,109.0
Bedfordshire,Other equipment,Irritant spray - used,0.0,2.0,46.0,23.0,3.0,1.0,0.0,75.0
Bedfordshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other equipment,Spit and bite guard,0.0,3.0,51.0,13.0,3.0,0.0,0.0,70.0
Bedfordshire,Other equipment,Shield,0.0,2.0,6.0,3.0,0.0,0.0,0.0,11.0
Bedfordshire,Less lethal weapons,*Total Less lethal weapons,0.0,20.0,135.0,74.0,19.0,1.0,6.0,255.0
Bedfordshire,Less lethal weapons,CED,0.0,20.0,132.0,73.0,17.0,1.0,5.0,248.0
Bedfordshire,Less lethal weapons,"AEP, of which",0.0,0.0,3.0,1.0,2.0,0.0,1.0,7.0
Bedfordshire,Less lethal weapons,AEP aimed,0.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0
Bedfordshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Bedfordshire,Firearms,*Total Firearms,0.0,4.0,11.0,8.0,2.0,0.0,1.0,26.0
Bedfordshire,Other,*Total Other,0.0,13.0,103.0,39.0,9.0,0.0,1.0,165.0
Bedfordshire,Other,"Dog use, of which",0.0,2.0,13.0,0.0,0.0,0.0,0.0,15.0
Bedfordshire,Other,Dog deployed,0.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0
Bedfordshire,Other,Dog bite,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
Bedfordshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other,Other / improvised,0.0,11.0,90.0,39.0,9.0,0.0,1.0,150.0
Bedfordshire,Not reported,*Total Not reported,0.0,2.0,9.0,5.0,1.0,0.0,1.0,18.0
Bedfordshire,Tactical communication,Tactical communication,1.0,286.0,1599.0,757.0,193.0,27.0,23.0,2886.0
Cambridgeshire,Total (excluding not reported and tactical communication),*Total Tactics,7.0,715.0,4521.0,1929.0,436.0,48.0,71.0,7727.0
Cambridgeshire,Restraint,*Total Restraint,0.0,372.0,2358.0,997.0,225.0,24.0,40.0,4016.0
Cambridgeshire,Restraint,"Handcuffing, of which",0.0,243.0,1609.0,724.0,177.0,17.0,23.0,2793.0
Cambridgeshire,Restraint,Compliant handcuffing,0.0,119.0,732.0,354.0,100.0,9.0,11.0,1325.0
Cambridgeshire,Restraint,Non-compliant handcuffing,0.0,124.0,877.0,370.0,77.0,8.0,12.0,1468.0
Cambridgeshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Restraint,Limb / Body restraints,0.0,53.0,258.0,101.0,15.0,3.0,4.0,434.0
Cambridgeshire,Restraint,Ground restraint,0.0,76.0,491.0,172.0,33.0,4.0,13.0,789.0
Cambridgeshire,Unarmed skills,*Total Unarmed skills,5.0,230.0,1338.0,597.0,131.0,12.0,20.0,2333.0
Cambridgeshire,Other equipment,*Total Other equipment,0.0,48.0,429.0,180.0,31.0,5.0,4.0,697.0
Cambridgeshire,Other equipment,"Baton, of which",0.0,0.0,43.0,12.0,3.0,0.0,0.0,58.0
Cambridgeshire,Other equipment,Baton drawn,0.0,0.0,32.0,8.0,2.0,0.0,0.0,42.0
Cambridgeshire,Other equipment,Baton used,0.0,0.0,11.0,4.0,1.0,0.0,0.0,16.0
Cambridgeshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other equipment,"Irritant spray, of which",0.0,27.0,290.0,123.0,24.0,0.0,3.0,467.0
Cambridgeshire,Other equipment,Irritant spray - drawn,0.0,20.0,180.0,74.0,15.0,0.0,3.0,292.0
Cambridgeshire,Other equipment,Irritant spray - used,0.0,7.0,108.0,49.0,9.0,0.0,0.0,173.0
Cambridgeshire,Other equipment,Not stated irritant spray,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Cambridgeshire,Other equipment,Spit and bite guard,0.0,16.0,74.0,36.0,2.0,3.0,0.0,131.0
Cambridgeshire,Other equipment,Shield,0.0,5.0,22.0,9.0,2.0,2.0,1.0,41.0
Cambridgeshire,Less lethal weapons,*Total Less lethal weapons,0.0,18.0,117.0,62.0,14.0,2.0,1.0,214.0
Cambridgeshire,Less lethal weapons,CED,0.0,18.0,112.0,58.0,14.0,2.0,1.0,205.0
Cambridgeshire,Less lethal weapons,"AEP, of which",0.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0
Cambridgeshire,Less lethal weapons,AEP aimed,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0
Cambridgeshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Less lethal weapons,Not stated AEP,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0
Cambridgeshire,Firearms,*Total Firearms,0.0,0.0,16.0,7.0,1.0,0.0,0.0,24.0
Cambridgeshire,Other,*Total Other,2.0,47.0,263.0,86.0,34.0,5.0,6.0,443.0
Cambridgeshire,Other,"Dog use, of which",0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0
Cambridgeshire,Other,Dog deployed,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0
Cambridgeshire,Other,Dog bite,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Cambridgeshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other,Other / improvised,2.0,46.0,258.0,86.0,34.0,5.0,6.0,437.0
Cambridgeshire,Not reported,*Total Not reported,1.0,3.0,16.0,3.0,3.0,0.0,0.0,26.0
Cambridgeshire,Tactical communication,Tactical communication,6.0,383.0,2270.0,996.0,252.0,24.0,34.0,3965.0
Cheshire,Total (excluding not reported and tactical communication),*Total Tactics,21.0,1082.0,7251.0,3096.0,803.0,54.0,0.0,12307.0
Cheshire,Restraint,*Total Restraint,14.0,837.0,5452.0,2371.0,614.0,36.0,0.0,9324.0
Cheshire,Restraint,"Handcuffing, of which",3.0,543.0,3547.0,1681.0,433.0,31.0,0.0,6238.0
Cheshire,Restraint,Compliant handcuffing,2.0,288.0,2212.0,1130.0,262.0,17.0,0.0,3911.0
Cheshire,Restraint,Non-compliant handcuffing,1.0,255.0,1335.0,551.0,171.0,14.0,0.0,2327.0
Cheshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Restraint,Limb / Body restraints,1.0,27.0,257.0,77.0,22.0,0.0,0.0,384.0
Cheshire,Restraint,Ground restraint,10.0,267.0,1648.0,613.0,159.0,5.0,0.0,2702.0
Cheshire,Unarmed skills,*Total Unarmed skills,6.0,161.0,877.0,395.0,95.0,13.0,0.0,1547.0
Cheshire,Other equipment,*Total Other equipment,1.0,56.0,648.0,213.0,68.0,2.0,0.0,988.0
Cheshire,Other equipment,"Baton, of which",0.0,2.0,34.0,6.0,4.0,0.0,0.0,46.0
Cheshire,Other equipment,Baton drawn,0.0,2.0,19.0,5.0,2.0,0.0,0.0,28.0
Cheshire,Other equipment,Baton used,0.0,0.0,15.0,1.0,2.0,0.0,0.0,18.0
Cheshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,"Irritant spray, of which",0.0,49.0,554.0,188.0,59.0,2.0,0.0,852.0
Cheshire,Other equipment,Irritant spray - drawn,0.0,19.0,194.0,67.0,22.0,1.0,0.0,303.0
Cheshire,Other equipment,Irritant spray - used,0.0,30.0,360.0,121.0,37.0,1.0,0.0,549.0
Cheshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,Spit and bite guard,1.0,5.0,58.0,19.0,5.0,0.0,0.0,88.0
Cheshire,Other equipment,Shield,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Cheshire,Less lethal weapons,*Total Less lethal weapons,0.0,25.0,269.0,115.0,26.0,3.0,0.0,438.0
Cheshire,Less lethal weapons,CED,0.0,25.0,269.0,115.0,26.0,3.0,0.0,438.0
Cheshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Firearms,*Total Firearms,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0
Cheshire,Other,*Total Other,0.0,3.0,2.0,1.0,0.0,0.0,0.0,6.0
Cheshire,Other,"Dog use, of which",0.0,3.0,2.0,1.0,0.0,0.0,0.0,6.0
Cheshire,Other,Dog deployed,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0
Cheshire,Other,Dog bite,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Cheshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other,Other / improvised,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Not reported,*Total Not reported,0.0,0.0,9.0,2.0,0.0,0.0,0.0,11.0
Cheshire,Tactical communication,Tactical communication,11.0,410.0,2614.0,1166.0,314.0,29.0,0.0,4544.0
City of London,Total (excluding not reported and tactical communication),*Total Tactics,0.0,147.0,1364.0,578.0,112.0,5.0,498.0,2704.0
City of London,Restraint,*Total Restraint,0.0,88.0,961.0,397.0,80.0,4.0,213.0,1743.0
City of London,Restraint,"Handcuffing, of which",0.0,76.0,892.0,375.0,76.0,3.0,181.0,1603.0
City of London,Restraint,Compliant handcuffing,0.0,27.0,445.0,190.0,30.0,1.0,51.0,744.0
City of London,Restraint,Non-compliant handcuffing,0.0,49.0,447.0,185.0,46.0,2.0,130.0,859.0
City of London,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Restraint,Limb / Body restraints,0.0,2.0,8.0,4.0,0.0,0.0,5.0,19.0
City of London,Restraint,Ground restraint,0.0,10.0,61.0,18.0,4.0,1.0,27.0,121.0
City of London,Unarmed skills,*Total Unarmed skills,0.0,41.0,297.0,124.0,26.0,1.0,181.0,670.0
City of London,Other equipment,*Total Other equipment,0.0,3.0,53.0,13.0,1.0,0.0,26.0,96.0
City of London,Other equipment,"Baton, of which",0.0,0.0,16.0,3.0,0.0,0.0,9.0,28.0
City of London,Other equipment,Baton drawn,0.0,0.0,8.0,2.0,0.0,0.0,6.0,16.0
City of London,Other equipment,Baton used,0.0,0.0,8.0,1.0,0.0,0.0,3.0,12.0
City of London,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,"Irritant spray, of which",0.0,3.0,37.0,8.0,1.0,0.0,17.0,66.0
City of London,Other equipment,Irritant spray - drawn,0.0,2.0,24.0,4.0,1.0,0.0,11.0,42.0
City of London,Other equipment,Irritant spray - used,0.0,1.0,13.0,4.0,0.0,0.0,6.0,24.0
City of London,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,Shield,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
City of London,Less lethal weapons,*Total Less lethal weapons,0.0,2.0,14.0,12.0,3.0,0.0,18.0,49.0
City of London,Less lethal weapons,CED,0.0,2.0,14.0,12.0,3.0,0.0,18.0,49.0
City of London,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Firearms,*Total Firearms,0.0,0.0,3.0,5.0,0.0,0.0,10.0,18.0
City of London,Other,*Total Other,0.0,13.0,36.0,27.0,2.0,0.0,50.0,128.0
City of London,Other,"Dog use, of which",0.0,2.0,6.0,2.0,0.0,0.0,28.0,38.0
City of London,Other,Dog deployed,0.0,2.0,4.0,2.0,0.0,0.0,28.0,36.0
City of London,Other,Dog bite,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
City of London,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other,Other / improvised,0.0,11.0,30.0,25.0,2.0,0.0,22.0,90.0
City of London,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0
City of London,Tactical communication,Tactical communication,0.0,80.0,598.0,268.0,54.0,2.0,240.0,1242.0
Cleveland,Total (excluding not reported and tactical communication),*Total Tactics,16.0,1036.0,7844.0,3716.0,677.0,38.0,94.0,13421.0
Cleveland,Restraint,*Total Restraint,6.0,786.0,5808.0,2859.0,488.0,26.0,56.0,10029.0
Cleveland,Restraint,"Handcuffing, of which",5.0,605.0,4354.0,2279.0,385.0,20.0,34.0,7682.0
Cleveland,Restraint,Compliant handcuffing,2.0,357.0,2975.0,1691.0,245.0,13.0,20.0,5303.0
Cleveland,Restraint,Non-compliant handcuffing,3.0,248.0,1379.0,588.0,140.0,7.0,14.0,2379.0
Cleveland,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Restraint,Limb / Body restraints,0.0,20.0,163.0,52.0,13.0,0.0,3.0,251.0
Cleveland,Restraint,Ground restraint,1.0,161.0,1291.0,528.0,90.0,6.0,19.0,2096.0
Cleveland,Unarmed skills,*Total Unarmed skills,8.0,185.0,1465.0,631.0,147.0,8.0,22.0,2466.0
Cleveland,Other equipment,*Total Other equipment,2.0,32.0,265.0,108.0,22.0,2.0,7.0,438.0
Cleveland,Other equipment,"Baton, of which",0.0,11.0,83.0,38.0,1.0,0.0,1.0,134.0
Cleveland,Other equipment,Baton drawn,0.0,9.0,57.0,23.0,1.0,0.0,1.0,91.0
Cleveland,Other equipment,Baton used,0.0,2.0,26.0,15.0,0.0,0.0,0.0,43.0
Cleveland,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Other equipment,"Irritant spray, of which",2.0,20.0,173.0,70.0,21.0,2.0,4.0,292.0
Cleveland,Other equipment,Irritant spray - drawn,1.0,14.0,74.0,36.0,12.0,0.0,1.0,138.0
Cleveland,Other equipment,Irritant spray - used,1.0,6.0,99.0,34.0,9.0,2.0,3.0,154.0
Cleveland,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Other equipment,Spit and bite guard,0.0,0.0,4.0,0.0,0.0,0.0,1.0,5.0
Cleveland,Other equipment,Shield,0.0,1.0,5.0,0.0,0.0,0.0,1.0,7.0
Cleveland,Less lethal weapons,*Total Less lethal weapons,0.0,19.0,176.0,53.0,11.0,1.0,5.0,265.0
Cleveland,Less lethal weapons,CED,0.0,18.0,166.0,50.0,10.0,1.0,4.0,249.0
Cleveland,Less lethal weapons,"AEP, of which",0.0,1.0,10.0,3.0,1.0,0.0,1.0,16.0
Cleveland,Less lethal weapons,AEP aimed,0.0,1.0,10.0,3.0,1.0,0.0,1.0,16.0
Cleveland,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Firearms,*Total Firearms,0.0,4.0,18.0,10.0,1.0,0.0,0.0,33.0
Cleveland,Other,*Total Other,0.0,10.0,112.0,55.0,8.0,1.0,4.0,190.0
Cleveland,Other,"Dog use, of which",0.0,0.0,24.0,12.0,1.0,0.0,0.0,37.0
Cleveland,Other,Dog deployed,0.0,0.0,19.0,7.0,1.0,0.0,0.0,27.0
Cleveland,Other,Dog bite,0.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0
Cleveland,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Other,Other / improvised,0.0,10.0,88.0,43.0,7.0,1.0,4.0,153.0
Cleveland,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Tactical communication,Tactical communication,9.0,569.0,3939.0,1955.0,369.0,22.0,44.0,6907.0
Cumbria,Total (excluding not reported and tactical communication),*Total Tactics,14.0,536.0,3556.0,1513.0,355.0,69.0,209.0,6252.0
Cumbria,Restraint,*Total Restraint,3.0,305.0,2031.0,932.0,196.0,35.0,97.0,3599.0
Cumbria,Restraint,"Handcuffing, of which",1.0,222.0,1510.0,702.0,169.0,26.0,75.0,2705.0
Cumbria,Restraint,Compliant handcuffing,0.0,74.0,698.0,355.0,81.0,7.0,32.0,1247.0
Cumbria,Restraint,Non-compliant handcuffing,1.0,148.0,812.0,347.0,88.0,19.0,43.0,1458.0
Cumbria,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Restraint,Limb / Body restraints,0.0,20.0,81.0,49.0,4.0,0.0,2.0,156.0
Cumbria,Restraint,Ground restraint,2.0,63.0,440.0,181.0,23.0,9.0,20.0,738.0
Cumbria,Unarmed skills,*Total Unarmed skills,6.0,175.0,993.0,344.0,102.0,27.0,66.0,1713.0
Cumbria,Other equipment,*Total Other equipment,1.0,29.0,235.0,117.0,23.0,4.0,20.0,429.0
