Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported
Total England and Wales,Other equipment,Shield,4.0,50.0,444.0,190.0,51.0,11.0,59.0,809.0
Total England and Wales,Less lethal weapons,*Total Less lethal weapons,26.0,2831.0,18836.0,7726.0,1978.0,182.0,1138.0,32722.0
Total England and Wales,Less lethal weapons,CED of which,23.0,2795.0,18475.0,7555.0,1939.0,166.0,1099.0,32057.0
Total England and Wales,Less lethal weapons,CED non-discharge,16.0,2515.0,15332.0,6117.0,1575.0,129.0,907.0,26591.0
Total England and Wales,Less lethal weapons,CED discharge,0.0,134.0,1871.0,911.0,225.0,15.0,87.0,3248.0
Total England and Wales,Less lethal weapons,CED not stated,7.0,146.0,1272.0,527.0,139.0,22.0,105.0,2218.0
Total England and Wales,Less lethal weapons,"AEP, of which",3.0,36.0,361.0,171.0,39.0,16.0,39.0,665.0
Total England and Wales,Less lethal weapons,AEP drawn,3.0,34.0,335.0,155.0,37.0,16.0,33.0,613.0
Total England and Wales,Less lethal weapons,AEP used,0.0,0.0,17.0,11.0,2.0,0.0,6.0,36.0
Total England and Wales,Less lethal weapons,AEP not stated,0.0,2.0,9.0,5.0,0.0,0.0,0.0,16.0
Total England and Wales,Firearms,*Total Firearms,0.0,313.0,2852.0,870.0,256.0,47.0,448.0,4786.0
Total England and Wales,Other,*Total Other,106.0,2836.0,14851.0,6680.0,1891.0,416.0,3337.0,30117.0
Total England and Wales,Other,"Dog use, of which",1.0,303.0,1339.0,365.0,61.0,5.0,386.0,2460.0
Total England and Wales,Other,Dog deployed,0.0,207.0,912.0,255.0,47.0,5.0,346.0,1772.0
Total England and Wales,Other,Dog bite,1.0,73.0,280.0,71.0,10.0,0.0,39.0,474.0
Total England and Wales,Other,Dog not stated,0.0,23.0,147.0,39.0,4.0,0.0,1.0,214.0
Total England and Wales,Other,Other / improvised,105.0,2533.0,13512.0,6315.0,1830.0,411.0,2951.0,27657.0
Total England and Wales,Not reported,*Total Not reported,5.0,121.0,547.0,220.0,75.0,8.0,414.0,1390.0
Total England and Wales,Tactical communication,Tactical communication,371.0,21698.0,116567.0,52963.0,13833.0,1933.0,8194.0,215559.0
Avon & Somerset,Total (excluding not reported and tactical communication),*Total Tactics,21.0,1905.0,11799.0,5513.0,1623.0,121.0,111.0,21093.0
Avon & Somerset,Restraint,*Total Restraint,6.0,901.0,5621.0,2585.0,735.0,48.0,31.0,9927.0
Avon & Somerset,Restraint,"Handcuffing, of which",4.0,693.0,4278.0,2042.0,592.0,45.0,26.0,7680.0
Avon & Somerset,Restraint,Compliant handcuffing,,,,,,,,
Avon & Somerset,Restraint,Non-compliant handcuffing,,,,,,,,
Avon & Somerset,Restraint,Handcuffing not stated,4.0,693.0,4278.0,2042.0,592.0,45.0,26.0,7680.0
Avon & Somerset,Restraint,Limb / Body restraints,2.0,79.0,555.0,184.0,48.0,1.0,1.0,870.0
Avon & Somerset,Restraint,Ground restraint,0.0,129.0,788.0,359.0,95.0,2.0,4.0,1377.0
Avon & Somerset,Unarmed skills,*Total Unarmed skills,11.0,797.0,4467.0,2068.0,627.0,58.0,42.0,8070.0
Avon & Somerset,Other equipment,*Total Other equipment,0.0,46.0,530.0,256.0,77.0,1.0,16.0,926.0
Avon & Somerset,Other equipment,"Baton, of which",0.0,8.0,28.0,9.0,2.0,0.0,12.0,59.0
Avon & Somerset,Other equipment,Baton drawn,,,,,,,,
Avon & Somerset,Other equipment,Baton used,,,,,,,,
Avon & Somerset,Other equipment,Baton not stated,0.0,8.0,28.0,9.0,2.0,0.0,12.0,59.0
Avon & Somerset,Other equipment,"Irritant spray, of which",0.0,29.0,340.0,181.0,53.0,1.0,4.0,608.0
Avon & Somerset,Other equipment,Irritant spray - drawn,,,,,,,,
Avon & Somerset,Other equipment,Irritant spray - used,,,,,,,,
Avon & Somerset,Other equipment,Irritant spray not stated,0.0,29.0,340.0,181.0,53.0,1.0,4.0,608.0
Avon & Somerset,Other equipment,Spit and bite guard,0.0,9.0,162.0,66.0,22.0,0.0,0.0,259.0
Avon & Somerset,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,*Total Less lethal weapons,0.0,71.0,636.0,278.0,87.0,1.0,5.0,1078.0
Avon & Somerset,Less lethal weapons,CED of which,0.0,71.0,636.0,278.0,87.0,1.0,5.0,1078.0
Avon & Somerset,Less lethal weapons,CED non-discharge,0.0,64.0,516.0,216.0,69.0,1.0,5.0,871.0
Avon & Somerset,Less lethal weapons,CED discharge,0.0,6.0,112.0,59.0,11.0,0.0,0.0,188.0
Avon & Somerset,Less lethal weapons,CED not stated,0.0,1.0,8.0,3.0,7.0,0.0,0.0,19.0
Avon & Somerset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Firearms,*Total Firearms,0.0,0.0,15.0,3.0,3.0,1.0,0.0,22.0
Avon & Somerset,Other,*Total Other,4.0,90.0,530.0,323.0,94.0,12.0,17.0,1070.0
Avon & Somerset,Other,"Dog use, of which",0.0,2.0,10.0,2.0,0.0,0.0,0.0,14.0
Avon & Somerset,Other,Dog deployed,,,,,,,,
Avon & Somerset,Other,Dog bite,,,,,,,,
Avon & Somerset,Other,Dog not stated,0.0,2.0,10.0,2.0,0.0,0.0,0.0,14.0
Avon & Somerset,Other,Other / improvised,4.0,88.0,520.0,321.0,94.0,12.0,17.0,1056.0
Avon & Somerset,Not reported,*Total Not reported,0.0,17.0,88.0,39.0,11.0,3.0,3.0,161.0
Avon & Somerset,Tactical communication,Tactical communication,3.0,222.0,1492.0,711.0,194.0,14.0,21.0,2657.0
Bedfordshire,Total (excluding not reported and tactical communication),*Total Tactics,4.0,619.0,3792.0,1563.0,451.0,38.0,63.0,6530.0
Bedfordshire,Restraint,*Total Restraint,0.0,369.0,2150.0,920.0,288.0,23.0,32.0,3782.0
Bedfordshire,Restraint,"Handcuffing, of which",0.0,270.0,1445.0,689.0,224.0,17.0,21.0,2666.0
Bedfordshire,Restraint,Compliant handcuffing,0.0,158.0,755.0,388.0,137.0,8.0,10.0,1456.0
Bedfordshire,Restraint,Non-compliant handcuffing,0.0,112.0,690.0,301.0,87.0,9.0,11.0,1210.0
Bedfordshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Restraint,Limb / Body restraints,0.0,33.0,266.0,89.0,31.0,4.0,5.0,428.0
Bedfordshire,Restraint,Ground restraint,0.0,66.0,439.0,142.0,33.0,2.0,6.0,688.0
Bedfordshire,Unarmed skills,*Total Unarmed skills,3.0,174.0,1134.0,429.0,124.0,11.0,19.0,1894.0
Bedfordshire,Other equipment,*Total Other equipment,0.0,29.0,228.0,103.0,17.0,0.0,5.0,382.0
Bedfordshire,Other equipment,"Baton, of which",0.0,6.0,45.0,20.0,1.0,0.0,0.0,72.0
Bedfordshire,Other equipment,Baton drawn,0.0,3.0,29.0,13.0,1.0,0.0,0.0,46.0
Bedfordshire,Other equipment,Baton used,0.0,3.0,16.0,7.0,0.0,0.0,0.0,26.0
Bedfordshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other equipment,"Irritant spray, of which",0.0,18.0,130.0,56.0,11.0,0.0,4.0,219.0
Bedfordshire,Other equipment,Irritant spray - drawn,0.0,10.0,70.0,29.0,6.0,0.0,2.0,117.0
Bedfordshire,Other equipment,Irritant spray - used,0.0,8.0,58.0,26.0,5.0,0.0,2.0,99.0
Bedfordshire,Other equipment,Irritant spray not stated,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
Bedfordshire,Other equipment,Spit and bite guard,0.0,5.0,47.0,23.0,4.0,0.0,1.0,80.0
Bedfordshire,Other equipment,Shield,0.0,0.0,6.0,4.0,1.0,0.0,0.0,11.0
Bedfordshire,Less lethal weapons,*Total Less lethal weapons,0.0,28.0,141.0,61.0,12.0,2.0,5.0,250.0
Bedfordshire,Less lethal weapons,CED of which,0.0,28.0,138.0,61.0,12.0,2.0,5.0,247.0
Bedfordshire,Less lethal weapons,CED non-discharge,0.0,25.0,124.0,53.0,10.0,2.0,3.0,217.0
Bedfordshire,Less lethal weapons,CED discharge,0.0,3.0,10.0,6.0,2.0,0.0,2.0,24.0
Bedfordshire,Less lethal weapons,CED not stated,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0
Bedfordshire,Less lethal weapons,"AEP, of which",0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
Bedfordshire,Less lethal weapons,AEP drawn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Bedfordshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Less lethal weapons,AEP not stated,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Bedfordshire,Firearms,*Total Firearms,0.0,0.0,14.0,2.0,0.0,0.0,0.0,16.0
Bedfordshire,Other,*Total Other,0.0,19.0,125.0,48.0,10.0,2.0,2.0,206.0
Bedfordshire,Other,"Dog use, of which",0.0,2.0,8.0,2.0,0.0,0.0,0.0,12.0
Bedfordshire,Other,Dog deployed,0.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0
Bedfordshire,Other,Dog bite,0.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0
Bedfordshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other,Other / improvised,0.0,17.0,117.0,46.0,10.0,2.0,2.0,194.0
Bedfordshire,Not reported,*Total Not reported,0.0,1.0,4.0,3.0,1.0,0.0,0.0,9.0
Bedfordshire,Tactical communication,Tactical communication,4.0,363.0,1959.0,835.0,253.0,26.0,34.0,3474.0
Cambridgeshire,Total (excluding not reported and tactical communication),*Total Tactics,4.0,795.0,4468.0,2090.0,528.0,48.0,59.0,7992.0
Cambridgeshire,Restraint,*Total Restraint,0.0,408.0,2264.0,1070.0,252.0,17.0,24.0,4035.0
Cambridgeshire,Restraint,"Handcuffing, of which",0.0,275.0,1453.0,762.0,198.0,14.0,13.0,2715.0
Cambridgeshire,Restraint,Compliant handcuffing,0.0,127.0,653.0,373.0,95.0,7.0,8.0,1263.0
Cambridgeshire,Restraint,Non-compliant handcuffing,0.0,148.0,800.0,389.0,103.0,7.0,5.0,1452.0
Cambridgeshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Restraint,Limb / Body restraints,0.0,41.0,274.0,88.0,21.0,2.0,6.0,432.0
Cambridgeshire,Restraint,Ground restraint,0.0,92.0,537.0,220.0,33.0,1.0,5.0,888.0
Cambridgeshire,Unarmed skills,*Total Unarmed skills,3.0,248.0,1285.0,623.0,166.0,25.0,20.0,2370.0
Cambridgeshire,Other equipment,*Total Other equipment,0.0,75.0,530.0,216.0,65.0,2.0,8.0,896.0
Cambridgeshire,Other equipment,"Baton, of which",0.0,7.0,72.0,22.0,6.0,0.0,3.0,110.0
Cambridgeshire,Other equipment,Baton drawn,0.0,4.0,49.0,13.0,4.0,0.0,3.0,73.0
Cambridgeshire,Other equipment,Baton used,0.0,3.0,23.0,9.0,2.0,0.0,0.0,37.0
Cambridgeshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other equipment,"Irritant spray, of which",0.0,41.0,370.0,172.0,51.0,1.0,4.0,639.0
Cambridgeshire,Other equipment,Irritant spray - drawn,0.0,29.0,229.0,104.0,30.0,1.0,2.0,395.0
Cambridgeshire,Other equipment,Irritant spray - used,0.0,12.0,141.0,67.0,21.0,0.0,2.0,243.0
Cambridgeshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Cambridgeshire,Other equipment,Spit and bite guard,0.0,21.0,76.0,17.0,6.0,1.0,1.0,122.0
Cambridgeshire,Other equipment,Shield,0.0,6.0,12.0,5.0,2.0,0.0,0.0,25.0
Cambridgeshire,Less lethal weapons,*Total Less lethal weapons,0.0,12.0,127.0,60.0,12.0,1.0,2.0,214.0
Cambridgeshire,Less lethal weapons,CED of which,0.0,12.0,124.0,57.0,12.0,1.0,2.0,208.0
Cambridgeshire,Less lethal weapons,CED non-discharge,0.0,10.0,111.0,51.0,12.0,1.0,2.0,187.0
Cambridgeshire,Less lethal weapons,CED discharge,0.0,2.0,13.0,6.0,0.0,0.0,0.0,21.0
Cambridgeshire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Less lethal weapons,"AEP, of which",0.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0
Cambridgeshire,Less lethal weapons,AEP drawn,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0
Cambridgeshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Cambridgeshire,Firearms,*Total Firearms,0.0,1.0,9.0,8.0,0.0,0.0,0.0,18.0
Cambridgeshire,Other,*Total Other,1.0,51.0,253.0,113.0,33.0,3.0,5.0,459.0
Cambridgeshire,Other,"Dog use, of which",0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Cambridgeshire,Other,Dog deployed,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Cambridgeshire,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other,Other / improvised,1.0,51.0,252.0,112.0,33.0,3.0,5.0,457.0
Cambridgeshire,Not reported,*Total Not reported,0.0,1.0,15.0,10.0,2.0,0.0,0.0,28.0
Cambridgeshire,Tactical communication,Tactical communication,4.0,400.0,2154.0,1074.0,282.0,32.0,27.0,3973.0
Cheshire,Total (excluding not reported and tactical communication),*Total Tactics,10.0,1317.0,6461.0,3105.0,927.0,100.0,0.0,11920.0
Cheshire,Restraint,*Total Restraint,9.0,978.0,4790.0,2358.0,699.0,71.0,0.0,8905.0
Cheshire,Restraint,"Handcuffing, of which",1.0,589.0,3114.0,1613.0,511.0,47.0,0.0,5875.0
Cheshire,Restraint,Compliant handcuffing,1.0,317.0,1979.0,1098.0,306.0,26.0,0.0,3727.0
Cheshire,Restraint,Non-compliant handcuffing,0.0,272.0,1135.0,515.0,205.0,21.0,0.0,2148.0
Cheshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Restraint,Limb / Body restraints,0.0,42.0,198.0,60.0,14.0,2.0,0.0,316.0
Cheshire,Restraint,Ground restraint,8.0,347.0,1478.0,685.0,174.0,22.0,0.0,2714.0
Cheshire,Unarmed skills,*Total Unarmed skills,1.0,230.0,827.0,383.0,132.0,24.0,0.0,1597.0
Cheshire,Other equipment,*Total Other equipment,0.0,60.0,544.0,227.0,62.0,2.0,0.0,895.0
Cheshire,Other equipment,"Baton, of which",0.0,3.0,29.0,10.0,2.0,0.0,0.0,44.0
Cheshire,Other equipment,Baton drawn,0.0,3.0,21.0,6.0,1.0,0.0,0.0,31.0
Cheshire,Other equipment,Baton used,0.0,0.0,8.0,4.0,1.0,0.0,0.0,13.0
Cheshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,"Irritant spray, of which",0.0,53.0,456.0,205.0,53.0,1.0,0.0,768.0
Cheshire,Other equipment,Irritant spray - drawn,0.0,23.0,159.0,76.0,22.0,1.0,0.0,281.0
Cheshire,Other equipment,Irritant spray - used,0.0,30.0,297.0,129.0,31.0,0.0,0.0,487.0
Cheshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,Spit and bite guard,0.0,4.0,58.0,12.0,7.0,1.0,0.0,82.0
Cheshire,Other equipment,Shield,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Cheshire,Less lethal weapons,*Total Less lethal weapons,0.0,42.0,281.0,132.0,30.0,2.0,0.0,487.0
Cheshire,Less lethal weapons,CED of which,0.0,42.0,281.0,132.0,30.0,2.0,0.0,487.0
Cheshire,Less lethal weapons,CED non-discharge,0.0,40.0,259.0,115.0,25.0,2.0,0.0,441.0
Cheshire,Less lethal weapons,CED discharge,0.0,2.0,22.0,17.0,5.0,0.0,0.0,46.0
Cheshire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Firearms,*Total Firearms,0.0,0.0,1.0,2.0,2.0,1.0,0.0,6.0
Cheshire,Other,*Total Other,0.0,7.0,18.0,3.0,2.0,0.0,0.0,30.0
Cheshire,Other,"Dog use, of which",0.0,7.0,18.0,3.0,2.0,0.0,0.0,30.0
Cheshire,Other,Dog deployed,0.0,5.0,15.0,2.0,2.0,0.0,0.0,24.0
Cheshire,Other,Dog bite,0.0,2.0,3.0,1.0,0.0,0.0,0.0,6.0
Cheshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other,Other / improvised,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Not reported,*Total Not reported,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Cheshire,Tactical communication,Tactical communication,7.0,562.0,2469.0,1259.0,373.0,53.0,0.0,4723.0
City of London,Total (excluding not reported and tactical communication),*Total Tactics,0.0,185.0,2220.0,684.0,222.0,5.0,382.0,3698.0
City of London,Restraint,*Total Restraint,0.0,124.0,1502.0,501.0,136.0,4.0,131.0,2398.0
City of London,Restraint,"Handcuffing, of which",0.0,110.0,1346.0,469.0,121.0,4.0,104.0,2154.0
City of London,Restraint,Compliant handcuffing,0.0,53.0,655.0,235.0,52.0,2.0,31.0,1028.0
City of London,Restraint,Non-compliant handcuffing,0.0,57.0,691.0,234.0,69.0,2.0,73.0,1126.0
City of London,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Restraint,Limb / Body restraints,0.0,4.0,65.0,7.0,5.0,0.0,9.0,90.0
City of London,Restraint,Ground restraint,0.0,10.0,91.0,25.0,10.0,0.0,18.0,154.0
City of London,Unarmed skills,*Total Unarmed skills,0.0,42.0,502.0,124.0,55.0,1.0,146.0,870.0
City of London,Other equipment,*Total Other equipment,0.0,3.0,76.0,23.0,5.0,0.0,29.0,136.0
City of London,Other equipment,"Baton, of which",0.0,0.0,17.0,6.0,0.0,0.0,15.0,38.0
City of London,Other equipment,Baton drawn,0.0,0.0,13.0,4.0,0.0,0.0,10.0,27.0
City of London,Other equipment,Baton used,0.0,0.0,4.0,2.0,0.0,0.0,5.0,11.0
City of London,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,"Irritant spray, of which",0.0,2.0,50.0,12.0,1.0,0.0,10.0,75.0
City of London,Other equipment,Irritant spray - drawn,0.0,2.0,36.0,8.0,1.0,0.0,9.0,56.0
City of London,Other equipment,Irritant spray - used,0.0,0.0,14.0,4.0,0.0,0.0,1.0,19.0
City of London,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,Spit and bite guard,0.0,1.0,8.0,4.0,4.0,0.0,2.0,19.0
City of London,Other equipment,Shield,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0
City of London,Less lethal weapons,*Total Less lethal weapons,0.0,10.0,78.0,11.0,4.0,0.0,31.0,134.0
City of London,Less lethal weapons,CED of which,0.0,10.0,78.0,11.0,4.0,0.0,31.0,134.0
City of London,Less lethal weapons,CED non-discharge,0.0,10.0,74.0,10.0,3.0,0.0,31.0,128.0
City of London,Less lethal weapons,CED discharge,0.0,0.0,4.0,1.0,1.0,0.0,0.0,6.0
City of London,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Firearms,*Total Firearms,0.0,5.0,21.0,8.0,3.0,0.0,10.0,47.0
City of London,Other,*Total Other,0.0,1.0,41.0,17.0,19.0,0.0,35.0,113.0
City of London,Other,"Dog use, of which",0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0
City of London,Other,Dog deployed,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0
City of London,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
City of London,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other,Other / improvised,0.0,1.0,41.0,17.0,19.0,0.0,20.0,98.0
City of London,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Tactical communication,Tactical communication,0.0,87.0,998.0,362.0,122.0,2.0,210.0,1781.0
Cleveland,Total (excluding not reported and tactical communication),*Total Tactics,16.0,1074.0,6592.0,3512.0,622.0,122.0,0.0,11938.0
Cleveland,Restraint,*Total Restraint,16.0,940.0,5591.0,3073.0,543.0,86.0,0.0,10249.0
Cleveland,Restraint,"Handcuffing, of which",16.0,926.0,5515.0,3007.0,523.0,86.0,0.0,10073.0
Cleveland,Restraint,Compliant handcuffing,0.0,20.0,163.0,78.0,20.0,2.0,0.0,283.0
Cleveland,Restraint,Non-compliant handcuffing,0.0,14.0,67.0,49.0,11.0,1.0,0.0,142.0
Cleveland,Restraint,Handcuffing not stated,16.0,892.0,5285.0,2880.0,492.0,83.0,0.0,9648.0
Cleveland,Restraint,Limb / Body restraints,0.0,2.0,10.0,4.0,2.0,0.0,0.0,18.0
Cleveland,Restraint,Ground restraint,0.0,12.0,66.0,62.0,18.0,0.0,0.0,158.0
Cleveland,Unarmed skills,*Total Unarmed skills,0.0,40.0,328.0,159.0,30.0,11.0,0.0,568.0
Cleveland,Other equipment,*Total Other equipment,0.0,23.0,156.0,76.0,9.0,2.0,0.0,266.0
Cleveland,Other equipment,"Baton, of which",0.0,8.0,46.0,24.0,3.0,0.0,0.0,81.0
Cleveland,Other equipment,Baton drawn,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Cleveland,Other equipment,Baton used,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0
Cleveland,Other equipment,Baton not stated,0.0,8.0,44.0,21.0,2.0,0.0,0.0,75.0
Cleveland,Other equipment,"Irritant spray, of which",0.0,15.0,109.0,48.0,6.0,2.0,0.0,180.0
Cleveland,Other equipment,Irritant spray - drawn,0.0,4.0,16.0,10.0,2.0,1.0,0.0,33.0
Cleveland,Other equipment,Irritant spray - used,0.0,11.0,87.0,36.0,4.0,1.0,0.0,139.0
Cleveland,Other equipment,Irritant spray not stated,0.0,0.0,6.0,2.0,0.0,0.0,0.0,8.0
Cleveland,Other equipment,Spit and bite guard,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
Cleveland,Other equipment,Shield,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Cleveland,Less lethal weapons,*Total Less lethal weapons,0.0,24.0,215.0,77.0,11.0,4.0,0.0,331.0
Cleveland,Less lethal weapons,CED of which,0.0,24.0,214.0,77.0,11.0,4.0,0.0,330.0
Cleveland,Less lethal weapons,CED non-discharge,0.0,24.0,197.0,67.0,11.0,3.0,0.0,302.0
Cleveland,Less lethal weapons,CED discharge,0.0,0.0,14.0,6.0,0.0,1.0,0.0,21.0
Cleveland,Less lethal weapons,CED not stated,0.0,0.0,3.0,4.0,0.0,0.0,0.0,7.0
Cleveland,Less lethal weapons,"AEP, of which",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Cleveland,Less lethal weapons,AEP drawn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Cleveland,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
