Tactic,Police Force,Force type - Output,Tactic - Output,age,count
*Total Other,Cambridgeshire,Other,Total: Other,Under 11 years,1.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Cambridgeshire,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Cambridgeshire,,,Under 11 years,0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,Under 11 years,1.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,Under 11 years,4.0
*Total Tactics,Cheshire,Total,Total: all,Under 11 years,10.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,Under 11 years,9.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,Under 11 years,1.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,Under 11 years,1.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Handcuffing not stated,Cheshire,,,Under 11 years,0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Cheshire,Restraint,Ground restraint,Under 11 years,8.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,Under 11 years,1.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Cheshire,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Cheshire,,,Under 11 years,0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Cheshire,,,Under 11 years,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Cheshire,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Cheshire,,,Under 11 years,0.0
CED non-discharge,Cheshire,,,Under 11 years,0.0
CED discharge,Cheshire,,,Under 11 years,0.0
CED not stated,Cheshire,,,Under 11 years,0.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Cheshire,,,Under 11 years,0.0
AEP used,Cheshire,,,Under 11 years,0.0
AEP not stated,Cheshire,,,Under 11 years,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Cheshire,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Cheshire,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Cheshire,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Cheshire,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Cheshire,,,Under 11 years,0.0
Other / improvised,Cheshire,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,Under 11 years,7.0
*Total Tactics,City of London,Total,Total: all,Under 11 years,0.0
*Total Restraint,City of London,Restraint,Total: Restraint,Under 11 years,0.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,Under 11 years,0.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Handcuffing not stated,City of London,,,Under 11 years,0.0
Limb / Body restraints,City of London,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,City of London,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,City of London,Unarmed skills,Total: unarmed skills,Under 11 years,0.0
*Total Other equipment,City of London,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",City of London,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,City of London,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,City of London,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,City of London,,,Under 11 years,0.0
"Irritant spray, of which",City of London,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,City of London,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,City of London,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,City of London,,,Under 11 years,0.0
Spit and bite guard,City of London,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,City of London,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,City of London,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,City of London,,,Under 11 years,0.0
CED non-discharge,City of London,,,Under 11 years,0.0
CED discharge,City of London,,,Under 11 years,0.0
CED not stated,City of London,,,Under 11 years,0.0
"AEP, of which",City of London,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,City of London,,,Under 11 years,0.0
AEP used,City of London,,,Under 11 years,0.0
AEP not stated,City of London,,,Under 11 years,0.0
*Total Firearms,City of London,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,City of London,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",City of London,Other,Total: Dog,Under 11 years,0.0
Dog deployed,City of London,Other,Dog: deployed,Under 11 years,0.0
Dog bite,City of London,Other,Dog: bite,Under 11 years,0.0
Dog not stated,City of London,,,Under 11 years,0.0
Other / improvised,City of London,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,City of London,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,City of London,Excluded: Tactical Communication,Tactical Communication,Under 11 years,0.0
*Total Tactics,Cleveland,Total,Total: all,Under 11 years,16.0
*Total Restraint,Cleveland,Restraint,Total: Restraint,Under 11 years,16.0
"Handcuffing, of which",Cleveland,Restraint,Total: Handcuffing,Under 11 years,16.0
Compliant handcuffing,Cleveland,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Cleveland,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Handcuffing not stated,Cleveland,,,Under 11 years,16.0
Limb / Body restraints,Cleveland,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Cleveland,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Cleveland,Unarmed skills,Total: unarmed skills,Under 11 years,0.0
*Total Other equipment,Cleveland,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Cleveland,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Cleveland,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Cleveland,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Cleveland,,,Under 11 years,0.0
"Irritant spray, of which",Cleveland,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Cleveland,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Cleveland,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Cleveland,,,Under 11 years,0.0
Spit and bite guard,Cleveland,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Cleveland,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Cleveland,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Cleveland,,,Under 11 years,0.0
CED non-discharge,Cleveland,,,Under 11 years,0.0
CED discharge,Cleveland,,,Under 11 years,0.0
CED not stated,Cleveland,,,Under 11 years,0.0
"AEP, of which",Cleveland,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Cleveland,,,Under 11 years,0.0
AEP used,Cleveland,,,Under 11 years,0.0
AEP not stated,Cleveland,,,Under 11 years,0.0
*Total Firearms,Cleveland,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Cleveland,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Cleveland,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Cleveland,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Cleveland,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Cleveland,,,Under 11 years,0.0
Other / improvised,Cleveland,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Cleveland,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Cleveland,Excluded: Tactical Communication,Tactical Communication,Under 11 years,3.0
*Total Tactics,Cumbria,Total,Total: all,Under 11 years,3.0
*Total Restraint,Cumbria,Restraint,Total: Restraint,Under 11 years,2.0
"Handcuffing, of which",Cumbria,Restraint,Total: Handcuffing,Under 11 years,2.0
Compliant handcuffing,Cumbria,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Cumbria,Restraint,Handcuffing: non-compliant,Under 11 years,2.0
Handcuffing not stated,Cumbria,,,Under 11 years,0.0
Limb / Body restraints,Cumbria,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Cumbria,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Cumbria,Unarmed skills,Total: unarmed skills,Under 11 years,1.0
*Total Other equipment,Cumbria,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Cumbria,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Cumbria,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Cumbria,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Cumbria,,,Under 11 years,0.0
"Irritant spray, of which",Cumbria,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Cumbria,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Cumbria,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Cumbria,,,Under 11 years,0.0
Spit and bite guard,Cumbria,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Cumbria,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Cumbria,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Cumbria,,,Under 11 years,0.0
CED non-discharge,Cumbria,,,Under 11 years,0.0
CED discharge,Cumbria,,,Under 11 years,0.0
CED not stated,Cumbria,,,Under 11 years,0.0
"AEP, of which",Cumbria,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Cumbria,,,Under 11 years,0.0
AEP used,Cumbria,,,Under 11 years,0.0
AEP not stated,Cumbria,,,Under 11 years,0.0
*Total Firearms,Cumbria,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Cumbria,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Cumbria,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Cumbria,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Cumbria,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Cumbria,,,Under 11 years,0.0
Other / improvised,Cumbria,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Cumbria,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Cumbria,Excluded: Tactical Communication,Tactical Communication,Under 11 years,2.0
*Total Tactics,Derbyshire,Total,Total: all,Under 11 years,2.0
*Total Restraint,Derbyshire,Restraint,Total: Restraint,Under 11 years,0.0
"Handcuffing, of which",Derbyshire,Restraint,Total: Handcuffing,Under 11 years,0.0
Compliant handcuffing,Derbyshire,Restraint,Handcuffing: compliant,Under 11 years,
Non-compliant handcuffing,Derbyshire,Restraint,Handcuffing: non-compliant,Under 11 years,
Handcuffing not stated,Derbyshire,,,Under 11 years,0.0
Limb / Body restraints,Derbyshire,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Derbyshire,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Derbyshire,Unarmed skills,Total: unarmed skills,Under 11 years,1.0
*Total Other equipment,Derbyshire,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Derbyshire,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Derbyshire,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Derbyshire,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Derbyshire,,,Under 11 years,0.0
"Irritant spray, of which",Derbyshire,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Derbyshire,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Derbyshire,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Derbyshire,,,Under 11 years,0.0
Spit and bite guard,Derbyshire,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Derbyshire,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Derbyshire,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Derbyshire,,,Under 11 years,0.0
CED non-discharge,Derbyshire,,,Under 11 years,0.0
CED discharge,Derbyshire,,,Under 11 years,0.0
CED not stated,Derbyshire,,,Under 11 years,0.0
"AEP, of which",Derbyshire,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Derbyshire,,,Under 11 years,0.0
AEP used,Derbyshire,,,Under 11 years,0.0
AEP not stated,Derbyshire,,,Under 11 years,0.0
*Total Firearms,Derbyshire,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Derbyshire,Other,Total: Other,Under 11 years,1.0
"Dog use, of which",Derbyshire,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Derbyshire,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Derbyshire,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Derbyshire,,,Under 11 years,0.0
Other / improvised,Derbyshire,Other,Other / improvised,Under 11 years,1.0
*Total Not reported,Derbyshire,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Derbyshire,Excluded: Tactical Communication,Tactical Communication,Under 11 years,2.0
*Total Tactics,Devon & Cornwall,Total,Total: all,Under 11 years,10.0
*Total Restraint,Devon & Cornwall,Restraint,Total: Restraint,Under 11 years,1.0
"Handcuffing, of which",Devon & Cornwall,Restraint,Total: Handcuffing,Under 11 years,1.0
Compliant handcuffing,Devon & Cornwall,Restraint,Handcuffing: compliant,Under 11 years,1.0
Non-compliant handcuffing,Devon & Cornwall,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Handcuffing not stated,Devon & Cornwall,,,Under 11 years,0.0
Limb / Body restraints,Devon & Cornwall,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Devon & Cornwall,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Devon & Cornwall,Unarmed skills,Total: unarmed skills,Under 11 years,7.0
*Total Other equipment,Devon & Cornwall,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Devon & Cornwall,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Devon & Cornwall,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Devon & Cornwall,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Devon & Cornwall,,,Under 11 years,0.0
"Irritant spray, of which",Devon & Cornwall,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Devon & Cornwall,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Devon & Cornwall,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Devon & Cornwall,,,Under 11 years,0.0
Spit and bite guard,Devon & Cornwall,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Devon & Cornwall,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Devon & Cornwall,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Devon & Cornwall,,,Under 11 years,0.0
CED non-discharge,Devon & Cornwall,,,Under 11 years,0.0
CED discharge,Devon & Cornwall,,,Under 11 years,0.0
CED not stated,Devon & Cornwall,,,Under 11 years,0.0
"AEP, of which",Devon & Cornwall,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Devon & Cornwall,,,Under 11 years,0.0
AEP used,Devon & Cornwall,,,Under 11 years,0.0
AEP not stated,Devon & Cornwall,,,Under 11 years,0.0
*Total Firearms,Devon & Cornwall,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Devon & Cornwall,Other,Total: Other,Under 11 years,2.0
"Dog use, of which",Devon & Cornwall,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Devon & Cornwall,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Devon & Cornwall,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Devon & Cornwall,,,Under 11 years,0.0
Other / improvised,Devon & Cornwall,Other,Other / improvised,Under 11 years,2.0
*Total Not reported,Devon & Cornwall,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Devon & Cornwall,Excluded: Tactical Communication,Tactical Communication,Under 11 years,10.0
*Total Tactics,Dorset,Total,Total: all,Under 11 years,21.0
*Total Restraint,Dorset,Restraint,Total: Restraint,Under 11 years,13.0
"Handcuffing, of which",Dorset,Restraint,Total: Handcuffing,Under 11 years,9.0
Compliant handcuffing,Dorset,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Dorset,Restraint,Handcuffing: non-compliant,Under 11 years,9.0
Handcuffing not stated,Dorset,,,Under 11 years,0.0
Limb / Body restraints,Dorset,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Dorset,Restraint,Ground restraint,Under 11 years,4.0
*Total Unarmed skills,Dorset,Unarmed skills,Total: unarmed skills,Under 11 years,8.0
*Total Other equipment,Dorset,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Dorset,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Dorset,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Dorset,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Dorset,,,Under 11 years,0.0
"Irritant spray, of which",Dorset,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Dorset,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Dorset,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Dorset,,,Under 11 years,0.0
Spit and bite guard,Dorset,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Dorset,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Dorset,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Dorset,,,Under 11 years,0.0
CED non-discharge,Dorset,,,Under 11 years,0.0
CED discharge,Dorset,,,Under 11 years,0.0
CED not stated,Dorset,,,Under 11 years,0.0
"AEP, of which",Dorset,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Dorset,,,Under 11 years,0.0
AEP used,Dorset,,,Under 11 years,0.0
AEP not stated,Dorset,,,Under 11 years,0.0
*Total Firearms,Dorset,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Dorset,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Dorset,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Dorset,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Dorset,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Dorset,,,Under 11 years,0.0
Other / improvised,Dorset,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Dorset,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Dorset,Excluded: Tactical Communication,Tactical Communication,Under 11 years,1.0
*Total Tactics,Durham,Total,Total: all,Under 11 years,11.0
*Total Restraint,Durham,Restraint,Total: Restraint,Under 11 years,5.0
