Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Bedfordshire,Less lethal weapons,CED not stated,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,,
Bedfordshire,Less lethal weapons,"AEP, of which",0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,Less lethal weapons,Total: AEP
Bedfordshire,Less lethal weapons,AEP drawn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,
Bedfordshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Bedfordshire,Less lethal weapons,AEP not stated,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,
Bedfordshire,Firearms,*Total Firearms,0.0,0.0,14.0,2.0,0.0,0.0,0.0,16.0,Firearms,Total: Firearms
Bedfordshire,Other,*Total Other,0.0,19.0,125.0,48.0,10.0,2.0,2.0,206.0,Other,Total: Other
Bedfordshire,Other,"Dog use, of which",0.0,2.0,8.0,2.0,0.0,0.0,0.0,12.0,Other,Total: Dog
Bedfordshire,Other,Dog deployed,0.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0,Other,Dog: deployed
Bedfordshire,Other,Dog bite,0.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0,Other,Dog: bite
Bedfordshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Bedfordshire,Other,Other / improvised,0.0,17.0,117.0,46.0,10.0,2.0,2.0,194.0,Other,Other / improvised
Bedfordshire,Not reported,*Total Not reported,0.0,1.0,4.0,3.0,1.0,0.0,0.0,9.0,Not reported,Total: Not reported
Bedfordshire,Tactical communication,Tactical communication,4.0,363.0,1959.0,835.0,253.0,26.0,34.0,3474.0,Excluded: Tactical Communication,Tactical Communication
Cambridgeshire,Total (excluding not reported and tactical communication),*Total Tactics,4.0,795.0,4468.0,2090.0,528.0,48.0,59.0,7992.0,Total,Total: all
Cambridgeshire,Restraint,*Total Restraint,0.0,408.0,2264.0,1070.0,252.0,17.0,24.0,4035.0,Restraint,Total: Restraint
Cambridgeshire,Restraint,"Handcuffing, of which",0.0,275.0,1453.0,762.0,198.0,14.0,13.0,2715.0,Restraint,Total: Handcuffing
Cambridgeshire,Restraint,Compliant handcuffing,0.0,127.0,653.0,373.0,95.0,7.0,8.0,1263.0,Restraint,Handcuffing: compliant
Cambridgeshire,Restraint,Non-compliant handcuffing,0.0,148.0,800.0,389.0,103.0,7.0,5.0,1452.0,Restraint,Handcuffing: non-compliant
Cambridgeshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cambridgeshire,Restraint,Limb / Body restraints,0.0,41.0,274.0,88.0,21.0,2.0,6.0,432.0,Restraint,Limb / body restraints
Cambridgeshire,Restraint,Ground restraint,0.0,92.0,537.0,220.0,33.0,1.0,5.0,888.0,Restraint,Ground restraint
Cambridgeshire,Unarmed skills,*Total Unarmed skills,3.0,248.0,1285.0,623.0,166.0,25.0,20.0,2370.0,Unarmed skills,Total: unarmed skills
Cambridgeshire,Other equipment,*Total Other equipment,0.0,75.0,530.0,216.0,65.0,2.0,8.0,896.0,Other equipment,Total: Other equipment
Cambridgeshire,Other equipment,"Baton, of which",0.0,7.0,72.0,22.0,6.0,0.0,3.0,110.0,Other equipment,Total: Baton
Cambridgeshire,Other equipment,Baton drawn,0.0,4.0,49.0,13.0,4.0,0.0,3.0,73.0,Other equipment,Baton: drawn
Cambridgeshire,Other equipment,Baton used,0.0,3.0,23.0,9.0,2.0,0.0,0.0,37.0,Other equipment,Baton: used
Cambridgeshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cambridgeshire,Other equipment,"Irritant spray, of which",0.0,41.0,370.0,172.0,51.0,1.0,4.0,639.0,Other equipment,Total: Irritant spray
Cambridgeshire,Other equipment,Irritant spray - drawn,0.0,29.0,229.0,104.0,30.0,1.0,2.0,395.0,Other equipment,Irritant spray: drawn
Cambridgeshire,Other equipment,Irritant spray - used,0.0,12.0,141.0,67.0,21.0,0.0,2.0,243.0,Other equipment,Irritant spray: used
Cambridgeshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,
Cambridgeshire,Other equipment,Spit and bite guard,0.0,21.0,76.0,17.0,6.0,1.0,1.0,122.0,Other equipment,Spit and bite guard
Cambridgeshire,Other equipment,Shield,0.0,6.0,12.0,5.0,2.0,0.0,0.0,25.0,Other equipment,Shield
Cambridgeshire,Less lethal weapons,*Total Less lethal weapons,0.0,12.0,127.0,60.0,12.0,1.0,2.0,214.0,Less lethal weapons,Total: Less lethal weapons
Cambridgeshire,Less lethal weapons,CED of which,0.0,12.0,124.0,57.0,12.0,1.0,2.0,208.0,,
Cambridgeshire,Less lethal weapons,CED non-discharge,0.0,10.0,111.0,51.0,12.0,1.0,2.0,187.0,,
Cambridgeshire,Less lethal weapons,CED discharge,0.0,2.0,13.0,6.0,0.0,0.0,0.0,21.0,,
Cambridgeshire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cambridgeshire,Less lethal weapons,"AEP, of which",0.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,Less lethal weapons,Total: AEP
Cambridgeshire,Less lethal weapons,AEP drawn,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,,
Cambridgeshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cambridgeshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,
Cambridgeshire,Firearms,*Total Firearms,0.0,1.0,9.0,8.0,0.0,0.0,0.0,18.0,Firearms,Total: Firearms
Cambridgeshire,Other,*Total Other,1.0,51.0,253.0,113.0,33.0,3.0,5.0,459.0,Other,Total: Other
Cambridgeshire,Other,"Dog use, of which",0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Other,Total: Dog
Cambridgeshire,Other,Dog deployed,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Other,Dog: deployed
Cambridgeshire,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: bite
Cambridgeshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cambridgeshire,Other,Other / improvised,1.0,51.0,252.0,112.0,33.0,3.0,5.0,457.0,Other,Other / improvised
Cambridgeshire,Not reported,*Total Not reported,0.0,1.0,15.0,10.0,2.0,0.0,0.0,28.0,Not reported,Total: Not reported
Cambridgeshire,Tactical communication,Tactical communication,4.0,400.0,2154.0,1074.0,282.0,32.0,27.0,3973.0,Excluded: Tactical Communication,Tactical Communication
Cheshire,Total (excluding not reported and tactical communication),*Total Tactics,10.0,1317.0,6461.0,3105.0,927.0,100.0,0.0,11920.0,Total,Total: all
Cheshire,Restraint,*Total Restraint,9.0,978.0,4790.0,2358.0,699.0,71.0,0.0,8905.0,Restraint,Total: Restraint
Cheshire,Restraint,"Handcuffing, of which",1.0,589.0,3114.0,1613.0,511.0,47.0,0.0,5875.0,Restraint,Total: Handcuffing
Cheshire,Restraint,Compliant handcuffing,1.0,317.0,1979.0,1098.0,306.0,26.0,0.0,3727.0,Restraint,Handcuffing: compliant
Cheshire,Restraint,Non-compliant handcuffing,0.0,272.0,1135.0,515.0,205.0,21.0,0.0,2148.0,Restraint,Handcuffing: non-compliant
Cheshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cheshire,Restraint,Limb / Body restraints,0.0,42.0,198.0,60.0,14.0,2.0,0.0,316.0,Restraint,Limb / body restraints
Cheshire,Restraint,Ground restraint,8.0,347.0,1478.0,685.0,174.0,22.0,0.0,2714.0,Restraint,Ground restraint
Cheshire,Unarmed skills,*Total Unarmed skills,1.0,230.0,827.0,383.0,132.0,24.0,0.0,1597.0,Unarmed skills,Total: unarmed skills
Cheshire,Other equipment,*Total Other equipment,0.0,60.0,544.0,227.0,62.0,2.0,0.0,895.0,Other equipment,Total: Other equipment
Cheshire,Other equipment,"Baton, of which",0.0,3.0,29.0,10.0,2.0,0.0,0.0,44.0,Other equipment,Total: Baton
Cheshire,Other equipment,Baton drawn,0.0,3.0,21.0,6.0,1.0,0.0,0.0,31.0,Other equipment,Baton: drawn
Cheshire,Other equipment,Baton used,0.0,0.0,8.0,4.0,1.0,0.0,0.0,13.0,Other equipment,Baton: used
Cheshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cheshire,Other equipment,"Irritant spray, of which",0.0,53.0,456.0,205.0,53.0,1.0,0.0,768.0,Other equipment,Total: Irritant spray
Cheshire,Other equipment,Irritant spray - drawn,0.0,23.0,159.0,76.0,22.0,1.0,0.0,281.0,Other equipment,Irritant spray: drawn
Cheshire,Other equipment,Irritant spray - used,0.0,30.0,297.0,129.0,31.0,0.0,0.0,487.0,Other equipment,Irritant spray: used
Cheshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cheshire,Other equipment,Spit and bite guard,0.0,4.0,58.0,12.0,7.0,1.0,0.0,82.0,Other equipment,Spit and bite guard
Cheshire,Other equipment,Shield,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Other equipment,Shield
Cheshire,Less lethal weapons,*Total Less lethal weapons,0.0,42.0,281.0,132.0,30.0,2.0,0.0,487.0,Less lethal weapons,Total: Less lethal weapons
Cheshire,Less lethal weapons,CED of which,0.0,42.0,281.0,132.0,30.0,2.0,0.0,487.0,,
Cheshire,Less lethal weapons,CED non-discharge,0.0,40.0,259.0,115.0,25.0,2.0,0.0,441.0,,
Cheshire,Less lethal weapons,CED discharge,0.0,2.0,22.0,17.0,5.0,0.0,0.0,46.0,,
Cheshire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cheshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Cheshire,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cheshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cheshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cheshire,Firearms,*Total Firearms,0.0,0.0,1.0,2.0,2.0,1.0,0.0,6.0,Firearms,Total: Firearms
Cheshire,Other,*Total Other,0.0,7.0,18.0,3.0,2.0,0.0,0.0,30.0,Other,Total: Other
Cheshire,Other,"Dog use, of which",0.0,7.0,18.0,3.0,2.0,0.0,0.0,30.0,Other,Total: Dog
Cheshire,Other,Dog deployed,0.0,5.0,15.0,2.0,2.0,0.0,0.0,24.0,Other,Dog: deployed
Cheshire,Other,Dog bite,0.0,2.0,3.0,1.0,0.0,0.0,0.0,6.0,Other,Dog: bite
Cheshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cheshire,Other,Other / improvised,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Other / improvised
Cheshire,Not reported,*Total Not reported,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Not reported,Total: Not reported
Cheshire,Tactical communication,Tactical communication,7.0,562.0,2469.0,1259.0,373.0,53.0,0.0,4723.0,Excluded: Tactical Communication,Tactical Communication
City of London,Total (excluding not reported and tactical communication),*Total Tactics,0.0,185.0,2220.0,684.0,222.0,5.0,382.0,3698.0,Total,Total: all
City of London,Restraint,*Total Restraint,0.0,124.0,1502.0,501.0,136.0,4.0,131.0,2398.0,Restraint,Total: Restraint
City of London,Restraint,"Handcuffing, of which",0.0,110.0,1346.0,469.0,121.0,4.0,104.0,2154.0,Restraint,Total: Handcuffing
City of London,Restraint,Compliant handcuffing,0.0,53.0,655.0,235.0,52.0,2.0,31.0,1028.0,Restraint,Handcuffing: compliant
City of London,Restraint,Non-compliant handcuffing,0.0,57.0,691.0,234.0,69.0,2.0,73.0,1126.0,Restraint,Handcuffing: non-compliant
City of London,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
City of London,Restraint,Limb / Body restraints,0.0,4.0,65.0,7.0,5.0,0.0,9.0,90.0,Restraint,Limb / body restraints
City of London,Restraint,Ground restraint,0.0,10.0,91.0,25.0,10.0,0.0,18.0,154.0,Restraint,Ground restraint
City of London,Unarmed skills,*Total Unarmed skills,0.0,42.0,502.0,124.0,55.0,1.0,146.0,870.0,Unarmed skills,Total: unarmed skills
City of London,Other equipment,*Total Other equipment,0.0,3.0,76.0,23.0,5.0,0.0,29.0,136.0,Other equipment,Total: Other equipment
City of London,Other equipment,"Baton, of which",0.0,0.0,17.0,6.0,0.0,0.0,15.0,38.0,Other equipment,Total: Baton
City of London,Other equipment,Baton drawn,0.0,0.0,13.0,4.0,0.0,0.0,10.0,27.0,Other equipment,Baton: drawn
City of London,Other equipment,Baton used,0.0,0.0,4.0,2.0,0.0,0.0,5.0,11.0,Other equipment,Baton: used
City of London,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
City of London,Other equipment,"Irritant spray, of which",0.0,2.0,50.0,12.0,1.0,0.0,10.0,75.0,Other equipment,Total: Irritant spray
City of London,Other equipment,Irritant spray - drawn,0.0,2.0,36.0,8.0,1.0,0.0,9.0,56.0,Other equipment,Irritant spray: drawn
City of London,Other equipment,Irritant spray - used,0.0,0.0,14.0,4.0,0.0,0.0,1.0,19.0,Other equipment,Irritant spray: used
City of London,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
City of London,Other equipment,Spit and bite guard,0.0,1.0,8.0,4.0,4.0,0.0,2.0,19.0,Other equipment,Spit and bite guard
City of London,Other equipment,Shield,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,Other equipment,Shield
City of London,Less lethal weapons,*Total Less lethal weapons,0.0,10.0,78.0,11.0,4.0,0.0,31.0,134.0,Less lethal weapons,Total: Less lethal weapons
City of London,Less lethal weapons,CED of which,0.0,10.0,78.0,11.0,4.0,0.0,31.0,134.0,,
City of London,Less lethal weapons,CED non-discharge,0.0,10.0,74.0,10.0,3.0,0.0,31.0,128.0,,
City of London,Less lethal weapons,CED discharge,0.0,0.0,4.0,1.0,1.0,0.0,0.0,6.0,,
City of London,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
City of London,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
City of London,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
City of London,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
City of London,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
City of London,Firearms,*Total Firearms,0.0,5.0,21.0,8.0,3.0,0.0,10.0,47.0,Firearms,Total: Firearms
City of London,Other,*Total Other,0.0,1.0,41.0,17.0,19.0,0.0,35.0,113.0,Other,Total: Other
City of London,Other,"Dog use, of which",0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,Other,Total: Dog
City of London,Other,Dog deployed,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,Other,Dog: deployed
City of London,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Other,Dog: bite
City of London,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
City of London,Other,Other / improvised,0.0,1.0,41.0,17.0,19.0,0.0,20.0,98.0,Other,Other / improvised
City of London,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
City of London,Tactical communication,Tactical communication,0.0,87.0,998.0,362.0,122.0,2.0,210.0,1781.0,Excluded: Tactical Communication,Tactical Communication
Cleveland,Total (excluding not reported and tactical communication),*Total Tactics,16.0,1074.0,6592.0,3512.0,622.0,122.0,0.0,11938.0,Total,Total: all
Cleveland,Restraint,*Total Restraint,16.0,940.0,5591.0,3073.0,543.0,86.0,0.0,10249.0,Restraint,Total: Restraint
Cleveland,Restraint,"Handcuffing, of which",16.0,926.0,5515.0,3007.0,523.0,86.0,0.0,10073.0,Restraint,Total: Handcuffing
Cleveland,Restraint,Compliant handcuffing,0.0,20.0,163.0,78.0,20.0,2.0,0.0,283.0,Restraint,Handcuffing: compliant
Cleveland,Restraint,Non-compliant handcuffing,0.0,14.0,67.0,49.0,11.0,1.0,0.0,142.0,Restraint,Handcuffing: non-compliant
Cleveland,Restraint,Handcuffing not stated,16.0,892.0,5285.0,2880.0,492.0,83.0,0.0,9648.0,,
Cleveland,Restraint,Limb / Body restraints,0.0,2.0,10.0,4.0,2.0,0.0,0.0,18.0,Restraint,Limb / body restraints
Cleveland,Restraint,Ground restraint,0.0,12.0,66.0,62.0,18.0,0.0,0.0,158.0,Restraint,Ground restraint
Cleveland,Unarmed skills,*Total Unarmed skills,0.0,40.0,328.0,159.0,30.0,11.0,0.0,568.0,Unarmed skills,Total: unarmed skills
Cleveland,Other equipment,*Total Other equipment,0.0,23.0,156.0,76.0,9.0,2.0,0.0,266.0,Other equipment,Total: Other equipment
Cleveland,Other equipment,"Baton, of which",0.0,8.0,46.0,24.0,3.0,0.0,0.0,81.0,Other equipment,Total: Baton
Cleveland,Other equipment,Baton drawn,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,Other equipment,Baton: drawn
Cleveland,Other equipment,Baton used,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,Other equipment,Baton: used
Cleveland,Other equipment,Baton not stated,0.0,8.0,44.0,21.0,2.0,0.0,0.0,75.0,,
Cleveland,Other equipment,"Irritant spray, of which",0.0,15.0,109.0,48.0,6.0,2.0,0.0,180.0,Other equipment,Total: Irritant spray
Cleveland,Other equipment,Irritant spray - drawn,0.0,4.0,16.0,10.0,2.0,1.0,0.0,33.0,Other equipment,Irritant spray: drawn
Cleveland,Other equipment,Irritant spray - used,0.0,11.0,87.0,36.0,4.0,1.0,0.0,139.0,Other equipment,Irritant spray: used
Cleveland,Other equipment,Irritant spray not stated,0.0,0.0,6.0,2.0,0.0,0.0,0.0,8.0,,
Cleveland,Other equipment,Spit and bite guard,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,Other equipment,Spit and bite guard
Cleveland,Other equipment,Shield,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Other equipment,Shield
Cleveland,Less lethal weapons,*Total Less lethal weapons,0.0,24.0,215.0,77.0,11.0,4.0,0.0,331.0,Less lethal weapons,Total: Less lethal weapons
Cleveland,Less lethal weapons,CED of which,0.0,24.0,214.0,77.0,11.0,4.0,0.0,330.0,,
Cleveland,Less lethal weapons,CED non-discharge,0.0,24.0,197.0,67.0,11.0,3.0,0.0,302.0,,
Cleveland,Less lethal weapons,CED discharge,0.0,0.0,14.0,6.0,0.0,1.0,0.0,21.0,,
Cleveland,Less lethal weapons,CED not stated,0.0,0.0,3.0,4.0,0.0,0.0,0.0,7.0,,
Cleveland,Less lethal weapons,"AEP, of which",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Less lethal weapons,Total: AEP
