Region,Police force,Total,Total non-discharge,Drawn,Aimed,Red-dot,Arced,Total discharge,Drive stun,Fired,Angled drive stun,Not stated
London,Metropolitan,4951.0,4523.0,1490.0,569.0,2443.0,21.0,428.0,17.0,383.0,28.0,0.0
South East,*Total South East,1904.0,1469.0,588.0,129.0,743.0,9.0,183.0,12.0,168.0,3.0,252.0
South East,Hampshire (R),158.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,152.0
South East,Kent,475.0,337.0,135.0,31.0,169.0,2.0,38.0,0.0,35.0,3.0,100.0
South East,Surrey,188.0,158.0,60.0,15.0,83.0,0.0,30.0,5.0,25.0,0.0,0.0
South East,Sussex,564.0,511.0,220.0,53.0,237.0,1.0,53.0,5.0,48.0,0.0,0.0
South East,Thames Valley,519.0,457.0,170.0,30.0,251.0,6.0,62.0,2.0,60.0,0.0,0.0
South West,*Total South West,1630.0,1336.0,325.0,103.0,893.0,15.0,211.0,8.0,199.0,4.0,83.0
South West,Avon & Somerset,643.0,557.0,131.0,42.0,381.0,3.0,83.0,6.0,74.0,3.0,3.0
South West,Devon & Cornwall,585.0,459.0,128.0,34.0,293.0,4.0,60.0,0.0,59.0,1.0,66.0
South West,Dorset,118.0,97.0,16.0,12.0,69.0,0.0,21.0,0.0,21.0,0.0,0.0
South West,Gloucestershire,120.0,87.0,12.0,11.0,58.0,6.0,19.0,0.0,19.0,0.0,14.0
South West,Wiltshire,164.0,136.0,38.0,4.0,92.0,2.0,28.0,2.0,26.0,0.0,0.0
Wales,*Total Wales,697.0,534.0,154.0,83.0,281.0,16.0,59.0,0.0,56.0,3.0,104.0
Wales,Dyfed-Powys,141.0,126.0,23.0,43.0,60.0,0.0,15.0,0.0,15.0,0.0,0.0
Wales,Gwent,72.0,59.0,23.0,8.0,22.0,6.0,13.0,0.0,12.0,1.0,0.0
Wales,North Wales,134.0,122.0,54.0,11.0,55.0,2.0,12.0,0.0,11.0,1.0,0.0
Wales,South Wales,350.0,227.0,54.0,21.0,144.0,8.0,19.0,0.0,18.0,1.0,104.0
