Police Force/Region,Drawn,Aimed,Arced,Red-dot,Total non-discharge,Proportion of TASER ® X26 use - non-discharge,Drive stun,Angled drive stun,Fired,Total discharge,Proportion of TASER ® X26 use - discharge,Not stated,Total
London,661.0,180.0,12.0,895.0,1748.0,0.8788335847159376,4.0,9.0,228.0,241.0,0.12116641528406234,0.0,1989.0
City of London,9.0,3.0,1.0,19.0,32.0,0.9142857142857143,1.0,0.0,2.0,3.0,0.08571428571428572,0.0,35.0
Metropolitan,652.0,177.0,11.0,876.0,1716.0,0.8781985670419652,3.0,9.0,226.0,238.0,0.1218014329580348,0.0,1954.0
South East,399.0,79.0,8.0,582.0,1068.0,0.8228043143297381,24.0,7.0,199.0,230.0,0.17719568567026195,0.0,1298.0
Hampshire,70.0,25.0,4.0,133.0,232.0,0.8721804511278195,1.0,0.0,33.0,34.0,0.12781954887218044,0.0,266.0
Kent,105.0,22.0,2.0,105.0,234.0,0.8478260869565217,1.0,2.0,39.0,42.0,0.15217391304347827,0.0,276.0
Surrey,22.0,6.0,1.0,70.0,99.0,0.678082191780822,9.0,1.0,37.0,47.0,0.3219178082191781,0.0,146.0
Sussex,111.0,12.0,1.0,84.0,208.0,0.8188976377952756,9.0,3.0,34.0,46.0,0.18110236220472442,0.0,254.0
Thames Valley,91.0,14.0,0.0,190.0,295.0,0.8286516853932584,4.0,1.0,56.0,61.0,0.17134831460674158,0.0,356.0
South West,233.0,59.0,16.0,753.0,1061.0,0.8243978243978244,13.0,7.0,206.0,226.0,0.17560217560217561,3.0,1290.0
Avon & Somerset,131.0,28.0,14.0,374.0,547.0,0.832572298325723,10.0,1.0,99.0,110.0,0.167427701674277,3.0,660.0
Devon & Cornwall,53.0,14.0,0.0,151.0,218.0,0.7703180212014135,2.0,1.0,62.0,65.0,0.22968197879858657,0.0,283.0
Dorset,8.0,5.0,0.0,54.0,67.0,0.8589743589743589,0.0,1.0,10.0,11.0,0.14102564102564102,0.0,78.0
Gloucestershire,10.0,1.0,0.0,57.0,68.0,0.8192771084337349,1.0,0.0,14.0,15.0,0.18072289156626506,0.0,83.0
Wiltshire,31.0,11.0,2.0,117.0,161.0,0.8655913978494624,0.0,4.0,21.0,25.0,0.13440860215053763,0.0,186.0
Wales,134.0,33.0,6.0,356.0,529.0,0.808868501529052,10.0,3.0,112.0,125.0,0.191131498470948,0.0,654.0
Dyfed-Powys,27.0,2.0,0.0,44.0,73.0,0.8202247191011236,2.0,0.0,14.0,16.0,0.1797752808988764,0.0,89.0
Gwent,28.0,8.0,0.0,49.0,85.0,0.85,0.0,0.0,15.0,15.0,0.15,0.0,100.0
North Wales,21.0,13.0,0.0,77.0,111.0,0.7872340425531915,3.0,0.0,27.0,30.0,0.2127659574468085,0.0,141.0
South Wales,58.0,10.0,6.0,186.0,260.0,0.8024691358024691,5.0,3.0,56.0,64.0,0.19753086419753085,0.0,324.0
England and Wales,2457.0,630.0,106.0,5274.0,8467.0,0.8151535573312795,104.0,87.0,1729.0,1920.0,0.18484644266872052,3.0,10390.0
