Police Force,Type of force,Tactic,Mental,Physical,Physical and mental,None,Not reported,Number of times tactic reported
Avon & Somerset,Total (excluding not reported and tactical communication),*Total Tactics,1815.0,0.0,0.0,19278.0,0.0,21093.0
Avon & Somerset,Restraint,*Total Restraint,830.0,0.0,0.0,9097.0,0.0,9927.0
Avon & Somerset,Restraint,"Handcuffing, of which",598.0,0.0,0.0,7082.0,0.0,7680.0
Avon & Somerset,Restraint,Compliant handcuffing,:,:,:,:,:,:
Avon & Somerset,Restraint,Non-compliant handcuffing,:,:,:,:,:,:
Avon & Somerset,Restraint,Handcuffing not stated,598.0,0.0,0.0,7082.0,0.0,7680.0
Avon & Somerset,Restraint,Limb / Body restraints,108.0,0.0,0.0,762.0,0.0,870.0
Avon & Somerset,Restraint,Ground restraint,124.0,0.0,0.0,1253.0,0.0,1377.0
Avon & Somerset,Unarmed skills,*Total Unarmed skills,744.0,0.0,0.0,7326.0,0.0,8070.0
Avon & Somerset,Other equipment,*Total Other equipment,62.0,0.0,0.0,864.0,0.0,926.0
Avon & Somerset,Other equipment,"Baton, of which",1.0,0.0,0.0,58.0,0.0,59.0
Avon & Somerset,Other equipment,Baton drawn,:,:,:,:,:,:
Avon & Somerset,Other equipment,Baton used,:,:,:,:,:,:
Avon & Somerset,Other equipment,Baton not stated,1.0,0.0,0.0,58.0,0.0,59.0
Avon & Somerset,Other equipment,"Irritant spray, of which",36.0,0.0,0.0,572.0,0.0,608.0
Avon & Somerset,Other equipment,Irritant spray - drawn,:,:,:,:,:,:
Avon & Somerset,Other equipment,Irritant spray - used,:,:,:,:,:,:
Avon & Somerset,Other equipment,Irritant spray not stated,36.0,0.0,0.0,572.0,0.0,608.0
Avon & Somerset,Other equipment,Spit and bite guard,25.0,0.0,0.0,234.0,0.0,259.0
Avon & Somerset,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,*Total Less lethal weapons,75.0,0.0,0.0,1003.0,0.0,1078.0
Avon & Somerset,Less lethal weapons,CED of which,75.0,0.0,0.0,1003.0,0.0,1078.0
Avon & Somerset,Less lethal weapons,CED non-discharge,62.0,0.0,0.0,809.0,0.0,871.0
Avon & Somerset,Less lethal weapons,CED discharge,11.0,0.0,0.0,177.0,0.0,188.0
Avon & Somerset,Less lethal weapons,CED not stated,2.0,0.0,0.0,17.0,0.0,19.0
Avon & Somerset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Firearms,*Total Firearms,0.0,0.0,0.0,22.0,0.0,22.0
Avon & Somerset,Other,*Total Other,104.0,0.0,0.0,966.0,0.0,1070.0
Avon & Somerset,Other,"Dog use, of which",0.0,0.0,0.0,14.0,0.0,14.0
Avon & Somerset,Other,Dog deployed,:,:,:,:,:,:
Avon & Somerset,Other,Dog bite,:,:,:,:,:,:
Avon & Somerset,Other,Dog not stated,0.0,0.0,0.0,14.0,0.0,14.0
Avon & Somerset,Other,Other / improvised,104.0,0.0,0.0,952.0,0.0,1056.0
Avon & Somerset,Not reported,*Total Not reported,12.0,0.0,0.0,149.0,0.0,161.0
Avon & Somerset,Tactical communication,Tactical communication,238.0,0.0,0.0,2419.0,0.0,2657.0
Bedfordshire,Total (excluding not reported and tactical communication),*Total Tactics,1096.0,24.0,68.0,5342.0,0.0,6530.0
Bedfordshire,Restraint,*Total Restraint,600.0,11.0,38.0,3133.0,0.0,3782.0
Bedfordshire,Restraint,"Handcuffing, of which",381.0,11.0,24.0,2250.0,0.0,2666.0
Bedfordshire,Restraint,Compliant handcuffing,164.0,5.0,10.0,1277.0,0.0,1456.0
Bedfordshire,Restraint,Non-compliant handcuffing,217.0,6.0,14.0,973.0,0.0,1210.0
Bedfordshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Restraint,Limb / Body restraints,102.0,0.0,7.0,319.0,0.0,428.0
Bedfordshire,Restraint,Ground restraint,117.0,0.0,7.0,564.0,0.0,688.0
Bedfordshire,Unarmed skills,*Total Unarmed skills,349.0,9.0,21.0,1515.0,0.0,1894.0
Bedfordshire,Other equipment,*Total Other equipment,65.0,2.0,4.0,311.0,0.0,382.0
Bedfordshire,Other equipment,"Baton, of which",8.0,1.0,0.0,63.0,0.0,72.0
Bedfordshire,Other equipment,Baton drawn,5.0,1.0,0.0,40.0,0.0,46.0
Bedfordshire,Other equipment,Baton used,3.0,0.0,0.0,23.0,0.0,26.0
Bedfordshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other equipment,"Irritant spray, of which",31.0,0.0,2.0,186.0,0.0,219.0
Bedfordshire,Other equipment,Irritant spray - drawn,17.0,0.0,1.0,99.0,0.0,117.0
Bedfordshire,Other equipment,Irritant spray - used,14.0,0.0,1.0,84.0,0.0,99.0
Bedfordshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,3.0,0.0,3.0
Bedfordshire,Other equipment,Spit and bite guard,24.0,1.0,1.0,54.0,0.0,80.0
Bedfordshire,Other equipment,Shield,2.0,0.0,1.0,8.0,0.0,11.0
Bedfordshire,Less lethal weapons,*Total Less lethal weapons,46.0,1.0,1.0,202.0,0.0,250.0
Bedfordshire,Less lethal weapons,CED of which,46.0,1.0,1.0,199.0,0.0,247.0
Bedfordshire,Less lethal weapons,CED non-discharge,40.0,1.0,1.0,175.0,0.0,217.0
Bedfordshire,Less lethal weapons,CED discharge,6.0,0.0,0.0,18.0,0.0,24.0
Bedfordshire,Less lethal weapons,CED not stated,0.0,0.0,0.0,6.0,0.0,6.0
Bedfordshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,3.0,0.0,3.0
Bedfordshire,Less lethal weapons,AEP drawn,0.0,0.0,0.0,2.0,0.0,2.0
Bedfordshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,1.0,0.0,1.0
Bedfordshire,Firearms,*Total Firearms,0.0,0.0,0.0,16.0,0.0,16.0
Bedfordshire,Other,*Total Other,36.0,1.0,4.0,165.0,0.0,206.0
Bedfordshire,Other,"Dog use, of which",0.0,0.0,0.0,12.0,0.0,12.0
Bedfordshire,Other,Dog deployed,0.0,0.0,0.0,6.0,0.0,6.0
Bedfordshire,Other,Dog bite,0.0,0.0,0.0,6.0,0.0,6.0
Bedfordshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Other,Other / improvised,36.0,1.0,4.0,153.0,0.0,194.0
Bedfordshire,Not reported,*Total Not reported,0.0,0.0,0.0,9.0,0.0,9.0
Bedfordshire,Tactical communication,Tactical communication,570.0,17.0,29.0,2858.0,0.0,3474.0
Cambridgeshire,Total (excluding not reported and tactical communication),*Total Tactics,1621.0,62.0,80.0,6229.0,0.0,7992.0
Cambridgeshire,Restraint,*Total Restraint,814.0,24.0,38.0,3159.0,0.0,4035.0
Cambridgeshire,Restraint,"Handcuffing, of which",481.0,18.0,25.0,2191.0,0.0,2715.0
Cambridgeshire,Restraint,Compliant handcuffing,157.0,6.0,13.0,1087.0,0.0,1263.0
Cambridgeshire,Restraint,Non-compliant handcuffing,324.0,12.0,12.0,1104.0,0.0,1452.0
Cambridgeshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Restraint,Limb / Body restraints,133.0,2.0,7.0,290.0,0.0,432.0
Cambridgeshire,Restraint,Ground restraint,200.0,4.0,6.0,678.0,0.0,888.0
Cambridgeshire,Unarmed skills,*Total Unarmed skills,515.0,22.0,26.0,1807.0,0.0,2370.0
Cambridgeshire,Other equipment,*Total Other equipment,139.0,5.0,6.0,746.0,0.0,896.0
Cambridgeshire,Other equipment,"Baton, of which",15.0,0.0,0.0,95.0,0.0,110.0
Cambridgeshire,Other equipment,Baton drawn,9.0,0.0,0.0,64.0,0.0,73.0
Cambridgeshire,Other equipment,Baton used,6.0,0.0,0.0,31.0,0.0,37.0
Cambridgeshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other equipment,"Irritant spray, of which",78.0,4.0,4.0,553.0,0.0,639.0
Cambridgeshire,Other equipment,Irritant spray - drawn,49.0,3.0,2.0,341.0,0.0,395.0
Cambridgeshire,Other equipment,Irritant spray - used,29.0,1.0,2.0,211.0,0.0,243.0
Cambridgeshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,1.0,0.0,1.0
Cambridgeshire,Other equipment,Spit and bite guard,32.0,1.0,1.0,88.0,0.0,122.0
Cambridgeshire,Other equipment,Shield,14.0,0.0,1.0,10.0,0.0,25.0
Cambridgeshire,Less lethal weapons,*Total Less lethal weapons,49.0,1.0,2.0,162.0,0.0,214.0
Cambridgeshire,Less lethal weapons,CED of which,48.0,1.0,2.0,157.0,0.0,208.0
Cambridgeshire,Less lethal weapons,CED non-discharge,38.0,1.0,2.0,146.0,0.0,187.0
Cambridgeshire,Less lethal weapons,CED discharge,10.0,0.0,0.0,11.0,0.0,21.0
Cambridgeshire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,5.0,0.0,6.0
Cambridgeshire,Less lethal weapons,AEP drawn,1.0,0.0,0.0,4.0,0.0,5.0
Cambridgeshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,1.0,0.0,1.0
Cambridgeshire,Firearms,*Total Firearms,1.0,0.0,0.0,17.0,0.0,18.0
Cambridgeshire,Other,*Total Other,103.0,10.0,8.0,338.0,0.0,459.0
Cambridgeshire,Other,"Dog use, of which",0.0,0.0,0.0,2.0,0.0,2.0
Cambridgeshire,Other,Dog deployed,0.0,0.0,0.0,2.0,0.0,2.0
Cambridgeshire,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cambridgeshire,Other,Other / improvised,103.0,10.0,8.0,336.0,0.0,457.0
Cambridgeshire,Not reported,*Total Not reported,3.0,0.0,0.0,25.0,0.0,28.0
Cambridgeshire,Tactical communication,Tactical communication,808.0,35.0,45.0,3085.0,0.0,3973.0
Cheshire,Total (excluding not reported and tactical communication),*Total Tactics,761.0,122.0,69.0,10968.0,0.0,11920.0
Cheshire,Restraint,*Total Restraint,549.0,88.0,54.0,8214.0,0.0,8905.0
Cheshire,Restraint,"Handcuffing, of which",305.0,55.0,26.0,5489.0,0.0,5875.0
Cheshire,Restraint,Compliant handcuffing,133.0,30.0,10.0,3554.0,0.0,3727.0
Cheshire,Restraint,Non-compliant handcuffing,172.0,25.0,16.0,1935.0,0.0,2148.0
Cheshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Restraint,Limb / Body restraints,41.0,4.0,7.0,264.0,0.0,316.0
Cheshire,Restraint,Ground restraint,203.0,29.0,21.0,2461.0,0.0,2714.0
Cheshire,Unarmed skills,*Total Unarmed skills,108.0,19.0,9.0,1461.0,0.0,1597.0
Cheshire,Other equipment,*Total Other equipment,42.0,9.0,5.0,839.0,0.0,895.0
Cheshire,Other equipment,"Baton, of which",2.0,0.0,0.0,42.0,0.0,44.0
Cheshire,Other equipment,Baton drawn,2.0,0.0,0.0,29.0,0.0,31.0
Cheshire,Other equipment,Baton used,0.0,0.0,0.0,13.0,0.0,13.0
Cheshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,"Irritant spray, of which",35.0,6.0,4.0,723.0,0.0,768.0
Cheshire,Other equipment,Irritant spray - drawn,13.0,2.0,2.0,264.0,0.0,281.0
Cheshire,Other equipment,Irritant spray - used,22.0,4.0,2.0,459.0,0.0,487.0
Cheshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other equipment,Spit and bite guard,5.0,3.0,1.0,73.0,0.0,82.0
Cheshire,Other equipment,Shield,0.0,0.0,0.0,1.0,0.0,1.0
Cheshire,Less lethal weapons,*Total Less lethal weapons,60.0,6.0,1.0,420.0,0.0,487.0
Cheshire,Less lethal weapons,CED of which,60.0,6.0,1.0,420.0,0.0,487.0
Cheshire,Less lethal weapons,CED non-discharge,48.0,6.0,1.0,386.0,0.0,441.0
Cheshire,Less lethal weapons,CED discharge,12.0,0.0,0.0,34.0,0.0,46.0
Cheshire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Firearms,*Total Firearms,2.0,0.0,0.0,4.0,0.0,6.0
Cheshire,Other,*Total Other,0.0,0.0,0.0,30.0,0.0,30.0
Cheshire,Other,"Dog use, of which",0.0,0.0,0.0,30.0,0.0,30.0
Cheshire,Other,Dog deployed,0.0,0.0,0.0,24.0,0.0,24.0
Cheshire,Other,Dog bite,0.0,0.0,0.0,6.0,0.0,6.0
Cheshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Other,Other / improvised,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,Not reported,*Total Not reported,0.0,0.0,0.0,1.0,0.0,1.0
Cheshire,Tactical communication,Tactical communication,333.0,60.0,25.0,4305.0,0.0,4723.0
City of London,Total (excluding not reported and tactical communication),*Total Tactics,528.0,6.0,9.0,3155.0,0.0,3698.0
City of London,Restraint,*Total Restraint,300.0,3.0,6.0,2089.0,0.0,2398.0
City of London,Restraint,"Handcuffing, of which",234.0,3.0,6.0,1911.0,0.0,2154.0
City of London,Restraint,Compliant handcuffing,57.0,2.0,2.0,967.0,0.0,1028.0
City of London,Restraint,Non-compliant handcuffing,177.0,1.0,4.0,944.0,0.0,1126.0
City of London,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Restraint,Limb / Body restraints,22.0,0.0,0.0,68.0,0.0,90.0
City of London,Restraint,Ground restraint,44.0,0.0,0.0,110.0,0.0,154.0
City of London,Unarmed skills,*Total Unarmed skills,174.0,1.0,2.0,693.0,0.0,870.0
City of London,Other equipment,*Total Other equipment,14.0,0.0,0.0,122.0,0.0,136.0
City of London,Other equipment,"Baton, of which",0.0,0.0,0.0,38.0,0.0,38.0
City of London,Other equipment,Baton drawn,0.0,0.0,0.0,27.0,0.0,27.0
City of London,Other equipment,Baton used,0.0,0.0,0.0,11.0,0.0,11.0
City of London,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,"Irritant spray, of which",5.0,0.0,0.0,70.0,0.0,75.0
City of London,Other equipment,Irritant spray - drawn,3.0,0.0,0.0,53.0,0.0,56.0
City of London,Other equipment,Irritant spray - used,2.0,0.0,0.0,17.0,0.0,19.0
City of London,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other equipment,Spit and bite guard,8.0,0.0,0.0,11.0,0.0,19.0
City of London,Other equipment,Shield,1.0,0.0,0.0,3.0,0.0,4.0
City of London,Less lethal weapons,*Total Less lethal weapons,15.0,0.0,0.0,119.0,0.0,134.0
City of London,Less lethal weapons,CED of which,15.0,0.0,0.0,119.0,0.0,134.0
City of London,Less lethal weapons,CED non-discharge,14.0,0.0,0.0,114.0,0.0,128.0
City of London,Less lethal weapons,CED discharge,1.0,0.0,0.0,5.0,0.0,6.0
City of London,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Firearms,*Total Firearms,5.0,0.0,0.0,42.0,0.0,47.0
City of London,Other,*Total Other,20.0,2.0,1.0,90.0,0.0,113.0
City of London,Other,"Dog use, of which",0.0,0.0,0.0,15.0,0.0,15.0
City of London,Other,Dog deployed,0.0,0.0,0.0,13.0,0.0,13.0
City of London,Other,Dog bite,0.0,0.0,0.0,2.0,0.0,2.0
City of London,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Other,Other / improvised,20.0,2.0,1.0,75.0,0.0,98.0
City of London,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
City of London,Tactical communication,Tactical communication,278.0,4.0,5.0,1494.0,0.0,1781.0
Cleveland,Total (excluding not reported and tactical communication),*Total Tactics,492.0,148.0,16.0,2063.0,9219.0,11938.0
Cleveland,Restraint,*Total Restraint,410.0,126.0,11.0,1710.0,7992.0,10249.0
Cleveland,Restraint,"Handcuffing, of which",397.0,125.0,11.0,1548.0,7992.0,10073.0
Cleveland,Restraint,Compliant handcuffing,10.0,1.0,0.0,272.0,0.0,283.0
Cleveland,Restraint,Non-compliant handcuffing,12.0,1.0,1.0,128.0,0.0,142.0
Cleveland,Restraint,Handcuffing not stated,375.0,123.0,10.0,1148.0,7992.0,9648.0
Cleveland,Restraint,Limb / Body restraints,0.0,1.0,0.0,17.0,0.0,18.0
Cleveland,Restraint,Ground restraint,13.0,0.0,0.0,145.0,0.0,158.0
Cleveland,Unarmed skills,*Total Unarmed skills,30.0,7.0,0.0,199.0,332.0,568.0
Cleveland,Other equipment,*Total Other equipment,16.0,5.0,1.0,50.0,194.0,266.0
Cleveland,Other equipment,"Baton, of which",5.0,2.0,0.0,12.0,62.0,81.0
Cleveland,Other equipment,Baton drawn,0.0,0.0,0.0,3.0,0.0,3.0
Cleveland,Other equipment,Baton used,0.0,0.0,0.0,3.0,0.0,3.0
Cleveland,Other equipment,Baton not stated,5.0,2.0,0.0,6.0,62.0,75.0
Cleveland,Other equipment,"Irritant spray, of which",10.0,3.0,1.0,34.0,132.0,180.0
Cleveland,Other equipment,Irritant spray - drawn,2.0,1.0,1.0,11.0,18.0,33.0
Cleveland,Other equipment,Irritant spray - used,8.0,2.0,0.0,23.0,106.0,139.0
Cleveland,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,8.0,8.0
Cleveland,Other equipment,Spit and bite guard,1.0,0.0,0.0,3.0,0.0,4.0
Cleveland,Other equipment,Shield,0.0,0.0,0.0,1.0,0.0,1.0
Cleveland,Less lethal weapons,*Total Less lethal weapons,11.0,1.0,1.0,48.0,270.0,331.0
Cleveland,Less lethal weapons,CED of which,11.0,1.0,1.0,47.0,270.0,330.0
Cleveland,Less lethal weapons,CED non-discharge,9.0,1.0,1.0,46.0,245.0,302.0
Cleveland,Less lethal weapons,CED discharge,2.0,0.0,0.0,1.0,18.0,21.0
Cleveland,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,7.0,7.0
Cleveland,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,1.0,0.0,1.0
Cleveland,Less lethal weapons,AEP drawn,0.0,0.0,0.0,1.0,0.0,1.0
Cleveland,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Firearms,*Total Firearms,5.0,0.0,0.0,6.0,63.0,74.0
Cleveland,Other,*Total Other,20.0,9.0,3.0,50.0,368.0,450.0
Cleveland,Other,"Dog use, of which",1.0,0.0,0.0,8.0,26.0,35.0
Cleveland,Other,Dog deployed,0.0,0.0,0.0,4.0,0.0,4.0
Cleveland,Other,Dog bite,0.0,0.0,0.0,2.0,0.0,2.0
Cleveland,Other,Dog not stated,1.0,0.0,0.0,2.0,26.0,29.0
Cleveland,Other,Other / improvised,19.0,9.0,3.0,42.0,342.0,415.0
Cleveland,Not reported,*Total Not reported,2.0,2.0,0.0,23.0,189.0,216.0
Cleveland,Tactical communication,Tactical communication,103.0,31.0,4.0,607.0,1404.0,2149.0
Cumbria,Total (excluding not reported and tactical communication),*Total Tactics,2541.0,36.0,56.0,4132.0,0.0,6765.0
Cumbria,Restraint,*Total Restraint,1380.0,14.0,29.0,2323.0,0.0,3746.0
Cumbria,Restraint,"Handcuffing, of which",961.0,13.0,24.0,1760.0,0.0,2758.0
Cumbria,Restraint,Compliant handcuffing,283.0,4.0,6.0,774.0,0.0,1067.0
Cumbria,Restraint,Non-compliant handcuffing,678.0,9.0,18.0,986.0,0.0,1691.0
Cumbria,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Restraint,Limb / Body restraints,92.0,0.0,2.0,68.0,0.0,162.0
Cumbria,Restraint,Ground restraint,327.0,1.0,3.0,495.0,0.0,826.0
Cumbria,Unarmed skills,*Total Unarmed skills,732.0,9.0,22.0,1114.0,0.0,1877.0
Cumbria,Other equipment,*Total Other equipment,201.0,7.0,2.0,350.0,0.0,560.0
Cumbria,Other equipment,"Baton, of which",10.0,0.0,0.0,14.0,0.0,24.0
Cumbria,Other equipment,Baton drawn,7.0,0.0,0.0,8.0,0.0,15.0
Cumbria,Other equipment,Baton used,3.0,0.0,0.0,6.0,0.0,9.0
Cumbria,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,"Irritant spray, of which",160.0,7.0,2.0,301.0,0.0,470.0
Cumbria,Other equipment,Irritant spray - drawn,65.0,4.0,1.0,95.0,0.0,165.0
Cumbria,Other equipment,Irritant spray - used,95.0,3.0,1.0,206.0,0.0,305.0
Cumbria,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,Spit and bite guard,28.0,0.0,0.0,33.0,0.0,61.0
Cumbria,Other equipment,Shield,3.0,0.0,0.0,2.0,0.0,5.0
Cumbria,Less lethal weapons,*Total Less lethal weapons,125.0,3.0,0.0,188.0,0.0,316.0
Cumbria,Less lethal weapons,CED of which,125.0,3.0,0.0,187.0,0.0,315.0
Cumbria,Less lethal weapons,CED non-discharge,113.0,2.0,0.0,169.0,0.0,284.0
Cumbria,Less lethal weapons,CED discharge,12.0,1.0,0.0,16.0,0.0,29.0
Cumbria,Less lethal weapons,CED not stated,0.0,0.0,0.0,2.0,0.0,2.0
Cumbria,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,1.0,0.0,1.0
Cumbria,Less lethal weapons,AEP drawn,0.0,0.0,0.0,1.0,0.0,1.0
Cumbria,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Firearms,*Total Firearms,4.0,0.0,0.0,6.0,0.0,10.0
Cumbria,Other,*Total Other,99.0,3.0,3.0,151.0,0.0,256.0
Cumbria,Other,"Dog use, of which",5.0,0.0,0.0,16.0,0.0,21.0
Cumbria,Other,Dog deployed,5.0,0.0,0.0,15.0,0.0,20.0
Cumbria,Other,Dog bite,0.0,0.0,0.0,1.0,0.0,1.0
Cumbria,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other,Other / improvised,94.0,3.0,3.0,135.0,0.0,235.0
Cumbria,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
