Total discharge,Total non-discharge,Not stated,Total,ytd,Police force,Drawn,Aimed,Red-dot,Arced,Drive stun,Fired,Angled drive stun
24.0,160.0,125.0,309.0,2019-03-31,Wiltshire,40.0,7.0,109.0,4.0,2.0,21.0,1.0
22.0,199.0,0.0,221.0,2019-03-31,Dyfed-Powys,64.0,6.0,129.0,0.0,0.0,22.0,0.0
13.0,138.0,20.0,171.0,2019-03-31,Gwent,56.0,56.0,23.0,3.0,0.0,13.0,0.0
15.0,115.0,0.0,130.0,2019-03-31,North Wales,26.0,22.0,67.0,0.0,0.0,14.0,1.0
55.0,300.0,112.0,467.0,2019-03-31,South Wales,61.0,25.0,205.0,9.0,2.0,53.0,0.0
21.0,167.0,3.0,191.0,2018-03-31,Cleveland,43.0,86.0,38.0,0.0,0.0,21.0,0.0
48.0,176.0,12.0,236.0,2018-03-31,Durham,21.0,20.0,135.0,0.0,2.0,46.0,0.0
20.0,101.0,4.0,125.0,2018-03-31,Northumbria,30.0,9.0,58.0,4.0,0.0,20.0,0.0
12.0,176.0,0.0,188.0,2018-03-31,Cheshire,48.0,14.0,114.0,0.0,0.0,12.0,0.0
23.0,148.0,0.0,171.0,2018-03-31,Cumbria,53.0,14.0,80.0,1.0,1.0,22.0,0.0
188.0,642.0,2.0,832.0,2018-03-31,Greater Manchester,149.0,70.0,413.0,10.0,6.0,172.0,10.0
51.0,202.0,50.0,303.0,2018-03-31,Lancashire,62.0,18.0,120.0,2.0,0.0,51.0,0.0
32.0,183.0,2.0,217.0,2018-03-31,Merseyside,46.0,26.0,111.0,0.0,1.0,29.0,2.0
49.0,294.0,0.0,343.0,2018-03-31,Humberside,49.0,36.0,205.0,4.0,3.0,40.0,6.0
48.0,187.0,3.0,238.0,2018-03-31,North Yorkshire,61.0,14.0,112.0,0.0,0.0,48.0,0.0
75.0,376.0,0.0,451.0,2018-03-31,South Yorkshire,103.0,22.0,251.0,0.0,3.0,70.0,2.0
60.0,365.0,0.0,425.0,2018-03-31,West Yorkshire,89.0,23.0,252.0,1.0,0.0,60.0,0.0
4.0,64.0,0.0,68.0,2018-03-31,Derbyshire,18.0,14.0,29.0,3.0,0.0,4.0,0.0
22.0,220.0,0.0,242.0,2018-03-31,Leicestershire,68.0,7.0,138.0,7.0,0.0,20.0,2.0
41.0,246.0,0.0,287.0,2018-03-31,Lincolnshire,78.0,22.0,146.0,0.0,1.0,40.0,0.0
8.0,175.0,0.0,183.0,2018-03-31,Northamptonshire,63.0,8.0,100.0,4.0,0.0,8.0,0.0
37.0,239.0,0.0,276.0,2018-03-31,Nottinghamshire,59.0,9.0,169.0,2.0,2.0,33.0,2.0
25.0,264.0,0.0,289.0,2018-03-31,Staffordshire,89.0,34.0,137.0,4.0,0.0,25.0,0.0
12.0,149.0,0.0,161.0,2018-03-31,Warwickshire,42.0,12.0,94.0,1.0,0.0,12.0,0.0
18.0,265.0,0.0,283.0,2018-03-31,West Mercia,96.0,15.0,153.0,1.0,0.0,18.0,0.0
146.0,604.0,0.0,750.0,2018-03-31,West Midlands,96.0,76.0,420.0,12.0,1.0,145.0,0.0
26.0,118.0,3.0,147.0,2018-03-31,Bedfordshire,23.0,12.0,83.0,0.0,1.0,23.0,2.0
18.0,129.0,2.0,149.0,2018-03-31,Cambridgeshire,19.0,12.0,98.0,0.0,0.0,16.0,2.0
22.0,246.0,0.0,268.0,2018-03-31,Essex,56.0,26.0,164.0,0.0,1.0,21.0,0.0
14.0,195.0,3.0,212.0,2018-03-31,Hertfordshire,46.0,14.0,133.0,2.0,0.0,14.0,0.0
31.0,252.0,89.0,372.0,2018-03-31,Norfolk,98.0,17.0,131.0,6.0,1.0,27.0,3.0
13.0,167.0,68.0,248.0,2018-03-31,Suffolk,62.0,13.0,89.0,3.0,0.0,13.0,0.0
6.0,70.0,0.0,76.0,2018-03-31,City of London,26.0,5.0,39.0,0.0,1.0,5.0,0.0
428.0,4523.0,0.0,4951.0,2018-03-31,Metropolitan,1490.0,569.0,2443.0,21.0,17.0,383.0,28.0
0.0,6.0,152.0,158.0,2018-03-31,Hampshire,3.0,0.0,3.0,0.0,0.0,0.0,0.0
38.0,337.0,100.0,475.0,2018-03-31,Kent,135.0,31.0,169.0,2.0,0.0,35.0,3.0
30.0,158.0,0.0,188.0,2018-03-31,Surrey,60.0,15.0,83.0,0.0,5.0,25.0,0.0
53.0,511.0,0.0,564.0,2018-03-31,Sussex,220.0,53.0,237.0,1.0,5.0,48.0,0.0
62.0,457.0,0.0,519.0,2018-03-31,Thames Valley,170.0,30.0,251.0,6.0,2.0,60.0,0.0
83.0,557.0,3.0,643.0,2018-03-31,Avon & Somerset,131.0,42.0,381.0,3.0,6.0,74.0,3.0
60.0,459.0,66.0,585.0,2018-03-31,Devon & Cornwall,128.0,34.0,293.0,4.0,0.0,59.0,1.0
21.0,97.0,0.0,118.0,2018-03-31,Dorset,16.0,12.0,69.0,0.0,0.0,21.0,0.0
19.0,87.0,14.0,120.0,2018-03-31,Gloucestershire,12.0,11.0,58.0,6.0,0.0,19.0,0.0
28.0,136.0,0.0,164.0,2018-03-31,Wiltshire,38.0,4.0,92.0,2.0,2.0,26.0,0.0
15.0,126.0,0.0,141.0,2018-03-31,Dyfed-Powys,23.0,43.0,60.0,0.0,0.0,15.0,0.0
13.0,59.0,0.0,72.0,2018-03-31,Gwent,23.0,8.0,22.0,6.0,0.0,12.0,1.0
12.0,122.0,0.0,134.0,2018-03-31,North Wales,54.0,11.0,55.0,2.0,0.0,11.0,1.0
19.0,227.0,104.0,350.0,2018-03-31,South Wales,54.0,21.0,144.0,8.0,0.0,18.0,1.0
16.0,59.0,0.0,75.0,2016-12-31,Cleveland,11.0,5.0,42.0,1.0,0.0,16.0,0.0
36.0,198.0,0.0,234.0,2016-12-31,Durham,34.0,8.0,156.0,0.0,2.0,34.0,0.0
14.0,21.0,0.0,35.0,2016-12-31,Northumbria,9.0,0.0,12.0,0.0,0.0,14.0,0.0
17.0,213.0,2.0,232.0,2016-12-31,Cheshire,82.0,12.0,117.0,2.0,1.0,16.0,0.0
18.0,96.0,0.0,114.0,2016-12-31,Cumbria,28.0,2.0,65.0,1.0,2.0,16.0,0.0
223.0,576.0,0.0,799.0,2016-12-31,Greater Manchester,142.0,36.0,395.0,3.0,25.0,190.0,8.0
36.0,115.0,0.0,151.0,2016-12-31,Lancashire,26.0,7.0,82.0,0.0,0.0,36.0,0.0
25.0,144.0,0.0,169.0,2016-12-31,Merseyside,30.0,15.0,98.0,1.0,2.0,23.0,0.0
74.0,206.0,0.0,280.0,2016-12-31,Humberside,34.0,9.0,160.0,3.0,0.0,66.0,8.0
39.0,123.0,0.0,162.0,2016-12-31,North Yorkshire,32.0,10.0,81.0,0.0,0.0,37.0,2.0
55.0,225.0,0.0,280.0,2016-12-31,South Yorkshire,36.0,16.0,173.0,0.0,1.0,50.0,4.0
78.0,194.0,0.0,272.0,2016-12-31,West Yorkshire,32.0,16.0,144.0,2.0,7.0,68.0,3.0
14.0,61.0,0.0,75.0,2016-12-31,Derbyshire,30.0,3.0,28.0,0.0,0.0,14.0,0.0
12.0,78.0,0.0,90.0,2016-12-31,Leicestershire,13.0,6.0,51.0,8.0,1.0,10.0,1.0
27.0,185.0,0.0,212.0,2016-12-31,Lincolnshire,86.0,4.0,94.0,1.0,2.0,24.0,1.0
8.0,97.0,0.0,105.0,2016-12-31,Northamptonshire,16.0,4.0,77.0,0.0,0.0,8.0,0.0
10.0,65.0,0.0,75.0,2016-12-31,Nottinghamshire,18.0,2.0,45.0,0.0,0.0,10.0,0.0
27.0,278.0,0.0,305.0,2016-12-31,Staffordshire,108.0,30.0,137.0,3.0,0.0,27.0,0.0
24.0,77.0,0.0,101.0,2016-12-31,Warwickshire,26.0,8.0,42.0,1.0,1.0,23.0,0.0
25.0,235.0,0.0,260.0,2016-12-31,West Mercia,74.0,13.0,148.0,0.0,0.0,25.0,0.0
171.0,690.0,0.0,861.0,2016-12-31,West Midlands,186.0,64.0,426.0,14.0,5.0,165.0,1.0
21.0,86.0,0.0,107.0,2016-12-31,Bedfordshire,18.0,4.0,64.0,0.0,0.0,20.0,1.0
10.0,83.0,0.0,93.0,2016-12-31,Cambridgeshire,23.0,7.0,52.0,1.0,0.0,9.0,1.0
48.0,159.0,0.0,207.0,2016-12-31,Essex,43.0,10.0,105.0,1.0,0.0,47.0,1.0
14.0,100.0,0.0,114.0,2016-12-31,Hertfordshire,36.0,11.0,53.0,0.0,0.0,14.0,0.0
23.0,152.0,0.0,175.0,2016-12-31,Norfolk,54.0,8.0,87.0,3.0,0.0,22.0,1.0
16.0,138.0,0.0,154.0,2016-12-31,Suffolk,40.0,15.0,81.0,2.0,0.0,16.0,0.0
1.0,34.0,0.0,35.0,2016-12-31,City of London,10.0,3.0,19.0,2.0,0.0,1.0,0.0
261.0,1811.0,0.0,2072.0,2016-12-31,Metropolitan,673.0,180.0,954.0,4.0,6.0,245.0,10.0
53.0,235.0,0.0,288.0,2016-12-31,Hampshire,76.0,20.0,136.0,3.0,2.0,50.0,1.0
37.0,270.0,0.0,307.0,2016-12-31,Kent,111.0,23.0,135.0,1.0,1.0,33.0,3.0
16.0,107.0,0.0,123.0,2016-12-31,Surrey,33.0,7.0,67.0,0.0,3.0,13.0,0.0
29.0,334.0,0.0,363.0,2016-12-31,Sussex,144.0,33.0,157.0,0.0,5.0,24.0,0.0
49.0,378.0,0.0,427.0,2016-12-31,Thames Valley,125.0,26.0,223.0,4.0,4.0,43.0,2.0
96.0,509.0,3.0,608.0,2016-12-31,Avon & Somerset,140.0,34.0,318.0,17.0,10.0,85.0,1.0
63.0,247.0,0.0,310.0,2016-12-31,Devon & Cornwall,54.0,8.0,185.0,0.0,3.0,59.0,1.0
20.0,111.0,0.0,131.0,2016-12-31,Dorset,20.0,15.0,76.0,0.0,0.0,20.0,0.0
33.0,57.0,0.0,90.0,2016-12-31,Gloucestershire,11.0,2.0,44.0,0.0,2.0,28.0,3.0
40.0,145.0,0.0,185.0,2016-12-31,Wiltshire,31.0,10.0,101.0,3.0,3.0,32.0,5.0
28.0,107.0,0.0,135.0,2016-12-31,Dyfed-Powys,28.0,4.0,75.0,0.0,0.0,27.0,1.0
24.0,106.0,0.0,130.0,2016-12-31,Gwent,35.0,8.0,63.0,0.0,1.0,22.0,1.0
29.0,104.0,0.0,133.0,2016-12-31,North Wales,30.0,13.0,58.0,3.0,2.0,27.0,0.0
45.0,184.0,0.0,229.0,2016-12-31,South Wales,44.0,7.0,129.0,4.0,6.0,39.0,0.0
14.0,47.0,0.0,61.0,2015-12-31,Cleveland,11.0,2.0,34.0,0.0,2.0,12.0,0.0
28.0,88.0,0.0,116.0,2015-12-31,Durham,14.0,2.0,70.0,2.0,2.0,26.0,0.0
26.0,65.0,0.0,91.0,2015-12-31,Northumbria,31.0,5.0,29.0,0.0,0.0,26.0,0.0
14.0,126.0,0.0,140.0,2015-12-31,Cheshire,25.0,8.0,91.0,2.0,0.0,14.0,0.0
12.0,78.0,0.0,90.0,2015-12-31,Cumbria,14.0,1.0,62.0,1.0,0.0,12.0,0.0
232.0,547.0,0.0,779.0,2015-12-31,Greater Manchester,140.0,24.0,381.0,2.0,16.0,199.0,17.0
35.0,110.0,0.0,145.0,2015-12-31,Lancashire,16.0,10.0,82.0,2.0,2.0,33.0,0.0
23.0,155.0,0.0,178.0,2015-12-31,Merseyside,51.0,10.0,94.0,0.0,1.0,22.0,0.0
64.0,217.0,0.0,281.0,2015-12-31,Humberside,33.0,20.0,160.0,4.0,5.0,48.0,11.0
31.0,119.0,0.0,150.0,2015-12-31,North Yorkshire,26.0,4.0,89.0,0.0,4.0,26.0,1.0
35.0,67.0,0.0,102.0,2015-12-31,South Yorkshire,7.0,3.0,57.0,0.0,0.0,33.0,2.0
78.0,192.0,0.0,270.0,2015-12-31,West Yorkshire,33.0,17.0,140.0,2.0,2.0,71.0,5.0
14.0,73.0,0.0,87.0,2015-12-31,Derbyshire,25.0,5.0,41.0,2.0,0.0,14.0,0.0
16.0,87.0,0.0,103.0,2015-12-31,Leicestershire,11.0,6.0,53.0,17.0,1.0,13.0,2.0
47.0,257.0,0.0,304.0,2015-12-31,Lincolnshire,96.0,9.0,148.0,4.0,6.0,40.0,1.0
11.0,90.0,0.0,101.0,2015-12-31,Northamptonshire,25.0,3.0,62.0,0.0,1.0,10.0,0.0
9.0,68.0,0.0,77.0,2015-12-31,Nottinghamshire,13.0,2.0,53.0,0.0,0.0,9.0,0.0
300.0,1172.0,0.0,1472.0,2015-12-31,West Midlands,298.0,109.0,742.0,23.0,7.0,275.0,18.0
34.0,251.0,0.0,285.0,2015-12-31,Staffordshire,83.0,30.0,138.0,0.0,0.0,32.0,2.0
22.0,87.0,0.0,109.0,2015-12-31,Warwickshire,23.0,1.0,58.0,5.0,1.0,19.0,2.0
21.0,143.0,0.0,164.0,2015-12-31,West Mercia,34.0,11.0,97.0,1.0,0.0,19.0,2.0
223.0,691.0,0.0,914.0,2015-12-31,West Midlands,158.0,67.0,449.0,17.0,6.0,205.0,12.0
17.0,55.0,0.0,72.0,2015-12-31,Bedfordshire,24.0,6.0,25.0,0.0,2.0,15.0,0.0
17.0,55.0,0.0,72.0,2015-12-31,Cambridgeshire,13.0,3.0,39.0,0.0,0.0,17.0,0.0
28.0,124.0,0.0,152.0,2015-12-31,Essex,22.0,14.0,88.0,0.0,1.0,26.0,1.0
8.0,51.0,0.0,59.0,2015-12-31,Hertfordshire,16.0,2.0,33.0,0.0,0.0,7.0,1.0
24.0,104.0,0.0,128.0,2015-12-31,Norfolk,35.0,8.0,58.0,3.0,0.0,23.0,1.0
15.0,114.0,0.0,129.0,2015-12-31,Suffolk,51.0,6.0,57.0,0.0,1.0,13.0,1.0
3.0,32.0,0.0,35.0,2015-12-31,City of London,9.0,3.0,19.0,1.0,1.0,2.0,0.0
238.0,1716.0,0.0,1954.0,2015-12-31,Metropolitan,652.0,177.0,876.0,11.0,3.0,226.0,9.0
34.0,232.0,0.0,266.0,2015-12-31,Hampshire,70.0,25.0,133.0,4.0,1.0,33.0,0.0
42.0,234.0,0.0,276.0,2015-12-31,Kent,105.0,22.0,105.0,2.0,1.0,39.0,2.0
47.0,99.0,0.0,146.0,2015-12-31,Surrey,22.0,6.0,70.0,1.0,9.0,37.0,1.0
46.0,208.0,0.0,254.0,2015-12-31,Sussex,111.0,12.0,84.0,1.0,9.0,34.0,3.0
61.0,295.0,0.0,356.0,2015-12-31,Thames Valley,91.0,14.0,190.0,0.0,4.0,56.0,1.0
110.0,547.0,3.0,660.0,2015-12-31,Avon & Somerset,131.0,28.0,374.0,14.0,10.0,99.0,1.0
65.0,218.0,0.0,283.0,2015-12-31,Devon & Cornwall,53.0,14.0,151.0,0.0,2.0,62.0,1.0
11.0,67.0,0.0,78.0,2015-12-31,Dorset,8.0,5.0,54.0,0.0,0.0,10.0,1.0
15.0,68.0,0.0,83.0,2015-12-31,Gloucestershire,10.0,1.0,57.0,0.0,1.0,14.0,0.0
25.0,161.0,0.0,186.0,2015-12-31,Wiltshire,31.0,11.0,117.0,2.0,0.0,21.0,4.0
16.0,73.0,0.0,89.0,2015-12-31,Dyfed-Powys,27.0,2.0,44.0,0.0,2.0,14.0,0.0
15.0,85.0,0.0,100.0,2015-12-31,Gwent,28.0,8.0,49.0,0.0,0.0,15.0,0.0
30.0,111.0,0.0,141.0,2015-12-31,North Wales,21.0,13.0,77.0,0.0,3.0,27.0,0.0
64.0,260.0,0.0,324.0,2015-12-31,South Wales,58.0,10.0,186.0,6.0,5.0,56.0,3.0
