Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
"Handcuffing, of which",Devon & Cornwall,Restraint,Total: Handcuffing,White,7211.0
Compliant handcuffing,Devon & Cornwall,Restraint,Handcuffing: compliant,White,2950.0
Non-compliant handcuffing,Devon & Cornwall,Restraint,Handcuffing: non-compliant,White,4261.0
Handcuffing not stated,Devon & Cornwall,,,White,0.0
Limb / Body restraints,Devon & Cornwall,Restraint,Limb / body restraints,White,621.0
Ground restraint,Devon & Cornwall,Restraint,Ground restraint,White,2321.0
*Total Unarmed skills,Devon & Cornwall,Unarmed skills,Total: unarmed skills,White,4682.0
*Total Other equipment,Devon & Cornwall,Other equipment,Total: Other equipment,White,671.0
"Baton, of which",Devon & Cornwall,Other equipment,Total: Baton,White,33.0
Baton drawn,Devon & Cornwall,Other equipment,Baton: drawn,White,21.0
Baton used,Devon & Cornwall,Other equipment,Baton: used,White,12.0
Baton not stated,Devon & Cornwall,,,White,0.0
"Irritant spray, of which",Devon & Cornwall,Other equipment,Total: Irritant spray,White,331.0
Irritant spray - drawn,Devon & Cornwall,Other equipment,Irritant spray: drawn,White,144.0
Irritant spray - used,Devon & Cornwall,Other equipment,Irritant spray: used,White,187.0
Irritant spray not stated,Devon & Cornwall,,,White,0.0
Spit and bite guard,Devon & Cornwall,Other equipment,Spit and bite guard,White,287.0
Shield,Devon & Cornwall,Other equipment,Shield,White,20.0
*Total Less lethal weapons,Devon & Cornwall,Less lethal weapons,Total: Less lethal weapons,White,679.0
CED of which,Devon & Cornwall,,,White,663.0
CED non-discharge,Devon & Cornwall,,,White,563.0
CED discharge,Devon & Cornwall,,,White,83.0
CED not stated,Devon & Cornwall,,,White,17.0
"AEP, of which",Devon & Cornwall,Less lethal weapons,Total: AEP,White,16.0
AEP drawn,Devon & Cornwall,,,White,14.0
AEP used,Devon & Cornwall,,,White,2.0
AEP not stated,Devon & Cornwall,,,White,0.0
*Total Firearms,Devon & Cornwall,Firearms,Total: Firearms,White,52.0
*Total Other,Devon & Cornwall,Other,Total: Other,White,244.0
"Dog use, of which",Devon & Cornwall,Other,Total: Dog,White,20.0
Dog deployed,Devon & Cornwall,Other,Dog: deployed,White,12.0
Dog bite,Devon & Cornwall,Other,Dog: bite,White,8.0
Dog not stated,Devon & Cornwall,,,White,0.0
Other / improvised,Devon & Cornwall,Other,Other / improvised,White,224.0
*Total Not reported,Devon & Cornwall,Not reported,Total: Not reported,White,0.0
Tactical communication,Devon & Cornwall,Excluded: Tactical Communication,Tactical Communication,White,8603.0
*Total Tactics,Dorset,Total,Total: all,White,11240.0
*Total Restraint,Dorset,Restraint,Total: Restraint,White,8704.0
"Handcuffing, of which",Dorset,Restraint,Total: Handcuffing,White,5834.0
Compliant handcuffing,Dorset,Restraint,Handcuffing: compliant,White,1967.0
Non-compliant handcuffing,Dorset,Restraint,Handcuffing: non-compliant,White,3867.0
Handcuffing not stated,Dorset,,,White,0.0
Limb / Body restraints,Dorset,Restraint,Limb / body restraints,White,665.0
Ground restraint,Dorset,Restraint,Ground restraint,White,2205.0
*Total Unarmed skills,Dorset,Unarmed skills,Total: unarmed skills,White,1647.0
*Total Other equipment,Dorset,Other equipment,Total: Other equipment,White,461.0
"Baton, of which",Dorset,Other equipment,Total: Baton,White,35.0
Baton drawn,Dorset,Other equipment,Baton: drawn,White,24.0
Baton used,Dorset,Other equipment,Baton: used,White,11.0
Baton not stated,Dorset,,,White,0.0
"Irritant spray, of which",Dorset,Other equipment,Total: Irritant spray,White,273.0
Irritant spray - drawn,Dorset,Other equipment,Irritant spray: drawn,White,69.0
Irritant spray - used,Dorset,Other equipment,Irritant spray: used,White,204.0
Irritant spray not stated,Dorset,,,White,0.0
Spit and bite guard,Dorset,Other equipment,Spit and bite guard,White,150.0
Shield,Dorset,Other equipment,Shield,White,3.0
*Total Less lethal weapons,Dorset,Less lethal weapons,Total: Less lethal weapons,White,172.0
CED of which,Dorset,,,White,172.0
CED non-discharge,Dorset,,,White,153.0
CED discharge,Dorset,,,White,19.0
CED not stated,Dorset,,,White,0.0
"AEP, of which",Dorset,Less lethal weapons,Total: AEP,White,0.0
AEP drawn,Dorset,,,White,0.0
AEP used,Dorset,,,White,0.0
AEP not stated,Dorset,,,White,0.0
*Total Firearms,Dorset,Firearms,Total: Firearms,White,121.0
*Total Other,Dorset,Other,Total: Other,White,135.0
"Dog use, of which",Dorset,Other,Total: Dog,White,21.0
Dog deployed,Dorset,Other,Dog: deployed,White,19.0
Dog bite,Dorset,Other,Dog: bite,White,2.0
Dog not stated,Dorset,,,White,0.0
Other / improvised,Dorset,Other,Other / improvised,White,114.0
*Total Not reported,Dorset,Not reported,Total: Not reported,White,0.0
Tactical communication,Dorset,Excluded: Tactical Communication,Tactical Communication,White,280.0
*Total Tactics,Durham,Total,Total: all,White,9721.0
*Total Restraint,Durham,Restraint,Total: Restraint,White,6543.0
"Handcuffing, of which",Durham,Restraint,Total: Handcuffing,White,5386.0
Compliant handcuffing,Durham,Restraint,Handcuffing: compliant,White,4039.0
Non-compliant handcuffing,Durham,Restraint,Handcuffing: non-compliant,White,1347.0
Handcuffing not stated,Durham,,,White,0.0
Limb / Body restraints,Durham,Restraint,Limb / body restraints,White,118.0
Ground restraint,Durham,Restraint,Ground restraint,White,1039.0
*Total Unarmed skills,Durham,Unarmed skills,Total: unarmed skills,White,2266.0
*Total Other equipment,Durham,Other equipment,Total: Other equipment,White,288.0
"Baton, of which",Durham,Other equipment,Total: Baton,White,37.0
Baton drawn,Durham,Other equipment,Baton: drawn,White,17.0
Baton used,Durham,Other equipment,Baton: used,White,20.0
Baton not stated,Durham,,,White,0.0
"Irritant spray, of which",Durham,Other equipment,Total: Irritant spray,White,232.0
Irritant spray - drawn,Durham,Other equipment,Irritant spray: drawn,White,74.0
Irritant spray - used,Durham,Other equipment,Irritant spray: used,White,158.0
Irritant spray not stated,Durham,,,White,0.0
Spit and bite guard,Durham,Other equipment,Spit and bite guard,White,15.0
Shield,Durham,Other equipment,Shield,White,4.0
*Total Less lethal weapons,Durham,Less lethal weapons,Total: Less lethal weapons,White,350.0
CED of which,Durham,,,White,334.0
CED non-discharge,Durham,,,White,281.0
CED discharge,Durham,,,White,42.0
CED not stated,Durham,,,White,11.0
"AEP, of which",Durham,Less lethal weapons,Total: AEP,White,16.0
AEP drawn,Durham,,,White,15.0
AEP used,Durham,,,White,1.0
AEP not stated,Durham,,,White,0.0
*Total Firearms,Durham,Firearms,Total: Firearms,White,5.0
*Total Other,Durham,Other,Total: Other,White,269.0
"Dog use, of which",Durham,Other,Total: Dog,White,36.0
Dog deployed,Durham,Other,Dog: deployed,White,33.0
Dog bite,Durham,Other,Dog: bite,White,3.0
Dog not stated,Durham,,,White,0.0
Other / improvised,Durham,Other,Other / improvised,White,233.0
*Total Not reported,Durham,Not reported,Total: Not reported,White,0.0
Tactical communication,Durham,Excluded: Tactical Communication,Tactical Communication,White,1535.0
*Total Tactics,Dyfed-Powys,Total,Total: all,White,4890.0
*Total Restraint,Dyfed-Powys,Restraint,Total: Restraint,White,2696.0
"Handcuffing, of which",Dyfed-Powys,Restraint,Total: Handcuffing,White,2322.0
Compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: compliant,White,1319.0
Non-compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: non-compliant,White,1003.0
Handcuffing not stated,Dyfed-Powys,,,White,0.0
Limb / Body restraints,Dyfed-Powys,Restraint,Limb / body restraints,White,121.0
Ground restraint,Dyfed-Powys,Restraint,Ground restraint,White,253.0
*Total Unarmed skills,Dyfed-Powys,Unarmed skills,Total: unarmed skills,White,1525.0
*Total Other equipment,Dyfed-Powys,Other equipment,Total: Other equipment,White,150.0
"Baton, of which",Dyfed-Powys,Other equipment,Total: Baton,White,18.0
Baton drawn,Dyfed-Powys,Other equipment,Baton: drawn,White,13.0
Baton used,Dyfed-Powys,Other equipment,Baton: used,White,5.0
Baton not stated,Dyfed-Powys,,,White,0.0
"Irritant spray, of which",Dyfed-Powys,Other equipment,Total: Irritant spray,White,95.0
Irritant spray - drawn,Dyfed-Powys,Other equipment,Irritant spray: drawn,White,37.0
Irritant spray - used,Dyfed-Powys,Other equipment,Irritant spray: used,White,58.0
Irritant spray not stated,Dyfed-Powys,,,White,0.0
Spit and bite guard,Dyfed-Powys,Other equipment,Spit and bite guard,White,30.0
Shield,Dyfed-Powys,Other equipment,Shield,White,7.0
*Total Less lethal weapons,Dyfed-Powys,Less lethal weapons,Total: Less lethal weapons,White,283.0
CED of which,Dyfed-Powys,,,White,262.0
