Tactic,Police Force,Force type - Output,Tactic - Output,Disability,count
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,Mental,557.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,Mental,131.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,Mental,10.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,Mental,7.0
Baton used,Cambridgeshire,Other equipment,Baton: used,Mental,3.0
Not stated baton,Cambridgeshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,Mental,60.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,Mental,37.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,Mental,23.0
Not stated irritant spray,Cambridgeshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,Mental,38.0
Shield,Cambridgeshire,Other equipment,Shield,Mental,23.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,Mental,49.0
CED,Cambridgeshire,Less lethal weapons,CED,Mental,49.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,Cambridgeshire,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Cambridgeshire,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Cambridgeshire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,Mental,0.0
*Total Other,Cambridgeshire,Other,Total: Other,Mental,121.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,Mental,0.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,Mental,0.0
Dog bite,Cambridgeshire,Other,Dog: bite,Mental,0.0
Not stated dog,Cambridgeshire,Other,Dog: not stated,Mental,0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,Mental,121.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,Mental,6.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,Mental,905.0
*Total Tactics,Cheshire,Total,Total: all,Mental,1778.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,Mental,1285.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,Mental,734.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,Mental,352.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,Mental,382.0
Not stated handcuffing,Cheshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,Mental,93.0
Ground restraint,Cheshire,Restraint,Ground restraint,Mental,458.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,Mental,256.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,Mental,145.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,Mental,6.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,Mental,3.0
Baton used,Cheshire,Other equipment,Baton: used,Mental,3.0
Not stated baton,Cheshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,Mental,118.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,Mental,43.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,Mental,75.0
Not stated irritant spray,Cheshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,Mental,20.0
Shield,Cheshire,Other equipment,Shield,Mental,1.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,Mental,92.0
CED,Cheshire,Less lethal weapons,CED,Mental,92.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,Cheshire,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Cheshire,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Cheshire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,Mental,0.0
*Total Other,Cheshire,Other,Total: Other,Mental,0.0
"Dog use, of which",Cheshire,Other,Total: Dog,Mental,0.0
Dog deployed,Cheshire,Other,Dog: deployed,Mental,0.0
Dog bite,Cheshire,Other,Dog: bite,Mental,0.0
Not stated dog,Cheshire,Other,Dog: not stated,Mental,0.0
Other / improvised,Cheshire,Other,Other / improvised,Mental,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,Mental,1.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,Mental,726.0
*Total Tactics,City of London,Total,Total: all,Mental,442.0
*Total Restraint,City of London,Restraint,Total: Restraint,Mental,255.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,Mental,220.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,Mental,56.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,Mental,164.0
Not stated handcuffing,City of London,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,City of London,Restraint,Limb / body restraints,Mental,4.0
Ground restraint,City of London,Restraint,Ground restraint,Mental,31.0
*Total Unarmed skills,City of London,Unarmed skills,Total: unarmed skills,Mental,144.0
*Total Other equipment,City of London,Other equipment,Total: Other equipment,Mental,7.0
"Baton, of which",City of London,Other equipment,Total: Baton,Mental,1.0
Baton drawn,City of London,Other equipment,Baton: drawn,Mental,1.0
Baton used,City of London,Other equipment,Baton: used,Mental,0.0
Not stated baton,City of London,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",City of London,Other equipment,Total: Irritant spray,Mental,5.0
Irritant spray - drawn,City of London,Other equipment,Irritant spray: drawn,Mental,3.0
Irritant spray - used,City of London,Other equipment,Irritant spray: used,Mental,2.0
Not stated irritant spray,City of London,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,City of London,Other equipment,Spit and bite guard,Mental,0.0
Shield,City of London,Other equipment,Shield,Mental,1.0
*Total Less lethal weapons,City of London,Less lethal weapons,Total: Less lethal weapons,Mental,10.0
CED,City of London,Less lethal weapons,CED,Mental,10.0
"AEP, of which",City of London,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,City of London,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,City of London,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,City of London,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,City of London,Firearms,Total: Firearms,Mental,4.0
*Total Other,City of London,Other,Total: Other,Mental,22.0
"Dog use, of which",City of London,Other,Total: Dog,Mental,2.0
Dog deployed,City of London,Other,Dog: deployed,Mental,2.0
Dog bite,City of London,Other,Dog: bite,Mental,0.0
Not stated dog,City of London,Other,Dog: not stated,Mental,0.0
Other / improvised,City of London,Other,Other / improvised,Mental,20.0
*Total Not reported,City of London,Not reported,Total: Not reported,Mental,0.0
Tactical communication,City of London,Excluded: Tactical Communication,Tactical Communication,Mental,236.0
*Total Tactics,Cleveland,Total,Total: all,Mental,699.0
*Total Restraint,Cleveland,Restraint,Total: Restraint,Mental,468.0
"Handcuffing, of which",Cleveland,Restraint,Total: Handcuffing,Mental,323.0
Compliant handcuffing,Cleveland,Restraint,Handcuffing: compliant,Mental,162.0
Non-compliant handcuffing,Cleveland,Restraint,Handcuffing: non-compliant,Mental,161.0
Not stated handcuffing,Cleveland,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Cleveland,Restraint,Limb / body restraints,Mental,33.0
Ground restraint,Cleveland,Restraint,Ground restraint,Mental,112.0
*Total Unarmed skills,Cleveland,Unarmed skills,Total: unarmed skills,Mental,141.0
*Total Other equipment,Cleveland,Other equipment,Total: Other equipment,Mental,31.0
"Baton, of which",Cleveland,Other equipment,Total: Baton,Mental,10.0
Baton drawn,Cleveland,Other equipment,Baton: drawn,Mental,7.0
Baton used,Cleveland,Other equipment,Baton: used,Mental,3.0
Not stated baton,Cleveland,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Cleveland,Other equipment,Total: Irritant spray,Mental,19.0
Irritant spray - drawn,Cleveland,Other equipment,Irritant spray: drawn,Mental,12.0
Irritant spray - used,Cleveland,Other equipment,Irritant spray: used,Mental,7.0
Not stated irritant spray,Cleveland,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Cleveland,Other equipment,Spit and bite guard,Mental,0.0
Shield,Cleveland,Other equipment,Shield,Mental,2.0
*Total Less lethal weapons,Cleveland,Less lethal weapons,Total: Less lethal weapons,Mental,38.0
CED,Cleveland,Less lethal weapons,CED,Mental,36.0
"AEP, of which",Cleveland,Less lethal weapons,Total: AEP,Mental,2.0
AEP aimed,Cleveland,Less lethal weapons,AEP: Aimed,Mental,2.0
AEP fired,Cleveland,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Cleveland,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Cleveland,Firearms,Total: Firearms,Mental,0.0
*Total Other,Cleveland,Other,Total: Other,Mental,21.0
"Dog use, of which",Cleveland,Other,Total: Dog,Mental,0.0
Dog deployed,Cleveland,Other,Dog: deployed,Mental,0.0
Dog bite,Cleveland,Other,Dog: bite,Mental,0.0
Not stated dog,Cleveland,Other,Dog: not stated,Mental,0.0
Other / improvised,Cleveland,Other,Other / improvised,Mental,21.0
*Total Not reported,Cleveland,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Cleveland,Excluded: Tactical Communication,Tactical Communication,Mental,318.0
*Total Tactics,Cumbria,Total,Total: all,Mental,2175.0
*Total Restraint,Cumbria,Restraint,Total: Restraint,Mental,1208.0
"Handcuffing, of which",Cumbria,Restraint,Total: Handcuffing,Mental,869.0
Compliant handcuffing,Cumbria,Restraint,Handcuffing: compliant,Mental,327.0
Non-compliant handcuffing,Cumbria,Restraint,Handcuffing: non-compliant,Mental,542.0
Not stated handcuffing,Cumbria,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Cumbria,Restraint,Limb / body restraints,Mental,78.0
Ground restraint,Cumbria,Restraint,Ground restraint,Mental,261.0
*Total Unarmed skills,Cumbria,Unarmed skills,Total: unarmed skills,Mental,605.0
*Total Other equipment,Cumbria,Other equipment,Total: Other equipment,Mental,152.0
"Baton, of which",Cumbria,Other equipment,Total: Baton,Mental,7.0
Baton drawn,Cumbria,Other equipment,Baton: drawn,Mental,3.0
Baton used,Cumbria,Other equipment,Baton: used,Mental,4.0
Not stated baton,Cumbria,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Cumbria,Other equipment,Total: Irritant spray,Mental,134.0
Irritant spray - drawn,Cumbria,Other equipment,Irritant spray: drawn,Mental,56.0
Irritant spray - used,Cumbria,Other equipment,Irritant spray: used,Mental,78.0
Not stated irritant spray,Cumbria,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Cumbria,Other equipment,Spit and bite guard,Mental,8.0
Shield,Cumbria,Other equipment,Shield,Mental,3.0
*Total Less lethal weapons,Cumbria,Less lethal weapons,Total: Less lethal weapons,Mental,89.0
CED,Cumbria,Less lethal weapons,CED,Mental,89.0
"AEP, of which",Cumbria,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,Cumbria,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Cumbria,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Cumbria,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Cumbria,Firearms,Total: Firearms,Mental,0.0
*Total Other,Cumbria,Other,Total: Other,Mental,121.0
"Dog use, of which",Cumbria,Other,Total: Dog,Mental,6.0
Dog deployed,Cumbria,Other,Dog: deployed,Mental,6.0
Dog bite,Cumbria,Other,Dog: bite,Mental,0.0
Not stated dog,Cumbria,Other,Dog: not stated,Mental,0.0
Other / improvised,Cumbria,Other,Other / improvised,Mental,115.0
*Total Not reported,Cumbria,Not reported,Total: Not reported,Mental,3.0
Tactical communication,Cumbria,Excluded: Tactical Communication,Tactical Communication,Mental,978.0
*Total Tactics,Derbyshire,Total,Total: all,Mental,1745.0
*Total Restraint,Derbyshire,Restraint,Total: Restraint,Mental,886.0
"Handcuffing, of which",Derbyshire,Restraint,Total: Handcuffing,Mental,618.0
Compliant handcuffing,Derbyshire,Restraint,Handcuffing: compliant,Mental,223.0
Non-compliant handcuffing,Derbyshire,Restraint,Handcuffing: non-compliant,Mental,395.0
Not stated handcuffing,Derbyshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Derbyshire,Restraint,Limb / body restraints,Mental,126.0
Ground restraint,Derbyshire,Restraint,Ground restraint,Mental,142.0
*Total Unarmed skills,Derbyshire,Unarmed skills,Total: unarmed skills,Mental,527.0
*Total Other equipment,Derbyshire,Other equipment,Total: Other equipment,Mental,174.0
"Baton, of which",Derbyshire,Other equipment,Total: Baton,Mental,14.0
Baton drawn,Derbyshire,Other equipment,Baton: drawn,Mental,11.0
Baton used,Derbyshire,Other equipment,Baton: used,Mental,3.0
Not stated baton,Derbyshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Derbyshire,Other equipment,Total: Irritant spray,Mental,131.0
Irritant spray - drawn,Derbyshire,Other equipment,Irritant spray: drawn,Mental,65.0
Irritant spray - used,Derbyshire,Other equipment,Irritant spray: used,Mental,66.0
Not stated irritant spray,Derbyshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Derbyshire,Other equipment,Spit and bite guard,Mental,24.0
Shield,Derbyshire,Other equipment,Shield,Mental,5.0
*Total Less lethal weapons,Derbyshire,Less lethal weapons,Total: Less lethal weapons,Mental,73.0
CED,Derbyshire,Less lethal weapons,CED,Mental,68.0
"AEP, of which",Derbyshire,Less lethal weapons,Total: AEP,Mental,5.0
AEP aimed,Derbyshire,Less lethal weapons,AEP: Aimed,Mental,5.0
AEP fired,Derbyshire,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Derbyshire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Derbyshire,Firearms,Total: Firearms,Mental,6.0
*Total Other,Derbyshire,Other,Total: Other,Mental,79.0
"Dog use, of which",Derbyshire,Other,Total: Dog,Mental,2.0
Dog deployed,Derbyshire,Other,Dog: deployed,Mental,1.0
Dog bite,Derbyshire,Other,Dog: bite,Mental,1.0
Not stated dog,Derbyshire,Other,Dog: not stated,Mental,0.0
Other / improvised,Derbyshire,Other,Other / improvised,Mental,77.0
*Total Not reported,Derbyshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Derbyshire,Excluded: Tactical Communication,Tactical Communication,Mental,795.0
*Total Tactics,Devon & Cornwall ,Total,Total: all,Mental,3875.0
*Total Restraint,Devon & Cornwall ,Restraint,Total: Restraint,Mental,1937.0
"Handcuffing, of which",Devon & Cornwall ,Restraint,Total: Handcuffing,Mental,1624.0
Compliant handcuffing,Devon & Cornwall ,Restraint,Handcuffing: compliant,Mental,499.0
Non-compliant handcuffing,Devon & Cornwall ,Restraint,Handcuffing: non-compliant,Mental,1125.0
Not stated handcuffing,Devon & Cornwall ,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Devon & Cornwall ,Restraint,Limb / body restraints,Mental,53.0
Ground restraint,Devon & Cornwall ,Restraint,Ground restraint,Mental,260.0
*Total Unarmed skills,Devon & Cornwall ,Unarmed skills,Total: unarmed skills,Mental,1488.0
*Total Other equipment,Devon & Cornwall ,Other equipment,Total: Other equipment,Mental,100.0
"Baton, of which",Devon & Cornwall ,Other equipment,Total: Baton,Mental,3.0
Baton drawn,Devon & Cornwall ,Other equipment,Baton: drawn,Mental,0.0
Baton used,Devon & Cornwall ,Other equipment,Baton: used,Mental,1.0
Not stated baton,Devon & Cornwall ,Other equipment,Baton: not stated,Mental,2.0
"Irritant spray, of which",Devon & Cornwall ,Other equipment,Total: Irritant spray,Mental,70.0
Irritant spray - drawn,Devon & Cornwall ,Other equipment,Irritant spray: drawn,Mental,67.0
Irritant spray - used,Devon & Cornwall ,Other equipment,Irritant spray: used,Mental,3.0
Not stated irritant spray,Devon & Cornwall ,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Devon & Cornwall ,Other equipment,Spit and bite guard,Mental,3.0
Shield,Devon & Cornwall ,Other equipment,Shield,Mental,24.0
*Total Less lethal weapons,Devon & Cornwall ,Less lethal weapons,Total: Less lethal weapons,Mental,284.0
CED,Devon & Cornwall ,Less lethal weapons,CED,Mental,270.0
"AEP, of which",Devon & Cornwall ,Less lethal weapons,Total: AEP,Mental,14.0
AEP aimed,Devon & Cornwall ,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Devon & Cornwall ,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Devon & Cornwall ,Less lethal weapons,AEP: Not stated,Mental,14.0
*Total Firearms,Devon & Cornwall ,Firearms,Total: Firearms,Mental,19.0
*Total Other,Devon & Cornwall ,Other,Total: Other,Mental,47.0
"Dog use, of which",Devon & Cornwall ,Other,Total: Dog,Mental,4.0
Dog deployed,Devon & Cornwall ,Other,Dog: deployed,Mental,0.0
Dog bite,Devon & Cornwall ,Other,Dog: bite,Mental,0.0
Not stated dog,Devon & Cornwall ,Other,Dog: not stated,Mental,4.0
Other / improvised,Devon & Cornwall ,Other,Other / improvised,Mental,43.0
*Total Not reported,Devon & Cornwall ,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Devon & Cornwall ,Excluded: Tactical Communication,Tactical Communication,Mental,2988.0
*Total Tactics,Dorset,Total,Total: all,Mental,1509.0
*Total Restraint,Dorset,Restraint,Total: Restraint,Mental,1183.0
"Handcuffing, of which",Dorset,Restraint,Total: Handcuffing,Mental,737.0
Compliant handcuffing,Dorset,Restraint,Handcuffing: compliant,Mental,171.0
Non-compliant handcuffing,Dorset,Restraint,Handcuffing: non-compliant,Mental,566.0
Not stated handcuffing,Dorset,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Dorset,Restraint,Limb / body restraints,Mental,115.0
Ground restraint,Dorset,Restraint,Ground restraint,Mental,331.0
*Total Unarmed skills,Dorset,Unarmed skills,Total: unarmed skills,Mental,216.0
*Total Other equipment,Dorset,Other equipment,Total: Other equipment,Mental,49.0
"Baton, of which",Dorset,Other equipment,Total: Baton,Mental,3.0
Baton drawn,Dorset,Other equipment,Baton: drawn,Mental,2.0
Baton used,Dorset,Other equipment,Baton: used,Mental,1.0
Not stated baton,Dorset,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Dorset,Other equipment,Total: Irritant spray,Mental,41.0
Irritant spray - drawn,Dorset,Other equipment,Irritant spray: drawn,Mental,12.0
Irritant spray - used,Dorset,Other equipment,Irritant spray: used,Mental,29.0
Not stated irritant spray,Dorset,Other equipment,Irritant spray: not stated,Mental,0.0
