Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Avon & Somerset,Other equipment,Shield,0.0,4.0,11.0,18.0,4.0,1.0,1.0,39.0,Other equipment,Shield
Avon & Somerset,Less lethal weapons,*Total Less lethal weapons,1.0,70.0,432.0,222.0,61.0,3.0,5.0,794.0,Less lethal weapons,Total: Less lethal weapons
Avon & Somerset,Less lethal weapons,CED,1.0,62.0,399.0,209.0,55.0,3.0,4.0,733.0,Less lethal weapons,CED
Avon & Somerset,Less lethal weapons,"AEP, of which",0.0,8.0,33.0,13.0,6.0,0.0,1.0,61.0,Less lethal weapons,Total: AEP
Avon & Somerset,Less lethal weapons,AEP aimed,0.0,7.0,30.0,12.0,5.0,0.0,1.0,55.0,Less lethal weapons,AEP: Aimed
Avon & Somerset,Less lethal weapons,AEP fired,0.0,1.0,3.0,1.0,1.0,0.0,0.0,6.0,Less lethal weapons,AEP: Fired
Avon & Somerset,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Avon & Somerset,Firearms,*Total Firearms,0.0,5.0,45.0,25.0,3.0,1.0,1.0,80.0,Firearms,Total: Firearms
Avon & Somerset,Other,*Total Other,1.0,17.0,202.0,84.0,22.0,2.0,12.0,340.0,Other,Total: Other
Avon & Somerset,Other,"Dog use, of which",0.0,1.0,24.0,7.0,0.0,0.0,7.0,39.0,Other,Total: Dog
Avon & Somerset,Other,Dog deployed,0.0,1.0,18.0,6.0,0.0,0.0,4.0,29.0,Other,Dog: deployed
Avon & Somerset,Other,Dog bite,0.0,0.0,6.0,1.0,0.0,0.0,3.0,10.0,Other,Dog: bite
Avon & Somerset,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Avon & Somerset,Other,Other / improvised,1.0,16.0,178.0,77.0,22.0,2.0,5.0,301.0,Other,Other / improvised
Avon & Somerset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Avon & Somerset,Tactical communication,Tactical communication,41.0,668.0,4423.0,2087.0,572.0,36.0,114.0,7941.0,Excluded: Tactical Communication,Tactical Communication
Bedfordshire,Total (excluding not reported and tactical communication),*Total Tactics,1.0,481.0,3078.0,1383.0,324.0,42.0,43.0,5352.0,Total,Total: all
Bedfordshire,Restraint,*Total Restraint,0.0,296.0,1769.0,810.0,194.0,26.0,22.0,3117.0,Restraint,Total: Restraint
Bedfordshire,Restraint,"Handcuffing, of which",0.0,219.0,1188.0,575.0,146.0,19.0,8.0,2155.0,Restraint,Total: Handcuffing
Bedfordshire,Restraint,Compliant handcuffing,0.0,140.0,632.0,329.0,79.0,7.0,6.0,1193.0,Restraint,Handcuffing: compliant
Bedfordshire,Restraint,Non-compliant handcuffing,0.0,79.0,556.0,246.0,67.0,12.0,2.0,962.0,Restraint,Handcuffing: non-compliant
Bedfordshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Bedfordshire,Restraint,Limb / Body restraints,0.0,28.0,221.0,95.0,22.0,2.0,7.0,375.0,Restraint,Limb / body restraints
Bedfordshire,Restraint,Ground restraint,0.0,49.0,360.0,140.0,26.0,5.0,7.0,587.0,Restraint,Ground restraint
Bedfordshire,Unarmed skills,*Total Unarmed skills,1.0,134.0,853.0,366.0,88.0,13.0,10.0,1465.0,Unarmed skills,Total: unarmed skills
Bedfordshire,Other equipment,*Total Other equipment,0.0,14.0,207.0,86.0,12.0,2.0,3.0,324.0,Other equipment,Total: Other equipment
Bedfordshire,Other equipment,"Baton, of which",0.0,3.0,36.0,18.0,0.0,0.0,2.0,59.0,Other equipment,Total: Baton
Bedfordshire,Other equipment,Baton drawn,0.0,2.0,24.0,13.0,0.0,0.0,2.0,41.0,Other equipment,Baton: drawn
Bedfordshire,Other equipment,Baton used,0.0,1.0,12.0,5.0,0.0,0.0,0.0,18.0,Other equipment,Baton: used
Bedfordshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Bedfordshire,Other equipment,"Irritant spray, of which",0.0,6.0,114.0,52.0,9.0,2.0,1.0,184.0,Other equipment,Total: Irritant spray
Bedfordshire,Other equipment,Irritant spray - drawn,0.0,4.0,68.0,29.0,6.0,1.0,1.0,109.0,Other equipment,Irritant spray: drawn
Bedfordshire,Other equipment,Irritant spray - used,0.0,2.0,46.0,23.0,3.0,1.0,0.0,75.0,Other equipment,Irritant spray: used
Bedfordshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Bedfordshire,Other equipment,Spit and bite guard,0.0,3.0,51.0,13.0,3.0,0.0,0.0,70.0,Other equipment,Spit and bite guard
Bedfordshire,Other equipment,Shield,0.0,2.0,6.0,3.0,0.0,0.0,0.0,11.0,Other equipment,Shield
Bedfordshire,Less lethal weapons,*Total Less lethal weapons,0.0,20.0,135.0,74.0,19.0,1.0,6.0,255.0,Less lethal weapons,Total: Less lethal weapons
Bedfordshire,Less lethal weapons,CED,0.0,20.0,132.0,73.0,17.0,1.0,5.0,248.0,Less lethal weapons,CED
Bedfordshire,Less lethal weapons,"AEP, of which",0.0,0.0,3.0,1.0,2.0,0.0,1.0,7.0,Less lethal weapons,Total: AEP
Bedfordshire,Less lethal weapons,AEP aimed,0.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0,Less lethal weapons,AEP: Aimed
Bedfordshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Bedfordshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Less lethal weapons,AEP: Not stated
Bedfordshire,Firearms,*Total Firearms,0.0,4.0,11.0,8.0,2.0,0.0,1.0,26.0,Firearms,Total: Firearms
Bedfordshire,Other,*Total Other,0.0,13.0,103.0,39.0,9.0,0.0,1.0,165.0,Other,Total: Other
Bedfordshire,Other,"Dog use, of which",0.0,2.0,13.0,0.0,0.0,0.0,0.0,15.0,Other,Total: Dog
Bedfordshire,Other,Dog deployed,0.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0,Other,Dog: deployed
Bedfordshire,Other,Dog bite,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,Other,Dog: bite
Bedfordshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Bedfordshire,Other,Other / improvised,0.0,11.0,90.0,39.0,9.0,0.0,1.0,150.0,Other,Other / improvised
Bedfordshire,Not reported,*Total Not reported,0.0,2.0,9.0,5.0,1.0,0.0,1.0,18.0,Not reported,Total: Not reported
Bedfordshire,Tactical communication,Tactical communication,1.0,286.0,1599.0,757.0,193.0,27.0,23.0,2886.0,Excluded: Tactical Communication,Tactical Communication
Cambridgeshire,Total (excluding not reported and tactical communication),*Total Tactics,7.0,715.0,4521.0,1929.0,436.0,48.0,71.0,7727.0,Total,Total: all
Cambridgeshire,Restraint,*Total Restraint,0.0,372.0,2358.0,997.0,225.0,24.0,40.0,4016.0,Restraint,Total: Restraint
Cambridgeshire,Restraint,"Handcuffing, of which",0.0,243.0,1609.0,724.0,177.0,17.0,23.0,2793.0,Restraint,Total: Handcuffing
Cambridgeshire,Restraint,Compliant handcuffing,0.0,119.0,732.0,354.0,100.0,9.0,11.0,1325.0,Restraint,Handcuffing: compliant
Cambridgeshire,Restraint,Non-compliant handcuffing,0.0,124.0,877.0,370.0,77.0,8.0,12.0,1468.0,Restraint,Handcuffing: non-compliant
Cambridgeshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Cambridgeshire,Restraint,Limb / Body restraints,0.0,53.0,258.0,101.0,15.0,3.0,4.0,434.0,Restraint,Limb / body restraints
Cambridgeshire,Restraint,Ground restraint,0.0,76.0,491.0,172.0,33.0,4.0,13.0,789.0,Restraint,Ground restraint
Cambridgeshire,Unarmed skills,*Total Unarmed skills,5.0,230.0,1338.0,597.0,131.0,12.0,20.0,2333.0,Unarmed skills,Total: unarmed skills
Cambridgeshire,Other equipment,*Total Other equipment,0.0,48.0,429.0,180.0,31.0,5.0,4.0,697.0,Other equipment,Total: Other equipment
Cambridgeshire,Other equipment,"Baton, of which",0.0,0.0,43.0,12.0,3.0,0.0,0.0,58.0,Other equipment,Total: Baton
Cambridgeshire,Other equipment,Baton drawn,0.0,0.0,32.0,8.0,2.0,0.0,0.0,42.0,Other equipment,Baton: drawn
Cambridgeshire,Other equipment,Baton used,0.0,0.0,11.0,4.0,1.0,0.0,0.0,16.0,Other equipment,Baton: used
Cambridgeshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Cambridgeshire,Other equipment,"Irritant spray, of which",0.0,27.0,290.0,123.0,24.0,0.0,3.0,467.0,Other equipment,Total: Irritant spray
Cambridgeshire,Other equipment,Irritant spray - drawn,0.0,20.0,180.0,74.0,15.0,0.0,3.0,292.0,Other equipment,Irritant spray: drawn
Cambridgeshire,Other equipment,Irritant spray - used,0.0,7.0,108.0,49.0,9.0,0.0,0.0,173.0,Other equipment,Irritant spray: used
Cambridgeshire,Other equipment,Not stated irritant spray,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,Other equipment,Irritant spray: not stated
Cambridgeshire,Other equipment,Spit and bite guard,0.0,16.0,74.0,36.0,2.0,3.0,0.0,131.0,Other equipment,Spit and bite guard
Cambridgeshire,Other equipment,Shield,0.0,5.0,22.0,9.0,2.0,2.0,1.0,41.0,Other equipment,Shield
Cambridgeshire,Less lethal weapons,*Total Less lethal weapons,0.0,18.0,117.0,62.0,14.0,2.0,1.0,214.0,Less lethal weapons,Total: Less lethal weapons
Cambridgeshire,Less lethal weapons,CED,0.0,18.0,112.0,58.0,14.0,2.0,1.0,205.0,Less lethal weapons,CED
Cambridgeshire,Less lethal weapons,"AEP, of which",0.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,Less lethal weapons,Total: AEP
Cambridgeshire,Less lethal weapons,AEP aimed,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,Less lethal weapons,AEP: Aimed
Cambridgeshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Cambridgeshire,Less lethal weapons,Not stated AEP,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,Less lethal weapons,AEP: Not stated
Cambridgeshire,Firearms,*Total Firearms,0.0,0.0,16.0,7.0,1.0,0.0,0.0,24.0,Firearms,Total: Firearms
Cambridgeshire,Other,*Total Other,2.0,47.0,263.0,86.0,34.0,5.0,6.0,443.0,Other,Total: Other
Cambridgeshire,Other,"Dog use, of which",0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,Other,Total: Dog
Cambridgeshire,Other,Dog deployed,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,Other,Dog: deployed
Cambridgeshire,Other,Dog bite,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Other,Dog: bite
Cambridgeshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Cambridgeshire,Other,Other / improvised,2.0,46.0,258.0,86.0,34.0,5.0,6.0,437.0,Other,Other / improvised
Cambridgeshire,Not reported,*Total Not reported,1.0,3.0,16.0,3.0,3.0,0.0,0.0,26.0,Not reported,Total: Not reported
Cambridgeshire,Tactical communication,Tactical communication,6.0,383.0,2270.0,996.0,252.0,24.0,34.0,3965.0,Excluded: Tactical Communication,Tactical Communication
Cheshire,Total (excluding not reported and tactical communication),*Total Tactics,21.0,1082.0,7251.0,3096.0,803.0,54.0,0.0,12307.0,Total,Total: all
Cheshire,Restraint,*Total Restraint,14.0,837.0,5452.0,2371.0,614.0,36.0,0.0,9324.0,Restraint,Total: Restraint
Cheshire,Restraint,"Handcuffing, of which",3.0,543.0,3547.0,1681.0,433.0,31.0,0.0,6238.0,Restraint,Total: Handcuffing
Cheshire,Restraint,Compliant handcuffing,2.0,288.0,2212.0,1130.0,262.0,17.0,0.0,3911.0,Restraint,Handcuffing: compliant
Cheshire,Restraint,Non-compliant handcuffing,1.0,255.0,1335.0,551.0,171.0,14.0,0.0,2327.0,Restraint,Handcuffing: non-compliant
Cheshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Cheshire,Restraint,Limb / Body restraints,1.0,27.0,257.0,77.0,22.0,0.0,0.0,384.0,Restraint,Limb / body restraints
Cheshire,Restraint,Ground restraint,10.0,267.0,1648.0,613.0,159.0,5.0,0.0,2702.0,Restraint,Ground restraint
Cheshire,Unarmed skills,*Total Unarmed skills,6.0,161.0,877.0,395.0,95.0,13.0,0.0,1547.0,Unarmed skills,Total: unarmed skills
Cheshire,Other equipment,*Total Other equipment,1.0,56.0,648.0,213.0,68.0,2.0,0.0,988.0,Other equipment,Total: Other equipment
Cheshire,Other equipment,"Baton, of which",0.0,2.0,34.0,6.0,4.0,0.0,0.0,46.0,Other equipment,Total: Baton
Cheshire,Other equipment,Baton drawn,0.0,2.0,19.0,5.0,2.0,0.0,0.0,28.0,Other equipment,Baton: drawn
Cheshire,Other equipment,Baton used,0.0,0.0,15.0,1.0,2.0,0.0,0.0,18.0,Other equipment,Baton: used
Cheshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Cheshire,Other equipment,"Irritant spray, of which",0.0,49.0,554.0,188.0,59.0,2.0,0.0,852.0,Other equipment,Total: Irritant spray
Cheshire,Other equipment,Irritant spray - drawn,0.0,19.0,194.0,67.0,22.0,1.0,0.0,303.0,Other equipment,Irritant spray: drawn
Cheshire,Other equipment,Irritant spray - used,0.0,30.0,360.0,121.0,37.0,1.0,0.0,549.0,Other equipment,Irritant spray: used
Cheshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Cheshire,Other equipment,Spit and bite guard,1.0,5.0,58.0,19.0,5.0,0.0,0.0,88.0,Other equipment,Spit and bite guard
Cheshire,Other equipment,Shield,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,Other equipment,Shield
Cheshire,Less lethal weapons,*Total Less lethal weapons,0.0,25.0,269.0,115.0,26.0,3.0,0.0,438.0,Less lethal weapons,Total: Less lethal weapons
Cheshire,Less lethal weapons,CED,0.0,25.0,269.0,115.0,26.0,3.0,0.0,438.0,Less lethal weapons,CED
Cheshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Cheshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Aimed
Cheshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Cheshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Cheshire,Firearms,*Total Firearms,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,Firearms,Total: Firearms
Cheshire,Other,*Total Other,0.0,3.0,2.0,1.0,0.0,0.0,0.0,6.0,Other,Total: Other
Cheshire,Other,"Dog use, of which",0.0,3.0,2.0,1.0,0.0,0.0,0.0,6.0,Other,Total: Dog
Cheshire,Other,Dog deployed,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,Other,Dog: deployed
Cheshire,Other,Dog bite,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Other,Dog: bite
Cheshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Cheshire,Other,Other / improvised,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Other / improvised
Cheshire,Not reported,*Total Not reported,0.0,0.0,9.0,2.0,0.0,0.0,0.0,11.0,Not reported,Total: Not reported
Cheshire,Tactical communication,Tactical communication,11.0,410.0,2614.0,1166.0,314.0,29.0,0.0,4544.0,Excluded: Tactical Communication,Tactical Communication
City of London,Total (excluding not reported and tactical communication),*Total Tactics,0.0,147.0,1364.0,578.0,112.0,5.0,498.0,2704.0,Total,Total: all
City of London,Restraint,*Total Restraint,0.0,88.0,961.0,397.0,80.0,4.0,213.0,1743.0,Restraint,Total: Restraint
City of London,Restraint,"Handcuffing, of which",0.0,76.0,892.0,375.0,76.0,3.0,181.0,1603.0,Restraint,Total: Handcuffing
City of London,Restraint,Compliant handcuffing,0.0,27.0,445.0,190.0,30.0,1.0,51.0,744.0,Restraint,Handcuffing: compliant
City of London,Restraint,Non-compliant handcuffing,0.0,49.0,447.0,185.0,46.0,2.0,130.0,859.0,Restraint,Handcuffing: non-compliant
City of London,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
City of London,Restraint,Limb / Body restraints,0.0,2.0,8.0,4.0,0.0,0.0,5.0,19.0,Restraint,Limb / body restraints
City of London,Restraint,Ground restraint,0.0,10.0,61.0,18.0,4.0,1.0,27.0,121.0,Restraint,Ground restraint
City of London,Unarmed skills,*Total Unarmed skills,0.0,41.0,297.0,124.0,26.0,1.0,181.0,670.0,Unarmed skills,Total: unarmed skills
City of London,Other equipment,*Total Other equipment,0.0,3.0,53.0,13.0,1.0,0.0,26.0,96.0,Other equipment,Total: Other equipment
City of London,Other equipment,"Baton, of which",0.0,0.0,16.0,3.0,0.0,0.0,9.0,28.0,Other equipment,Total: Baton
City of London,Other equipment,Baton drawn,0.0,0.0,8.0,2.0,0.0,0.0,6.0,16.0,Other equipment,Baton: drawn
City of London,Other equipment,Baton used,0.0,0.0,8.0,1.0,0.0,0.0,3.0,12.0,Other equipment,Baton: used
City of London,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
City of London,Other equipment,"Irritant spray, of which",0.0,3.0,37.0,8.0,1.0,0.0,17.0,66.0,Other equipment,Total: Irritant spray
City of London,Other equipment,Irritant spray - drawn,0.0,2.0,24.0,4.0,1.0,0.0,11.0,42.0,Other equipment,Irritant spray: drawn
City of London,Other equipment,Irritant spray - used,0.0,1.0,13.0,4.0,0.0,0.0,6.0,24.0,Other equipment,Irritant spray: used
City of London,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
City of London,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Spit and bite guard
City of London,Other equipment,Shield,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Other equipment,Shield
City of London,Less lethal weapons,*Total Less lethal weapons,0.0,2.0,14.0,12.0,3.0,0.0,18.0,49.0,Less lethal weapons,Total: Less lethal weapons
City of London,Less lethal weapons,CED,0.0,2.0,14.0,12.0,3.0,0.0,18.0,49.0,Less lethal weapons,CED
City of London,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
City of London,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Aimed
City of London,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
City of London,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
City of London,Firearms,*Total Firearms,0.0,0.0,3.0,5.0,0.0,0.0,10.0,18.0,Firearms,Total: Firearms
City of London,Other,*Total Other,0.0,13.0,36.0,27.0,2.0,0.0,50.0,128.0,Other,Total: Other
City of London,Other,"Dog use, of which",0.0,2.0,6.0,2.0,0.0,0.0,28.0,38.0,Other,Total: Dog
City of London,Other,Dog deployed,0.0,2.0,4.0,2.0,0.0,0.0,28.0,36.0,Other,Dog: deployed
City of London,Other,Dog bite,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,Other,Dog: bite
City of London,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
City of London,Other,Other / improvised,0.0,11.0,30.0,25.0,2.0,0.0,22.0,90.0,Other,Other / improvised
City of London,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,Not reported,Total: Not reported
City of London,Tactical communication,Tactical communication,0.0,80.0,598.0,268.0,54.0,2.0,240.0,1242.0,Excluded: Tactical Communication,Tactical Communication
Cleveland,Total (excluding not reported and tactical communication),*Total Tactics,16.0,1036.0,7844.0,3716.0,677.0,38.0,94.0,13421.0,Total,Total: all
Cleveland,Restraint,*Total Restraint,6.0,786.0,5808.0,2859.0,488.0,26.0,56.0,10029.0,Restraint,Total: Restraint
Cleveland,Restraint,"Handcuffing, of which",5.0,605.0,4354.0,2279.0,385.0,20.0,34.0,7682.0,Restraint,Total: Handcuffing
Cleveland,Restraint,Compliant handcuffing,2.0,357.0,2975.0,1691.0,245.0,13.0,20.0,5303.0,Restraint,Handcuffing: compliant
Cleveland,Restraint,Non-compliant handcuffing,3.0,248.0,1379.0,588.0,140.0,7.0,14.0,2379.0,Restraint,Handcuffing: non-compliant
Cleveland,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Cleveland,Restraint,Limb / Body restraints,0.0,20.0,163.0,52.0,13.0,0.0,3.0,251.0,Restraint,Limb / body restraints
Cleveland,Restraint,Ground restraint,1.0,161.0,1291.0,528.0,90.0,6.0,19.0,2096.0,Restraint,Ground restraint
Cleveland,Unarmed skills,*Total Unarmed skills,8.0,185.0,1465.0,631.0,147.0,8.0,22.0,2466.0,Unarmed skills,Total: unarmed skills
Cleveland,Other equipment,*Total Other equipment,2.0,32.0,265.0,108.0,22.0,2.0,7.0,438.0,Other equipment,Total: Other equipment
Cleveland,Other equipment,"Baton, of which",0.0,11.0,83.0,38.0,1.0,0.0,1.0,134.0,Other equipment,Total: Baton
Cleveland,Other equipment,Baton drawn,0.0,9.0,57.0,23.0,1.0,0.0,1.0,91.0,Other equipment,Baton: drawn
Cleveland,Other equipment,Baton used,0.0,2.0,26.0,15.0,0.0,0.0,0.0,43.0,Other equipment,Baton: used
Cleveland,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Cleveland,Other equipment,"Irritant spray, of which",2.0,20.0,173.0,70.0,21.0,2.0,4.0,292.0,Other equipment,Total: Irritant spray
Cleveland,Other equipment,Irritant spray - drawn,1.0,14.0,74.0,36.0,12.0,0.0,1.0,138.0,Other equipment,Irritant spray: drawn
Cleveland,Other equipment,Irritant spray - used,1.0,6.0,99.0,34.0,9.0,2.0,3.0,154.0,Other equipment,Irritant spray: used
Cleveland,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Cleveland,Other equipment,Spit and bite guard,0.0,0.0,4.0,0.0,0.0,0.0,1.0,5.0,Other equipment,Spit and bite guard
Cleveland,Other equipment,Shield,0.0,1.0,5.0,0.0,0.0,0.0,1.0,7.0,Other equipment,Shield
Cleveland,Less lethal weapons,*Total Less lethal weapons,0.0,19.0,176.0,53.0,11.0,1.0,5.0,265.0,Less lethal weapons,Total: Less lethal weapons
Cleveland,Less lethal weapons,CED,0.0,18.0,166.0,50.0,10.0,1.0,4.0,249.0,Less lethal weapons,CED
Cleveland,Less lethal weapons,"AEP, of which",0.0,1.0,10.0,3.0,1.0,0.0,1.0,16.0,Less lethal weapons,Total: AEP
Cleveland,Less lethal weapons,AEP aimed,0.0,1.0,10.0,3.0,1.0,0.0,1.0,16.0,Less lethal weapons,AEP: Aimed
Cleveland,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Cleveland,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Cleveland,Firearms,*Total Firearms,0.0,4.0,18.0,10.0,1.0,0.0,0.0,33.0,Firearms,Total: Firearms
